source_id,country,sector_as_reported,operation_id,instrument_id,operation_title,milestone,date_iso_candidate,date_role,verification_status,url,retrieved_on,limitation
L04,KEN,Water Supply,P-KE-EA0-006,2000200003351,Thwake I Additional Financing,approval,2018-11-14,actual-event label in snippet,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,2026-09-14,Original inaccessible; AF is distinct from original Phase I; same dates displayed for two separate loans
L04,KEN,Water Supply,P-KE-EA0-006,2000200003351,Thwake I Additional Financing,signature,2019-06-19,actual-event label in snippet,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,2026-09-14,Original inaccessible; AF is distinct from original Phase I; same dates displayed for two separate loans
L04,KEN,Water Supply,P-KE-EA0-006,2000200003351,Thwake I Additional Financing,entry_into_force,2019-12-10,actual-event label in snippet,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,2026-09-14,Original inaccessible; AF is distinct from original Phase I; same dates displayed for two separate loans
L04,KEN,Water Supply,P-KE-EA0-006,2000200003351,Thwake I Additional Financing,effective_for_first_disbursement,2020-01-21,conditions/effectiveness; not actual payment,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,2026-09-14,Original inaccessible; AF is distinct from original Phase I; same dates displayed for two separate loans
L04,KEN,Water Supply,P-KE-EA0-006,2000200003351,Thwake I Additional Financing,disbursement_deadline,2027-07-31,future deadline; not completed disbursement,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,2026-09-14,Original inaccessible; AF is distinct from original Phase I; same dates displayed for two separate loans
L04,KEN,Water Supply,P-KE-EA0-006,5050200000501,Thwake I Additional Financing,approval,2018-11-14,actual-event label in snippet,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,2026-09-14,Original inaccessible; AF is distinct from original Phase I; same dates displayed for two separate loans
L04,KEN,Water Supply,P-KE-EA0-006,5050200000501,Thwake I Additional Financing,signature,2019-06-19,actual-event label in snippet,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,2026-09-14,Original inaccessible; AF is distinct from original Phase I; same dates displayed for two separate loans
L04,KEN,Water Supply,P-KE-EA0-006,5050200000501,Thwake I Additional Financing,entry_into_force,2019-12-10,actual-event label in snippet,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,2026-09-14,Original inaccessible; AF is distinct from original Phase I; same dates displayed for two separate loans
L04,KEN,Water Supply,P-KE-EA0-006,5050200000501,Thwake I Additional Financing,effective_for_first_disbursement,2020-01-21,conditions/effectiveness; not actual payment,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,2026-09-14,Original inaccessible; AF is distinct from original Phase I; same dates displayed for two separate loans
L04,KEN,Water Supply,P-KE-EA0-006,5050200000501,Thwake I Additional Financing,disbursement_deadline,2027-07-31,future deadline; not completed disbursement,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,2026-09-14,Original inaccessible; AF is distinct from original Phase I; same dates displayed for two separate loans
L05,MAR,Transport,P-MA-D00-001,,Unknown title in portal,approval,2006-07-21,actual-event label in snippet,UNVERIFIED_SEARCH_LEAD,https://mapafrica.afdb.org/en/projects/46002-P-MA-D00-001,2026-09-14,No loan ID; missing project title; original not inspected
L05,MAR,Transport,P-MA-D00-001,,Unknown title in portal,signature,2006-12-15,actual-event label in snippet,UNVERIFIED_SEARCH_LEAD,https://mapafrica.afdb.org/en/projects/46002-P-MA-D00-001,2026-09-14,No loan ID; missing project title; original not inspected
L05,MAR,Transport,P-MA-D00-001,,Unknown title in portal,planned_completion,2011-12-31,planned,UNVERIFIED_SEARCH_LEAD,https://mapafrica.afdb.org/en/projects/46002-P-MA-D00-001,2026-09-14,No loan ID; missing project title; original not inspected
L05,MAR,Transport,P-MA-D00-001,,Unknown title in portal,project_completion_report,2011-12-31,"report date, not completion event",UNVERIFIED_SEARCH_LEAD,https://mapafrica.afdb.org/en/projects/46002-P-MA-D00-001,2026-09-14,No loan ID; missing project title; original not inspected
L09,ZAF,Multi-Sector,P-ZA-K00-006,2000300000855,Energy Governance and Climate Resilience Programme,approval,2023-10-25,actual-event label in snippet,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/south_africa-_energy_governance_and_climate_resilience_programme-_p-za-k00-006-ipr-decembre_2024.pdf,2026-09-14,Energy-titled programme classified Multi-Sector; original not retrieved
L09,ZAF,Multi-Sector,P-ZA-K00-006,2000300000855,Energy Governance and Climate Resilience Programme,signature,2023-11-17,actual-event label in snippet,UNVERIFIED_SEARCH_LEAD,https://www.afdb.org/sites/default/files/documents/projects-and-operations/south_africa-_energy_governance_and_climate_resilience_programme-_p-za-k00-006-ipr-decembre_2024.pdf,2026-09-14,Energy-titled programme classified Multi-Sector; original not retrieved
