source_id,issuer,title,publication_date_role,url,locator,evidence_status,limitation,retrieved_on,archive_path,sha256
S01,IATI official dashboard,Reporting Org: African Development Bank,undated current dashboard,https://merged.dashboard.iatistandard.org/publishers/afdb/,Headlines; Exploring Data country rows; Codelist Values,official dashboard original opened,Metadata for AfDB publisher; source XML not retrieved; not a verified operation denominator,2026-09-14,,
L01,AfDB,AfDB Data Portal,undated portal,https://projectsportal.afdb.org/dataportal/?lang=en,search result headline/status counts and explanatory paragraph,snippet only; original failed,Historical reach claimed from 1967; denominator not verified,2026-09-14,,
L02,AfDB,Projects and Operations,undated portal,https://www.afdb.org/en/projects-and-operations/projectportfolio?order=field_project_status&sort=asc,search result table and displayed total,snippet only; original failed,Old indexed list disagrees with newer catalogue; no common as-of date,2026-09-14,,
L03,AfDB,Quarterly Operational Summaries,undated collection; search footer 2023-06-08 despite later items,https://www.afdb.org/en/documents/project-related-procurement/quarterly-operational-summaries,search result disclaimer and dated quarterly titles,snippet only; original failed,Procurement-oriented coverage warning must be checked in original,2026-09-14,,
L04,AfDB,"Thwake Multipurpose Water Development Program I – Additional Financing, IPR March 2025",report date 2025-06-25 in snippet; mission 2025-03-03 to 2025-03-11; index publication lead 2025-09-25,https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf,opening Project Data; PROCESSING MILESTONES (bank approved financing only),snippet only; original web and escalated HTTP failed,Loan-level dates provisional; effective for disbursement is not payment,2026-09-14,,
L05,AfDB MapAfrica,"Unknown [page title], Morocco Transport operation",undated portal; search engine publication metadata not adopted,https://mapafrica.afdb.org/en/projects/46002-P-MA-D00-001,Project Summary and key dates,snippet only; original failed twice,Operation identifier explicit but title missing; report-date label not completion event,2026-09-14,,
L06,AfDB,Morocco portfolio review report,document identifier 2000; annex as of 1999-12-31; original publication unverified,https://www.afdb.org/sites/default/files/documents/projects-and-operations/adb-bd-wp-2000-71-en-morocco-complet-portfolio-review.pdf,"Annex I.a, List of Bank Group Operations as at 31/12/1999",snippet only; original failed,Potential historical all-sector snapshot; row identities and date alignment need original,2026-09-14,,
L07,AfDB,Senegal portfolio review report 2003,document identifier 2004; portfolio 2003; publication unverified,https://www.afdb.org/sites/default/files/documents/projects-and-operations/adb-bd-wp-2004-109-en-senegal-portfolio-review-report-2003.pdf,"Annex 1, Senegal Bank Group Commitments",snippet only; original failed,Mixed date formats in extraction; approved/partial cancellation versus dropped operations not resolved,2026-09-14,,
L08,AfDB evaluation repository,Project Completion Report PR10741_SR_EN,unverified,https://evrd.afdb.org/documents/docs/PR10741_SR_EN.pdf,search result lessons on Ghana transport/start-up delays,snippet only; original failed,Ghana lead inferred from GoG language; no accepted title/operation ID join,2026-09-14,,
L09,AfDB,"Energy Governance and Climate Resilience Programme, IPR December 2024",report date 2025-06-17 in snippet; mission 2024-12-31; publication unverified,https://www.afdb.org/sites/default/files/documents/projects-and-operations/south_africa-_energy_governance_and_climate_resilience_programme-_p-za-k00-006-ipr-decembre_2024.pdf,Project Data; PROCESSING MILESTONES,snippet only; original not attempted after discovery,"Sector is Multi-Sector, not Power; payment not established by effectiveness",2026-09-14,,
L10,AfDB evaluation repository,Medupi Power Project PCR evaluation note PN11076,publication and note date unverified,https://evrd.afdb.org/documents/docs/PN11076_SR_EN.pdf,1. Basic information: processing milestones and closing dates,snippet only; original failed,Two instruments listed together; displayed dates not yet assigned separately to each loan,2026-09-14,,
L11,AfDB,Show Canceled Projects,undated portal,https://projectsportal.afdb.org/dataportal/home/canceledProjects,search-result rows for P-KE-DA0-001 and P-SN-A00-008,snippet only; original failed,Current cancellation label has no dated cancellation event in snippet,2026-09-14,,
L12,AfDB MapAfrica,Projects,undated current catalogue,https://new-mapafrica.afdb.org/en/projects,search result all-sector current rows,snippet only; original failed,Recent rows contrast with old portal; no snapshot/removal rules verified,2026-09-14,,
L13,Kenya Office of the Auditor-General / Parliament repository,"Thwake Multi-Purpose Water Development Program Phase 1 audit, year ended 30 June 2024",repository lead 2024-12-05; accounting period 2024-06-30,https://libraryir.parliament.go.ke/bitstreams/62ed5b67-0bd2-443a-95d5-d2d1adc8517b/download,search-result cover lists four AfDB/AGTF loan/grant instruments,snippet only; original too large for web retrieval,Borrower original alternative; no milestone table inspected,2026-09-14,,
L14,AfDB IDEV,"Morocco: Review of the Bank’s Assistance to the Health Sector, 1994–2004",report publication unverified; study period 1994–2004,https://idev.afdb.org/sites/default/files/Evaluations/2020-03/Morocco-%20Review%20of%20The%20Bank%E2%80%99s%20Assistance%20to%20the%20Health%20Sector%2C%201994-2004.pdf,"Annex 5 p.3 of 3, cross-sector operations table",snippet only; original cache miss,Historical cross-sector lead; neither health-only denominator nor accepted operation joins,2026-09-14,,
L15,AfDB,Thwake operation P-KE-EA0-006 document index,undated page with dated documents,https://www.afdb.org/en/projects-and-operations/p-ke-ea0-006,dated IPR entries 2021–2025,snippet only; original not separately attempted,Potential repeated-report revision trail; date labels need original checks,2026-09-14,,
L16,AfDB,Implementation progress and results reports,undated collection,https://www.afdb.org/en/documents/projects-operations/implementation-progress-and-results-reports-0,search result collection size and latest entries,snippet only; original not separately attempted,Document count is not unique operation count,2026-09-14,,
