"unit","method","query_or_url","outcome","retrieved_on","archive_path","sha256"
"1","search","site.afdb.org projects operations data portal approval signature date all projects","Found all-sector catalogue, QOS and MapAfrica leads; snippets","2026-09-14","",""
"2","search","site.mapafrica.afdb.org projects data download IATI","Found official IATI dashboard and country-export route; snippets","2026-09-14","",""
"3","open","https://projectsportal.afdb.org/dataportal/?lang=en","Internal Error","2026-09-14","",""
"4","open","https://www.afdb.org/en/documents/project-related-procurement/quarterly-operational-summaries","Internal Error","2026-09-14","",""
"5","open","https://merged.dashboard.iatistandard.org/publishers/afdb/","Official IATI dashboard original text opened; metadata only","2026-09-14","",""
"6","open","https://www.afdb.org/en/projects-and-operations/projectportfolio?order=field_project_status&sort=asc","Internal Error","2026-09-14","",""
"7","click","turn45view2 link99 Kenya source XML","Internal Error; source XML URL not exposed by failed click","2026-09-14","",""
"8","search","site.afdb.org Kenya water ""Date of signature"" ""Date of approval"" implementation progress report","No accepted Kenyan operation; mixed search leads","2026-09-14","",""
"9","search","site.afdb.org Morocco transport ""approval"" ""signature"" implementation progress report","Found Morocco transport MapAfrica and archival portfolio/health-report leads","2026-09-14","",""
"10","open","https://mapafrica.afdb.org/en/projects/46002-P-MA-D00-001","Internal Error","2026-09-14","",""
"11","open","https://mapafrica.afdb.org/en","Internal Error","2026-09-14","",""
"12","search","site.mapafrica.afdb.org Kenya ""Water"" ""Signature Date""","Found multinational water lead; no Kenyan operation original","2026-09-14","",""
"13","search","site.afdb.org ""Senegal"" ""Approval date"" ""Signature date"" energy","Found Senegal historical portfolio and appraisal/PCR leads","2026-09-14","",""
"14","open","https://www.afdb.org/sites/default/files/documents/projects-and-operations/adb-bd-wp-2000-71-en-morocco-complet-portfolio-review.pdf","Internal Error","2026-09-14","",""
"15","open","https://evrd.afdb.org/documents/docs/PR10741_SR_EN.pdf","Internal Error; Ghana title/ID unresolved","2026-09-14","",""
"16","search","site.afdb.org Kenya water implementation progress report 2024 Thwake","Found Thwake additional-financing IPR plus borrower audit route; snippets","2026-09-14","",""
"17","search","site.afdb.org Senegal South Africa energy implementation progress report 2024 approval","Found new MapAfrica catalogue, South Africa multi-sector energy programme and all-sector IPR list; snippets","2026-09-14","",""
"18","open cached ref","https://new-mapafrica.afdb.org/en/projects","402 Payment Required","2026-09-14","",""
"19","open cached ref","https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf","402 Payment Required","2026-09-14","",""
"20","open cached ref","https://mapafrica.afdb.org/en/projects/46002-P-MA-D00-001","402 Payment Required","2026-09-14","",""
"21","open cached ref","https://www.afdb.org/sites/default/files/documents/projects-and-operations/adb-bd-wp-2004-109-en-senegal-portfolio-review-report-2003.pdf","Error fetching","2026-09-14","",""
"22","shell curl alternate network","https://www.afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf","Escalated curl HTTP403; no PDF bytes saved","2026-09-14","",""
"23","search","site.afdb.org Ghana transport implementation progress report ""Date signed""","No accepted Ghana loan-level milestone record; contractor-date lead not adopted","2026-09-14","",""
"24","search","site.afdb.org South Africa energy ""PROCESSING MILESTONES""","Found South Africa programme IPR and Medupi evaluation-note milestone leads","2026-09-14","",""
"25","search","site.afdb.org Senegal energy project ""Cancelled"" ""Date""","Found cancelled-project catalogue with Kenyan and Senegalese candidate rows","2026-09-14","",""
"26","open alternate hostname","https://afdb.org/sites/default/files/documents/projects-and-operations/kenya-thwake_multipurpose_water_development_program_i_-_additional_financing-_p-ke-ea0-006-ipr-march_2025.pdf","Internal Error","2026-09-14","",""
"27","open cached ref","https://evrd.afdb.org/documents/docs/PN11076_SR_EN.pdf","402 Payment Required","2026-09-14","",""
"28","open cached ref","https://projectsportal.afdb.org/dataportal/home/canceledProjects","502 Bad Gateway","2026-09-14","",""
"29","open cached ref","https://idev.afdb.org/sites/default/files/Evaluations/2020-03/Morocco-%20Review%20of%20The%20Bank%E2%80%99s%20Assistance%20to%20the%20Health%20Sector%2C%201994-2004.pdf","Cache miss","2026-09-14","",""
"30","open borrower original","https://libraryir.parliament.go.ke/bitstreams/62ed5b67-0bd2-443a-95d5-d2d1adc8517b/download","400 Content length too large: 35388797 bytes; no local bytes","2026-09-14","",""
