line_id,country,sha256,locator,ordinal,label,classification,own_status,own_status_axis,own_sector,groups,recorded_at,notes
zaf-jet-investment-register-q1-2026-overall-data-1,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID ACTIP001",1,Skills Research Programme,register_allocation,D. Completed,delivery,Skills,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-2,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID ACTIP002",2,JT-Mpumalanga Community Development: Organisational Development,register_allocation,B. Approved,delivery,JT-Mpumalanga,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-3,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN001",3,Skills Research Programme,register_allocation,C. Implementation Phase,delivery,Skills,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-4,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN002",4,Just Transition Support Programme,register_allocation,C. Implementation Phase,delivery,Skills,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-5,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN003",5,Just Transition Support Programme,register_allocation,C. Implementation Phase,delivery,Skills,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-6,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN004",6,Just Transition Support Programme,register_allocation,C. Implementation Phase,delivery,Skills,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-7,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN005",7,JET SEP Skills Planning & Data Systems,register_allocation,B. Approved,delivery,Skills,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-8,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN006",8,JET SEP Working Group Facilitation,register_allocation,B. Approved,delivery,Skills,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-9,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN007",9,JET SEP TVET Lecturer Development,register_allocation,B. Approved,delivery,Skills,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-10,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN008",10,JET SEP Workplace-Based Learning Expansion,register_allocation,B. Approved,delivery,Skills,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-11,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK001",11,Electricity Grid Infrastructure Programme,register_allocation,C. Implementation Phase,delivery,Electricity,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-12,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK002",12,Electricity Grid Infrastructure Programme,register_allocation,C. Implementation Phase,delivery,Electricity,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-13,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK003",13,JT-Mpumalanga Wind Energy: Mining Rights Mapping,register_allocation,D. Completed,delivery,JT-Mpumalanga,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-14,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK004",14,Municipal Climate Resilience Programme: Alternative Service Delivery in Nomzamo,register_allocation,D. Completed,delivery,JT-Mpumalanga,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-15,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK005",15,JT-Mpumalanga Wind Energy: Mpumalanga Wind Atlas,register_allocation,C. Implementation Phase,delivery,JT-Mpumalanga,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-16,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK006",16,Just Transition Support Programme,register_allocation,C. Implementation Phase,delivery,Electricity,,2026-09-23,
zaf-jet-investment-register-q1-2026-overall-data-17,ZAF,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK008",17,Skills Research Programme,register_allocation,C. Implementation Phase,delivery,Skills,,2026-09-23,
