line_id,country,sha256,locator,ordinal,label,classification,own_status,own_status_axis,own_sector,groups,recorded_at,notes
idn-progress25-t4-3-2-sreap-kfw,IDN,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,"p.72, Table 4.3-2, Germany / KfW / PLN / RBL SREAP",2,"KfW RBL SREAP concessional loan, EUR 63.9 million",named_item,,,,,2026-09-25,0970 source-row adjudication; Approved-finance row; grid infrastructure in West and Central Java; no disbursement or construction claim.
idn-progress25-t4-3-2-muara-laboh-jbic,IDN,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,"p.72, Table 4.3-2, Japan / JBIC / Supreme Energy Muara Laboh / Stage 2",10,"JBIC Muara Laboh Stage 2 non-concessional loan, USD 138 million",named_item,,,,,2026-09-25,0970 source-row adjudication; Approved-finance row; separate MUFG commercial-loan row is TBC and awaits confirmation.
idn-progress25-t4-3-4-etp-canada,IDN,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,"p.73, Table 4.3-4, Canada / UNOPS / ETP",3,"Canada via UNOPS contribution to ETP, CAD 2.0 million",named_item,,,,,2026-09-25,0970 source-row adjudication; Approved grant row; distinct from the UK contribution to the same programme.
idn-progress25-t4-3-6-ietf-eu,IDN,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,"p.74, Table 4.3-6, EU / AFD / IETF",4,"EU via AFD contribution to IETF, EUR 11.0 million",named_item,,,,,2026-09-25,0970 source-row adjudication; Approved grant row; distinct from the France/AFD contribution.
idn-progress25-t4-3-7-ietf-france,IDN,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,"p.74, Table 4.3-7, France / AFD / IETF",1,"France via AFD contribution to IETF, EUR 4.1 million",named_item,,,,,2026-09-25,0970 source-row adjudication; Approved grant row; distinct from the EU/AFD contribution.
idn-progress25-t4-3-11-etp-uk,IDN,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,"pp.75-76, Table 4.3-11, UK / UNOPS-ETP / ETP",2,"UK via UNOPS/ETP contribution to ETP, GBP 2.0 million",named_item,,,,,2026-09-25,0970 source-row adjudication; Approved grant row; distinct from the Canada contribution.
idn-progress25-t4-3-3-gecs,IDN,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,"p.72, Table 4.3-3, Germany / KfW / PLN / Green Energy Corridors Sulawesi",1,"Green Energy Corridors Sulawesi, EUR 300 million KfW loan in process",named_item,,,,,2026-09-25,"0970 source-row adjudication; KfW Board approved; PLN Board approval pending; 275 kV South Sulawesi grid development is described, not construction."
idn-progress25-t4-3-3-nagajaya,IDN,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,"p.72, Table 4.3-3, Norway / Norfund / Micro hydro Nagajaya",5,Nagajaya 6 MW micro-hydro equity financing in process,named_item,,,,,2026-09-25,0970 source-row adjudication; PPA signed; COD expected by mid-2027. Later portal reports 6.5 MW; retain both reported values.
idn-progress25-t4-3-3-dediesel-east,IDN,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,"p.72, Table 4.3-3, Private / Phase 1 Eastern de-dieselization",6,"Eastern de-dieselization programme, 46 locations, financing in process",named_item,,,,,2026-09-25,0970 source-row adjudication; Tender winner announced and PPA negotiation ongoing; programme is not one plant.
idn-progress25-t4-3-3-e-taxi,IDN,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,"p.73, Table 4.3-3, Private / E-Taxi",14,"E-Taxi service, financing in process",named_item,,,,,2026-09-25,0970 source-row adjudication; Service aims to start in Q1 2025; no evidence in this row that operation began.
