line_id,country,sha256,locator,ordinal,label,classification,own_status,own_status_axis,own_sector,groups,recorded_at,notes
sen-investment-plan-annexes-mirror-submitted-project-1,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 1; PDF page 13",1,Super Mini grids for Rural Senegal,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 2; promoter=MicroGen Renewables & Senegal Transaction International SARL; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-2,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 2; PDF page 13",2,Résilience des communautés vulnérables au changement climatique et gestion durable des ressources naturelles : Cas de l'aire marine protégée d Abéné en Basse Casamance,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 10; promoter=Université Assane Seck de Ziguinchor; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-3,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 3; PDF page 13",3,"Installation d’unités pilote de briquetage, pour la production de briquettes de charbon alternatives au charbon de bois comme solution de lutte contre la déforestation, à proximité des forêts classées de la Casamance",submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 3; promoter=Université Assane Seck de Ziguinchor; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-4,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 4; PDF page 13",4,Airport Express: Service de taxi électriques entre AIBD et les ville sur un rayon de 70 km,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 6; promoter=KRAEE Solair Africa Energy; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-5,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 5; PDF page 13",5,Electrification de 350 Villages Par Mini-Centrales Solaires,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 2; promoter=ASER; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-6,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 6; PDF page 13",6,Electrification de Villages Par Mini-Centrales Solaires,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 2; promoter=ASER; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-7,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 7; PDF page 13",7,Projet d’intégration de centrales solaires au réseau dans 600 villages par injection,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 2; promoter=ASER; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-8,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 8; PDF page 13",8,Eclairage général efficace,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 4; promoter=AEME; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-9,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 9; PDF page 13",9,Eclairage public efficace,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 4; promoter=AEME; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-10,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 10; PDF page 13",10,Ecofridges,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 4; promoter=AEME; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-11,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 11; PDF page 13",11,Programme de réduction de la facture d’électricité de l’Etat par l’utilisation de sources d’énergies renouvelables et l’efficacité énergétique,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 4; promoter=AEME; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-12,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 12; PDF page 13",12,Projet d'amélioration des Performances énergétiques des Stades du Sénégal (PAPES),submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 4; promoter=AEME; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-13,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 13, row 13; PDF page 13",13,Extension des points d'information territorialisés (PIT) sur la maîtrise de l'énergie,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 4; promoter=AEME; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-14,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 14, row 14; PDF page 14",14,Programme SARDEL de réduction de la facture publique d'électricité par l'optimisation de la facturation et des installations électriques sur 9 000 polices d'abonnement,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 4; promoter=AEME; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-15,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 14, row 15; PDF page 14",15,Construction de 2 centrales solaires de 50MWc avec du stockage de 2x30MW/90MWh,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 1; promoter=SENELEC; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-16,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 14, row 16; PDF page 14",16,Construction de centrales Hybrides PV + BESS dans 18 îles du Saloum,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 2; promoter=SENELEC; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-17,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 14, row 17; PDF page 14",17,Projet d'installation de biodigesteurs pour une transition énergétique et une résilience des populations rurales et péri-urbaines face aux effets du changement climatique,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 3; promoter=PNB; receipt is not approval, financing or implementation"
sen-investment-plan-annexes-mirror-submitted-project-18,SEN,dcd4fd924f9e637d36beb192f509b7971b8b5dda0a76e3c17b799ba26ff43b21,"Annex 2, p. 14, row 18; PDF page 14",18,Installation d’ entrepôts frigorifiques alimentés au solaire et à usage de conservation de produits horticoles et laitiers,submission,,,,,2026-09-23,"Project received for evaluation; strategic orientation axis 8; promoter=OFF GRID AFRICA; receipt is not approval, financing or implementation"
