pays;volet;indicateur;valeur;unite_devise;annee_perimetre;source_nom;url;date_consultation;divergence_notes
Afrique du Sud;souverain;PIB nominal 2021 (USD);419986284375;USD courants;2021 annee civile, PIB aux prix du marche;Banque mondiale, World Development Indicators, NY.GDP.MKTP.CD;https://data360api.worldbank.org/data360/data?DATABASE_ID=WB_WDI&INDICATOR=WB_WDI_NY_GDP_MKTP_CD&REF_AREA=ZAF&timePeriodFrom=2020&timePeriodTo=2022;2026-09-08;API historique api.worldbank.org indisponible (HTTP 502, WAF) au 2026-09-08. Valeur obtenue via l'API Data360 de la Banque mondiale, memes series WDI.
Afrique du Sud;souverain;PIB nominal 2021 (ZAR);6206842061200;ZAR courants;2021 annee civile, PIB aux prix du marche;Banque mondiale, WDI, NY.GDP.MKTP.CN;https://data360api.worldbank.org/data360/data?DATABASE_ID=WB_WDI&INDICATOR=WB_WDI_NY_GDP_MKTP_CN&REF_AREA=ZAF&timePeriodFrom=2020&timePeriodTo=2022;2026-09-08;Taux implicite WDI 2021 = 6206,842/419,986 = 14,78 ZAR/USD (moyenne annuelle), different du taux de novembre 2021 (15,5313).
Afrique du Sud;souverain;PIB de l'exercice 2021/22 (ZAR);6107000000000;ZAR courants;exercice budgetaire avril 2021 - mars 2022;FMI, Country Report No. 22/37, Table 2, memorandum items;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Le FMI (Annexe VIII, note 2) signale une revision des comptes nationaux relevant le PIB d'environ 10 pour cent, ce qui abaisse tous les ratios dette/PIB historiques.
Afrique du Sud;souverain;Paquet JETP en pourcentage du PIB 2021 (base USD);2,02;pourcentage du PIB;2021, 8,5 Md USD / 419,986 Md USD;Calcul de l'auteur sur WDI NY.GDP.MKTP.CD;https://data360api.worldbank.org/data360/data?DATABASE_ID=WB_WDI&INDICATOR=WB_WDI_NY_GDP_MKTP_CD&REF_AREA=ZAF&timePeriodFrom=2020&timePeriodTo=2022;2026-09-08;Arithmetique de l'auteur, explicitee. Base ZAR: 132,0/6206,8 = 2,13 pourcent - divergence due au taux de change retenu.
Afrique du Sud;souverain;Paquet JETP en pourcentage du PIB 2021 (base ZAR);2,13;pourcentage du PIB;2021, R132,0 md / R6206,8 md;Calcul de l'auteur sur WDI NY.GDP.MKTP.CN et Fed G.5 nov 2021;https://data360api.worldbank.org/data360/data?DATABASE_ID=WB_WDI&INDICATOR=WB_WDI_NY_GDP_MKTP_CN&REF_AREA=ZAF&timePeriodFrom=2020&timePeriodTo=2022;2026-09-08;Divergence avec la base USD (2,02 pourcent): le WDI implique 14,78 ZAR/USD pour 2021, le taux de novembre 2021 est 15,5313.
Afrique du Sud;souverain;Encours de dette externe totale 2021;169447431525;USD courants;fin 2021, dette externe totale tous secteurs (public, garanti, prive non garanti);Banque mondiale, International Debt Statistics / WDI, DT.DOD.DECT.CD;https://data360api.worldbank.org/data360/data?DATABASE_ID=WB_WDI&INDICATOR=WB_WDI_DT_DOD_DECT_CD&REF_AREA=ZAF&timePeriodFrom=2019&timePeriodTo=2022;2026-09-08;Serie: 2019 190747897765, 2020 175427437080, 2021 169447431525, 2022 171731622091. Base WB_IDS de Data360 renvoie count 0 pour ZAF, valeur obtenue via WB_WDI.
Afrique du Sud;souverain;Dette externe totale 2021 en pourcentage du RNB;41,04;pourcentage du RNB;2021;Banque mondiale, WDI, DT.DOD.DECT.GN.ZS;https://data360api.worldbank.org/data360/data?DATABASE_ID=WB_WDI&INDICATOR=WB_WDI_DT_DOD_DECT_GN_ZS&REF_AREA=ZAF&timePeriodFrom=2019&timePeriodTo=2022;2026-09-08;
Afrique du Sud;souverain;Paquet JETP en pourcentage de l'encours de dette externe 2021;5,02;pourcentage;2021, 8,5/169,447;Calcul de l'auteur sur WDI DT.DOD.DECT.CD;https://data360api.worldbank.org/data360/data?DATABASE_ID=WB_WDI&INDICATOR=WB_WDI_DT_DOD_DECT_CD&REF_AREA=ZAF&timePeriodFrom=2019&timePeriodTo=2022;2026-09-08;Arithmetique de l'auteur.
Afrique du Sud;souverain;Dette externe totale en pourcentage du PIB 2021;40,3;pourcentage du PIB;2021, calcul 169,447/419,986;Calcul de l'auteur sur WDI;https://data360api.worldbank.org/data360/data?DATABASE_ID=WB_WDI&INDICATOR=WB_WDI_DT_DOD_DECT_CD&REF_AREA=ZAF&timePeriodFrom=2019&timePeriodTo=2022;2026-09-08;DIVERGENCE: le FMI (CR 22/37 Annexe VI) projette la dette externe au-dessus de 45 pourcent du PIB a partir de 2022 et rappelle un pic a 45 pourcent en 2017 puis 43 pourcent en 2018. Les deux series ne coincident pas, non moyennees.
Afrique du Sud;souverain;Part de la dette externe libellee en rand;environ 50;pourcentage de la dette externe totale;2021-2026, projection FMI;FMI, Country Report No. 22/37, Annexe VI, paragraphe 5;https://www.elibrary.imf.org/downloadpdf/journals/002/2022/037/002.2022.issue-037-en.pdf;2026-09-08;Verbatim: rand-denominated external debt representing half of the total. Attenue le risque de change souverain.
