pays,cohorte,cohorte_debut,cohorte_fin,perimetre,horizon_ans,n_activites,engage_MUSD_const2024,decaisse_cumul_MUSD_const2024,taux_pondere_pct,taux_median_activite_pct,taux_q1_activite_pct,taux_q3_activite_pct,activites_exclues_censure
IDN,2006-2009,2006,2009,"tous instruments, toutes modalites",0,82,778.0,102.23,13.14,77.2,0.0,100.0,0
IDN,2006-2009,2006,2009,"tous instruments, toutes modalites",1,82,778.0,149.02,19.15,96.77,0.07,100.0,0
IDN,2006-2009,2006,2009,"tous instruments, toutes modalites",2,82,778.0,158.44,20.37,97.13,4.92,100.0,0
IDN,2006-2009,2006,2009,"tous instruments, toutes modalites",3,82,778.0,178.24,22.91,97.13,7.75,100.0,0
IDN,2006-2009,2006,2009,"tous instruments, toutes modalites",4,82,778.0,188.61,24.24,97.13,19.12,100.0,0
IDN,2006-2009,2006,2009,"prets ODA, toutes modalites",0,7,558.51,0.0,0.0,0.0,0.0,0.0,0
IDN,2006-2009,2006,2009,"prets ODA, toutes modalites",1,7,558.51,1.12,0.2,0.0,0.0,0.0,0
IDN,2006-2009,2006,2009,"prets ODA, toutes modalites",2,7,558.51,3.85,0.69,0.0,0.0,0.0,0
IDN,2006-2009,2006,2009,"prets ODA, toutes modalites",3,7,558.51,5.82,1.04,0.0,0.0,0.0,0
IDN,2006-2009,2006,2009,"prets ODA, toutes modalites",4,7,558.51,8.03,1.44,0.0,0.0,0.0,0
IDN,2006-2009,2006,2009,"dons ODA, toutes modalites",0,72,107.9,22.65,21.0,95.79,0.22,100.0,0
IDN,2006-2009,2006,2009,"dons ODA, toutes modalites",1,72,107.9,37.75,34.98,99.08,3.56,100.0,0
IDN,2006-2009,2006,2009,"dons ODA, toutes modalites",2,72,107.9,44.44,41.19,99.93,29.04,100.0,0
IDN,2006-2009,2006,2009,"dons ODA, toutes modalites",3,72,107.9,62.27,57.71,99.93,50.47,100.0,0
IDN,2006-2009,2006,2009,"dons ODA, toutes modalites",4,72,107.9,70.43,65.27,99.93,68.73,100.0,0
IDN,2006-2009,2006,2009,"prets ODA, type projet C01",0,7,558.51,0.0,0.0,0.0,0.0,0.0,0
IDN,2006-2009,2006,2009,"prets ODA, type projet C01",1,7,558.51,1.12,0.2,0.0,0.0,0.0,0
IDN,2006-2009,2006,2009,"prets ODA, type projet C01",2,7,558.51,3.85,0.69,0.0,0.0,0.0,0
IDN,2006-2009,2006,2009,"prets ODA, type projet C01",3,7,558.51,5.82,1.04,0.0,0.0,0.0,0
IDN,2006-2009,2006,2009,"prets ODA, type projet C01",4,7,558.51,8.03,1.44,0.0,0.0,0.0,0
IDN,2006-2009,2006,2009,"dons ODA, type projet C01",0,17,23.8,7.97,33.5,0.0,0.0,100.0,0
IDN,2006-2009,2006,2009,"dons ODA, type projet C01",1,17,23.8,13.39,56.26,52.77,0.0,100.0,0
IDN,2006-2009,2006,2009,"dons ODA, type projet C01",2,17,23.8,14.23,59.8,52.87,0.0,100.0,0
IDN,2006-2009,2006,2009,"dons ODA, type projet C01",3,17,23.8,15.27,64.15,78.86,0.0,100.0,0
IDN,2006-2009,2006,2009,"dons ODA, type projet C01",4,17,23.8,15.44,64.85,78.86,0.0,100.0,0
IDN,2006-2009,2006,2009,"tous instruments, type projet C01",0,24,582.31,7.97,1.37,0.0,0.0,47.5,0
IDN,2006-2009,2006,2009,"tous instruments, type projet C01",1,24,582.31,14.51,2.49,0.0,0.0,82.89,0
IDN,2006-2009,2006,2009,"tous instruments, type projet C01",2,24,582.31,18.09,3.11,0.0,0.0,96.16,0
IDN,2006-2009,2006,2009,"tous instruments, type projet C01",3,24,582.31,21.09,3.62,0.0,0.0,96.16,0
IDN,2006-2009,2006,2009,"tous instruments, type projet C01",4,24,582.31,23.47,4.03,0.0,0.0,96.16,0
IDN,2010-2013,2010,2013,"tous instruments, toutes modalites",0,155,2842.71,123.92,4.36,87.41,2.44,99.99,0
IDN,2010-2013,2010,2013,"tous instruments, toutes modalites",1,155,2842.71,163.93,5.77,98.74,21.64,100.0,0
IDN,2010-2013,2010,2013,"tous instruments, toutes modalites",2,155,2842.71,210.31,7.4,98.79,39.08,100.0,0
IDN,2010-2013,2010,2013,"tous instruments, toutes modalites",3,155,2842.71,312.5,10.99,98.79,58.52,100.0,0
IDN,2010-2013,2010,2013,"tous instruments, toutes modalites",4,155,2842.71,454.72,16.0,98.79,61.95,100.0,0
IDN,2010-2013,2010,2013,"prets ODA, toutes modalites",0,6,734.41,0.0,0.0,0.0,0.0,0.0,0
IDN,2010-2013,2010,2013,"prets ODA, toutes modalites",1,6,734.41,2.25,0.31,0.0,0.0,0.56,0
IDN,2010-2013,2010,2013,"prets ODA, toutes modalites",2,6,734.41,3.43,0.47,0.0,0.0,0.9,0
IDN,2010-2013,2010,2013,"prets ODA, toutes modalites",3,6,734.41,15.4,2.1,1.4,0.0,5.72,0
IDN,2010-2013,2010,2013,"prets ODA, toutes modalites",4,6,734.41,37.3,5.08,4.44,0.0,23.11,0
IDN,2010-2013,2010,2013,"dons ODA, toutes modalites",0,128,146.7,36.93,25.18,98.29,14.82,99.07,0
IDN,2010-2013,2010,2013,"dons ODA, toutes modalites",1,128,146.7,53.0,36.12,98.79,49.6,100.0,0
IDN,2010-2013,2010,2013,"dons ODA, toutes modalites",2,128,146.7,65.82,44.87,98.79,67.16,100.0,0
IDN,2010-2013,2010,2013,"dons ODA, toutes modalites",3,128,146.7,75.47,51.44,98.79,76.44,100.0,0
IDN,2010-2013,2010,2013,"dons ODA, toutes modalites",4,128,146.7,78.08,53.22,98.79,86.11,100.0,0
IDN,2010-2013,2010,2013,"prets ODA, type projet C01",0,6,734.41,0.0,0.0,0.0,0.0,0.0,0
IDN,2010-2013,2010,2013,"prets ODA, type projet C01",1,6,734.41,2.25,0.31,0.0,0.0,0.56,0
IDN,2010-2013,2010,2013,"prets ODA, type projet C01",2,6,734.41,3.43,0.47,0.0,0.0,0.9,0
IDN,2010-2013,2010,2013,"prets ODA, type projet C01",3,6,734.41,15.4,2.1,1.4,0.0,5.72,0
IDN,2010-2013,2010,2013,"prets ODA, type projet C01",4,6,734.41,37.3,5.08,4.44,0.0,23.11,0
IDN,2010-2013,2010,2013,"dons ODA, type projet C01",0,94,109.2,27.51,25.19,92.89,11.7,99.06,0
IDN,2010-2013,2010,2013,"dons ODA, type projet C01",1,94,109.2,39.31,36.0,98.79,46.39,99.07,0
IDN,2010-2013,2010,2013,"dons ODA, type projet C01",2,94,109.2,47.06,43.1,98.79,68.14,99.07,0
IDN,2010-2013,2010,2013,"dons ODA, type projet C01",3,94,109.2,49.58,45.41,98.79,71.62,99.07,0
IDN,2010-2013,2010,2013,"dons ODA, type projet C01",4,94,109.2,51.45,47.12,98.79,74.78,99.07,0
IDN,2010-2013,2010,2013,"tous instruments, type projet C01",0,112,1579.13,31.52,2.0,76.27,0.66,99.06,0
IDN,2010-2013,2010,2013,"tous instruments, type projet C01",1,112,1579.13,65.05,4.12,98.73,15.28,99.27,0
IDN,2010-2013,2010,2013,"tous instruments, type projet C01",2,112,1579.13,88.59,5.61,98.78,35.52,99.87,0
IDN,2010-2013,2010,2013,"tous instruments, type projet C01",3,112,1579.13,148.38,9.4,98.78,48.59,99.87,0
IDN,2010-2013,2010,2013,"tous instruments, type projet C01",4,112,1579.13,219.08,13.87,98.78,49.58,99.87,0
IDN,2014-2017,2014,2017,"tous instruments, toutes modalites",0,113,7955.48,1332.52,16.75,18.27,0.0,100.0,0
IDN,2014-2017,2014,2017,"tous instruments, toutes modalites",1,113,7955.48,3702.24,46.54,71.03,0.0,100.0,0
IDN,2014-2017,2014,2017,"tous instruments, toutes modalites",2,113,7955.48,4451.24,55.95,90.67,10.34,100.0,0
IDN,2014-2017,2014,2017,"tous instruments, toutes modalites",3,113,7955.48,5119.4,64.35,96.03,22.19,100.0,0
IDN,2014-2017,2014,2017,"tous instruments, toutes modalites",4,113,7955.48,5444.65,68.44,96.03,35.07,100.0,0
IDN,2014-2017,2014,2017,"prets ODA, toutes modalites",0,16,2555.67,571.41,22.36,0.0,0.0,0.0,0
IDN,2014-2017,2014,2017,"prets ODA, toutes modalites",1,16,2555.67,852.85,33.37,0.0,0.0,32.76,0
IDN,2014-2017,2014,2017,"prets ODA, toutes modalites",2,16,2555.67,905.08,35.41,2.13,0.0,64.7,0
IDN,2014-2017,2014,2017,"prets ODA, toutes modalites",3,16,2555.67,981.54,38.41,3.43,0.0,98.62,0
