name_row_id,party_id,name,form_type,language,document_id,line_id,recorded_at,decided_by,status,supersedes,notes
acwa-power.name.1,acwa-power,ACWA Power,preferred,,idn-project-singkarak-acwa-2022,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
aeme.name.1,aeme,AEME,preferred,,sen-aeme-project-08,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
afd.name.1,afd,AFD,preferred,,sen-afd-arescaleup-2025,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
african-development-bank.name.1,african-development-bank,African Development Bank,preferred,,sen-afdb-plan-procurement-2023,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
agence-francaise-de-developpement.name.1,agence-francaise-de-developpement,Agence Francaise de Developpement,preferred,,zaf-afd-jet-policy-loan-2024,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
aner.name.1,aner,ANER,preferred,,sen-aner-contact-2026,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
antara-news.name.1,antara-news,ANTARA News,preferred,,idn-news-legok-groundbreaking-antara-2026,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
arcop.name.1,arcop,ARCOP,preferred,,sen-arcop-aeepower-decision107-2024,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
artelia.name.1,artelia,ARTELIA,preferred,,sen-artelia-thiestouba-gbif,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,read from the publisher text 'ARTELIA via GBIF'
aser.name.1,aser,ASER,preferred,,sen-aser-programmes,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
asian-development-bank.name.1,asian-development-bank,Asian Development Bank,preferred,,idn-adb-aicet-56140-001,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
bmn.name.1,bmn,BMN,preferred,,sen-bmn-energy-programme,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
boad.name.1,boad,BOAD,preferred,,sen-boad-dakar-office-2026,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
boad-send-senelec-huawei.name.1,boad-send-senelec-huawei,BOAD / SEND Senelec Huawei,preferred,,sen-boad-ouarkhokh-esia,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
boad-senelec.name.1,boad-senelec,BOAD / Senelec,preferred,,sen-scout-ouarkhokh-pepp,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
british-international-investment.name.1,british-international-investment,British International Investment,preferred,,vnm-bii-vpbank-2025,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
c40-cities-finance-facility.name.1,c40-cities-finance-facility,C40 Cities Finance Facility,preferred,,idn-project-rsud-retrofit-c40,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
cesag.name.1,cesag,CESAG,preferred,,sen-scout-cesag-aner-thesis,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,read from the publisher text 'CESAG / Fatou Ndiaye'
cetud.name.1,cetud,CETUD,preferred,,sen-cetud-biognv-2021,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
climate-action-africa.name.1,climate-action-africa,Climate Action Africa,preferred,,sen-caa-aner-capacity-065,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
climate-policy-radar.name.1,climate-policy-radar,Climate Policy Radar,preferred,,idn-cipp-2023-cpr-mirror,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
coordinating-ministry-for-economic-affairs.name.1,coordinating-ministry-for-economic-affairs,Coordinating Ministry for Economic Affairs,preferred,,idn-cmea-progress-december-2025,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
department-of-trade-industry-and-competition.name.1,department-of-trade-industry-and-competition,Department of Trade Industry and Competition,preferred,,zaf-dtic-parliament-nev-2025,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
development-bank-of-southern-africa.name.1,development-bank-of-southern-africa,Development Bank of Southern Africa,preferred,,zaf-dbsa-ntcsa-transmission,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
enercap.name.1,enercap,ENERCAP,preferred,,sen-annex8-project-analysis,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,read from the publisher text 'MEPM / ENERCAP via Vie-Publique.sn'
energy-efficiency-in-public-buildings-and-infrastructure-programme.name.1,energy-efficiency-in-public-buildings-and-infrastructure-programme,Energy Efficiency in Public Buildings and Infrastructure Programme,preferred,,zaf-eepbip-portal,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
european-commission.name.1,european-commission,European Commission,preferred,,sen-eu-portal,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
european-external-action-service.name.1,european-external-action-service,European External Action Service,preferred,,vnm-eeas-jetp-project-progress-2025,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
european-investment-bank.name.1,european-investment-bank,European Investment Bank,preferred,,idn-eib-ptsmi-mou-2024,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
european-union.name.1,european-union,European Union,preferred,,zaf-zandkopsdrift-eu-2025,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
federal-government-of-germany.name.1,federal-government-of-germany,Federal Government of Germany,preferred,,zaf-jetp-political-declaration-2021,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
federal-ministry-for-economic-cooperation-and-development.name.1,federal-ministry-for-economic-cooperation-and-development,Federal Ministry for Economic Cooperation and Development,preferred,,sen-bmz-jetp-factsheet,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
fondation-energies-pour-le-monde.name.1,fondation-energies-pour-le-monde,Fondation Energies pour le Monde,preferred,,sen-kasofor-fondem,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
foreign-commonwealth-and-development-office.name.1,foreign-commonwealth-and-development-office,Foreign Commonwealth and Development Office,preferred,,zaf-fcdo-jetp-programme-301523,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
frontier-rare-earths.name.1,frontier-rare-earths,Frontier Rare Earths,preferred,,zaf-zandkopsdrift-operator,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
genertec-international.name.1,genertec-international,Genertec International,preferred,,sen-genertec-ouarkhokh-chinese-2026,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
genertec-international-cntic.name.1,genertec-international-cntic,Genertec International / CNTIC,preferred,,sen-scout-genertec-ouarkhokh,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
giz.name.1,giz,GIZ,preferred,,sen-giz-ped2-2024,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
glasgow-financial-alliance-for-net-zero.name.1,glasgow-financial-alliance-for-net-zero,Glasgow Financial Alliance for Net Zero,preferred,,idn-gfanz-saguling-2025,,2026-09-23,scripts/jetp/build_evidence_layer.py,accepted,,
