implementation_event_id,project_id,country,event_date,implementation_status,capacity_mw,source_id,document_sha256,locator,verification_status,notes
idn-impl-green-corridors-2025,idn-pipe-green-corridors-sulawesi,IDN,2025-11-30,preparation,,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,275 kV transmission development; PLN Board approval remained pending
idn-impl-aicet-2025,idn-fin-rbl-aicet,IDN,2025-11-30,preparation,,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Results-based programme recorded in the finance pipeline
idn-impl-cirebon-closure-2025,idn-pipe-cirebon-1-retirement,IDN,2025-11-30,closure_proposed,660,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Multiple discussions and negotiations for early retirement; not coded as retired because the report supplies no closure or decommissioning evidence
idn-impl-hululais-2025,idn-pipe-hululais-1-2,IDN,2025-11-30,preparation,110,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Project reported back on track after the 2024 local-content regulation change
idn-impl-nagajaya-2025,idn-pipe-nagajaya-micro-hydro,IDN,2025-11-30,preparation,6,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,PPA signed and COD expected by mid-2027; construction not asserted
idn-impl-dediesel-east-2025,idn-pipe-dediesel-east-phase1,IDN,2025-11-30,procurement,,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Tender winner announced and PPA negotiation underway for 46 locations
idn-impl-dediesel-west-2025,idn-pipe-dediesel-west-phase1,IDN,2025-11-30,procurement,,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Tender winner announced and PPA negotiation underway for 48 locations
idn-impl-tanah-laut-2025,idn-pipe-tanah-laut-wind,IDN,2025-11-30,preparation,70,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Wind capacity is 70 MW plus 10 MWh battery storage; PPA signed in May 2023
idn-impl-legok-nangka-2025,idn-pipe-legok-nangka-waste,IDN,2025-11-30,proposed,,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Report gives a potential range of 30 to 50 MW; range retained in notes rather than collapsed to one capacity
idn-impl-singkarak-2025,idn-pipe-singkarak-floating-solar,IDN,2025-11-30,suspended,50,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Temporarily halted because of community opposition; relocation to Sijunjung under consideration
idn-impl-eib-framework-2025,idn-pipe-eib-sustainable-infrastructure,IDN,2025-11-30,proposed,,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Framework has no selected physical investment in the report
idn-impl-sutami-2025,idn-pipe-sutami-floating-solar,IDN,2025-11-30,procurement,100,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Tender completed and winner announced; joint venture and PPA negotiation underway
idn-impl-solar-manufacturing-2025,idn-pipe-solar-cell-manufacturing,IDN,2025-11-30,construction,,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Report records groundbreaking in September 2024 but does not identify the operator or confirm operation
idn-impl-e-taxi-2025,idn-pipe-e-taxi,IDN,2025-11-30,proposed,,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Intended Q1 2025 start is not treated as evidence that service began
idn-impl-hijaunesia2-2025,idn-pipe-hijaunesia-2,IDN,2025-11-30,procurement,1000,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Group A of the 1 GW reverse-auction programme was tendered; later groups awaited proposals
idn-impl-hydro-sumatra-2025,idn-pipe-hydro-quota-sumatra,IDN,2025-11-30,procurement,250,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,Table 4.3-3 pp.72-73,official_report,Procurement underway and winner not yet announced
