country,project_id,source_id,document_sha256,title,period,ipg_entity,beneficiary,implementing_partner,specific_focus,modality,financing_type,financing_source,financing_intermediary,amount_home_currency,amount_home,amount_usd,part_of_jetp_pledge,matched_event_id,report_currency_home,report_amount_home,reconciliation_status,notes
IDN,idn-grant-wolcot,idn-portfolio-wolcot,54d0792e063ebb0b4137787e2d7243719d9a85517afdb8fa4d286eea14792ec0,Women-Led Coal Transition Mechanism (WOLCOT),2021 - TBD,Canada,Various,Various,Just transition for women empowerment,Modality A,Grant / TA,IPG - Canada,World Bank and Asian Development Bank,CAD,4700000,3400000,Yes,idn-approved-wolcot-canada-2025,CAD,4700000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-esmap-canada,idn-portfolio-esmap-canada,f690fce534af1d0b26ede04816a04a5bd984e99d965de0a6d52e8249b7c23904,Energy Sector Management Assistance Program (ESMAP),1983 - TBD,Canada,Various,Various,"Agnostic - Can be used for a wide array of JETP activities, from capacity building for utilities, to assessment of social impact of coal phase-out, to de-risking investment in renewables.",Modality A,Grant / TA,IPG - Canada,World Bank,CAD,2000000,1500000,Yes,idn-approved-esmap-canada-2025,CAD,2000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-jetp-etp,idn-portfolio-etp,272849c8b5275d7237b7fd82f37ad74237833f44df099ecf455dfc211bf1d99e,South East Asia Energy Transition Partnership (ETP),10 March 2023 - 31 March 2025,Canada and UK,"Bappenas, MEMR, PLN, JETP Secretariat",United Nations Office for Project Services (UNOPS) ETP,"Streamlining Energy Policies, Resilient Grid Infrastructure, Unlocking Renewable Energy and Energy Efficiency Investment, Supply chain, CFPP phase down and early retirement, Human capital development.",Modality A,Grant / TA,IPG - Canada,UNOPS-ETP,CAD,2000000,1500000,Yes,idn-approved-etp-canada-2025,CAD,2000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-jetp-etp,idn-portfolio-etp,272849c8b5275d7237b7fd82f37ad74237833f44df099ecf455dfc211bf1d99e,South East Asia Energy Transition Partnership (ETP),10 March 2023 - 31 March 2025,Canada and UK,"Bappenas, MEMR, PLN, JETP Secretariat",United Nations Office for Project Services (UNOPS) ETP,"Streamlining Energy Policies, Resilient Grid Infrastructure, Unlocking Renewable Energy and Energy Efficiency Investment, Supply chain, CFPP phase down and early retirement, Human capital development.",Modality B,Grant / TA,IPG - United Kingdom,UNOPS-ETP,GBP,2000000,2492000,Yes,idn-approved-etp-uk-2025,GBP,2000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-cefim,idn-portfolio-cefim,2b7b8276963a8f069b5f358bdcba59a244c0b4f3ee6d69561d1fa9e628781501,Clean Energy Finance and Investment Mobilisation (CEFIM) Programme,June 2024 - March 2025,Canada,-,Organisation for Economic Co-operation and Development (OECD),Finance and investment for renewable energy and energy efficiency.,Modality A,Grant / TA,IPG - Canada,-,CAD,1000000,700000,Yes,idn-approved-cefim-canada-2025,CAD,1000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-cetp,idn-portfolio-cetp,1c23d046d1018acaced6ffc865a1f6f0fa9b9bf44ba902cd74b59c333e132f05,Clean Energy Transition Program (CETP),2017 - TBD,Canada,"MEMR, PLN, Various",International Energy Agency,Agnostic,Modality A,Grant / TA,IPG - Canada,International Energy Agency,CAD,1000000,700000,Yes,idn-approved-cetp-canada-2025,CAD,1000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-enerkey,idn-portfolio-enerkey,7959c91414d0e2a9b684837c95ea90c51ca0f83b915c02e4113376168944ec0a,EnerKey Project,- - -,Canada,-,-,-,Modality A,Grant / TA,IPG - Canada,IISD,CAD,5500000,3953400,Yes,idn-approved-enerkey-canada-2025,CAD,5500000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-eu-indonesia-cooperation-facility,idn-portfolio-euicf,745ad9d8da149cbb1fdbc24a3754d57ca10f0d98a48b2f3e202e27649391dd3a,EU-Indonesia Cooperation Facility,1 February 2023 - 1 February 2026,European Union,MEMR and/or PT Perusahaan Listrik Negara (Persero),EU-Indonesia Cooperation Facility,Open for all energy transition activities in line with JETP commitments and plans.,Modality A,Grant / TA,IPG - European Union,-,EUR,2500000,2700000,Yes,idn-approved-euicf-eu-2025,EUR,2500000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-s4i,idn-portfolio-s4i,0e9b8c5b5a12beb08a8badd0cd2a9f91342b6a5d8baf1537580ee50a247e51b0,Support for Infrastructure Investments in Indonesia (S4I) for the Establishment of Indonesia's Development Bank Project,2 December 2022 - 30 September 2024,European Union,PT. Sarana Multi Infrastruktur (Persero),KfW Development Bank,Renewable energy and urban infrastructure,Modality A,Grant / TA,IPG - European Union,KfW,EUR,17100000,18200000,Yes,idn-approved-s4i-eu-2025,EUR,17000000,amount_mismatch,Portal and 2025 Progress Report home-currency values differ; both are preserved
IDN,idn-grant-sdg-indonesia-one,idn-portfolio-sdg-one,5e8254a2ea2b60ad5c94f272f09ff61ca82765d04a2d242dc87875121fdc11c6,SDG Indonesia One,May 2020 - May 2025,European Union,PT Sarana Multi Infrastruktur (Persero),Agence Française de Développement,"Renewable energy, Non-energy GHG reductions, Water, Water & Wastewater, Energy Efficiency, Lower-carbon & energy efficient generation, Infrastructure & Urban Development, SDG Sector financing",Modality A,Grant / TA,IPG - European Union,AFD,EUR,5000000,5400000,Yes,idn-approved-sdg-one-eu-2025,EUR,5000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-ietf,idn-portfolio-ietf,55dd7f617bfc97ac518b3a1c943612c6b790e198aa68e63cefd64a89f74738e7,IETF - Indonesia Energy Transition Facility,4/2/2025 - 31/12/2029,EU and France,"MEMR, PLN and other energy SOEs","MEMR, PLN and other energy SOEs","Policies support, Project preparation IFA#1, IFA#3, IFA#4, IFA#5",Modality A,Grant / TA,IPG - European Union,AFD,EUR,11000000,11972137,Yes,idn-approved-ietf-eu-2025,EUR,11000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-ietf,idn-portfolio-ietf,55dd7f617bfc97ac518b3a1c943612c6b790e198aa68e63cefd64a89f74738e7,IETF - Indonesia Energy Transition Facility,4/2/2025 - 31/12/2029,EU and France,"MEMR, PLN and other energy SOEs","MEMR, PLN and other energy SOEs","Policies support, Project preparation IFA#1, IFA#3, IFA#4, IFA#5",Modality B,Grant / TA,IPG - France,AFD,EUR,4140000,4505877,Yes,idn-approved-ietf-france-2025,EUR,4100000,amount_mismatch,Portal and 2025 Progress Report home-currency values differ; both are preserved
IDN,idn-grant-ipdf,idn-portfolio-ipdf,5f633f8d8a8f3a36e2bebd56193772dfafce15d7f09f2fb780dac9b21a9586c6,Indonesia Policy Dialogue Fund (IPDF),23 December 2019 - 23 December 2024,European Union,PT. Perusahaan Listrik Negara (Persero) (JETP scope only),-,"Transmission financing, renewable energy, energy efficiency and electrification",Modality A,Grant / TA,IPG - European Union,KfW Development Bank,EUR,2000000,2100000,Yes,idn-approved-ipdf-eu-2025,EUR,3000000,amount_mismatch,Portal and 2025 Progress Report home-currency values differ; both are preserved
IDN,idn-grant-efsd-energy-preparation,idn-portfolio-efsd,b106c4937b24ed53f30fdb131d2de8fccd2c600e3a3dcef3b5fcdc5b69b78b47,European Fund for Sustainable Development Plus (EFSD+) for energy project preparation,- - -,EU,-,ADB,-,Modality A,Grant / TA,IPG - European Union,ADB,EUR,7350000,8500000,Yes,idn-approved-efsd-eu-2025,EUR,7400000,amount_mismatch,Portal and 2025 Progress Report home-currency values differ; both are preserved
IDN,idn-grant-etmptf,idn-portfolio-etmptf,447f51f5111bdf21d628d823c482441898f97f7209d9b85140f93f28ac9b510e,Energy Transition Mechanism Partnership Trust Fund (ETMPTF),June 2022 - TBD,Germany,Various,IKI/Asian Development Bank Energy Transition Mechanism,"Early retirement of coal fired power plants ETMPTF is a driving force behind the Energy Transition Mechanism (ETM), one of the Asian Development Bank’s (ADB)’s flagship climate initiatives which aims to expedite the shift from coal-based power to clean energy across the region.",Modality A,Grant / TA,IPG - Germany,IKI/Asian Development Bank Energy Transition Mechanism,EUR,30000000,32100000,Yes,idn-approved-etmptf-germany-2025,EUR,30000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-seti,idn-portfolio-seti,9d2d94808abc6771f413fe71e5943d54a880c5fc9ac9e3e970b237c9acd3a946,Sustainable Energy Transition in Indonesia (SETI),01 August 2023 - 31 July 2028,Germany,Ministry of Energy and Mineral Resources,GIZ & Consortium,"Renewable Energy and Energy Efficiency, with specific focus in (1) Industrial Decarbonization through RE and EE, and (2) RE and EE in the Building Sector",Modality A,Grant / TA,IPG - Germany,IKI/GIZ,EUR,15000000,16200000,Yes,idn-approved-seti-germany-2025,EUR,15000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-etap,idn-portfolio-etap,fca089fa078399c9c35be0e4e175bafecbdc0f5a45ccb1efaf9f5145de6e73c3,Energy Transition Acceleration Programme (ETAP),January 2024 - December 2028,Germany,KfW Development Bank,PT PLN,Strengthening PT PLN's capacities regarding the environmental and social management of projects in accordance with international standards and the implementation of geothermal projects.,Modality A,Grant / TA,IPG - Germany,KfW Development Bank,EUR,6500000,7000000,Yes,idn-approved-etap-germany-2025,EUR,6500000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-iki-jet,idn-portfolio-iki-jet,85fb7a8c421204f61a6b73df8024be99cfe22c2c4d3d1ba4d9f2c6e64df3135c,Innovation Regions for A Just Energy Transition (IKI JET),January 2023 - June 2026,Germany,Bappenas,GIZ,Support coal regions (East Kalimantan and South Sumatra) in a participatory planning process for just energy transition.,Modality A,Grant / TA,IPG - Germany,IKI/GIZ,EUR,6500000,7252700,Yes,idn-approved-iki-jet-germany-2025,EUR,6500000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-asia-low-carbon-buildings,idn-portfolio-low-carbon-buildings,ba911394fd3c509f071ebeed46e994c7a739dbe00858ce59c37c47b1b25cf182,Asia Low Carbon Building Transition,August 2023 - August 2028,Germany,Ministry of Public Works and Housing & Ministry of Energy and Mineral Resources,IKI/Global Green Growth Institute,Energy Efficiency in Building Sector,Modality A,Grant / TA,IPG - Germany,IKI/GGGI,EUR,3800000,4100000,Yes,idn-approved-low-carbon-buildings-germany-2025,EUR,3800000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-gesit,idn-portfolio-gesit,749ca75a13d63163ab73df1095aaafe8d43a68437d6c56ad25c7e84634cc6892,Green Jobs for Social Inclusion and Sustainable Transformation (GESIT),August 2024 - June 2028,Germany,Ministry of National Development Planning (Bappenas),GIZ,Piloting and scaling up demand-driven and inclusive training modules for upskilling and reskilling the workforce and promotion of employment in green jobs in the energy sector to support the expansion of renewable energies and a Just Energy Transition in Indonesia,Modality A,Grant / TA,IPG - Germany,BMZ,EUR,1500000,1580000,Yes,idn-approved-gesit-germany-2025,EUR,1500000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-reep2,idn-portfolio-reep2,8f757cb8c6f4ba4644cce8bbb069d2148923b3f5ca085aea5fc46f8cf7e6a0d7,"1,000 Islands – Renewable Energy for Electrification Programme Phase II (REEP2)",January 2021 - December 2024,Germany,"Directorate General of New Renewable Energy and Energy Conservation (DG NREEC), Ministry of Energy and Mineral Resources",-,"Improving the institutional, regulatory, and technical conditions to reach 23 percent renewable energy in the national energy mix by 2025.",Modality A,Grant / TA,IPG - Germany,Federal Ministry for Economic Cooperation and Development (BMZ),EUR,2000000,2200000,Yes,idn-approved-reep2-germany-2025,EUR,2000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-case,idn-portfolio-case,eda8ee68a22d24662b1a6a78c51395f6213b5ba2e0bfbb5f8511fc9c3278abd8,"Clean, Affordable and Secure Energy for Southeast Asia (CASE)",December 2020 - 28 February 2027,Germany,Ministry Energy and Mineral Resources of Indonesia,GIZ,The CASE project objective is to propose evidence-based solutions to the challenges that decision-makers are facing and to build societal support around those solutions in the region by applying a joint fact-finding approach to narrow areas of disagreement through the involvement of expert analysis and dialogue.,Modality A,Grant / TA,IPG - Germany,"IKI BMWK, Germany",EUR,2500000,2700000,Yes,idn-approved-case-germany-2025,EUR,2500000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-entri,idn-portfolio-entri,1da39c852a12ddd4bf4c285cf617db37eb30087de016b3992890019626898be8,Renewable Energy Mini-Grids Triangular Cooperation (ENTRI) Project,January 2023 - December 2025,Germany,Ministry Energy and Mineral Resources of Indonesia,GIZ,Main Focus: Improving Indonesia’s position as leader in decentralized renewable energy in particular within International Development community which at the same time improves Indonesia’s energy access planning and implementation. Specific Focus Technologies/Areas: Decentralized Renewable Energy with focus on RE mini grids utilizing hydro or solar energy.,Modality A,Grant / TA,IPG - Germany,BMZ,EUR,2000000,2200000,Yes,idn-approved-entri-germany-2025,EUR,2000000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-explore,idn-portfolio-explore,2e1dc8c230a373e44dabbcd0ac722762bbfb791ad6a79fd1482ea3502ab67a56,Strategic Exploration of Economic Mitigation Potentials through Renewables (ExploRE) Project,November 2018 - June 2025,Germany,Ministry of Mineral Resources of Indonesia,GIZ,"RE deployment strategy, political and financing instruments, institution building, innovation (support for RE implementation). Specific Focus Technologies/Areas: Bioenergy (power plant, biomethane, biomass feedstock, bioenergy as solution for industrial decarbonization and dedieselization) and green hydrogen & power-to-X.",Modality A,Grant / TA,IPG - Germany,IKI/GIZ,USD,1500000,1600000,Yes,idn-approved-explore-germany-2025,EUR,1500000,amount_mismatch,Portal and 2025 Progress Report home-currency values differ; both are preserved
IDN,idn-grant-candi-umbul-telomoyo,idn-portfolio-candi-umbul,b36d596de0a904a9df6d2028e5dd7da500dfb29558c0cbe1122838a93a778a65,Candi Umbul Geothermal Project,March 2024 - December 2026,Germany,PT Geo Dipa Energi (Persero),-,Funding is provided for exploration drillings and the material required therefore as to assess the capacity of geothermal resources and minimize the financial risk for a follow-up project.,Modality A,Grant / TA,IPG - Germany,German Federal Ministry for Economic Cooperation and Development through KfW Development Bank,EUR,980000,1000000,Yes,idn-approved-candi-umbul-germany-2025,EUR,1000000,amount_mismatch,Portal and 2025 Progress Report home-currency values differ; both are preserved
IDN,idn-grant-sustainable-hydropower-2,idn-portfolio-sustainable-hydropower,35fe8b85fa047cda401bc6c141cc40d4cb13d345a87263559c901c80975efc87,Accompanying Measure: Sustainable Hydropower,July 2023 - July 2025,Indonesia,PT. Perusahaan Listrik Negara (Persero),-,The aim of the measure is to support Indonesia in expanding the use of renewable resources to cover the increasing domestic energy demand.,Modality A,Grant / TA,IPG - Germany,BMZ/KfW,EUR,700000,700000,Yes,idn-approved-hydropower2-germany-2025,EUR,700000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-jetp-esia-study,idn-portfolio-jetp-esia,00827c5c255c5fdb1ab6173dbda08550a083450bf0599131377a203c0d494ebc,Facilitating Financing for Indonesia’s Just Energy Transition Partnership - ESIA Study,June 2025 - June 2026,Germany,PT. Perusahaan Listrik Negara (Persero),-,"Consulting Services to the Recipient in the framework of the “Just Energy Transition Partnership Indonesia - Supporting the Decarbonisation of the Indonesian Energy Sector""",Modality A,Grant / TA,IPG - Germany,KfW,EUR,1500000,1570000,Yes,idn-approved-esia-germany-2025,EUR,1500000,matched,Portal home-currency amount equals the 2025 Progress Report event
IDN,idn-grant-perform,idn-portfolio-perform,733edb413b208aa600f7a5d0124ae1afef3f84cff090073d2d3c045e2d6a8420,Performing Energy Transition through Fiscal Reform in Indonesia (PERFORM),July 2023 - June 2027,Germany,Ministry of Finance,Federal Ministry for Economic Cooperation and Development (BMZ),Strengthening the MoF to create a fiscal policy framework for financing the energy transition.,Modality A,Grant / TA,IPG - Germany,BMZ/GIZ,EUR,5750000,6218625,Yes,idn-approved-perform-germany-2025,EUR,5800000,amount_mismatch,Portal and 2025 Progress Report home-currency values differ; both are preserved
