observation_id,subject_kind,subject_id,axis,measure,flow_type,basis,value,value_low,value_high,unit,currency,own_status,indicator_code,line_id,method,method_version,recorded_at,status,supersedes,notes
observation-zaf-register-actip001-2026-03-30,agreement,agreement-zaf-register-actip001,money,amount,,unknown,2280000,,,USD,USD,signed,,zaf-jet-investment-register-q1-2026-overall-data-1,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-actip001-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID ACTIP001"
observation-zaf-register-actip002-2026-03-30,agreement,agreement-zaf-register-actip002,money,amount,,unknown,47720000,,,USD,USD,signed,,zaf-jet-investment-register-q1-2026-overall-data-2,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-actip002-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID ACTIP002"
observation-zaf-register-can001-2026-03-30,agreement,agreement-zaf-register-can001,money,amount,,unknown,790000,,,CAD,CAD,signed,,zaf-jet-investment-register-q1-2026-overall-data-3,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-can001-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID CAN001"
observation-zaf-register-can002-2026-03-30,agreement,agreement-zaf-register-can002,money,amount,,unknown,250000,,,CAD,CAD,signed,,zaf-jet-investment-register-q1-2026-overall-data-4,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-can002-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID CAN002"
observation-zaf-register-can003-2026-03-30,agreement,agreement-zaf-register-can003,money,amount,,unknown,400000,,,CAD,CAD,signed,,zaf-jet-investment-register-q1-2026-overall-data-5,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-can003-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID CAN003"
observation-zaf-register-can004-2026-03-30,agreement,agreement-zaf-register-can004,money,amount,,unknown,210000,,,CAD,CAD,signed,,zaf-jet-investment-register-q1-2026-overall-data-6,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-can004-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID CAN004"
observation-zaf-register-can005-2026-03-30,agreement,agreement-zaf-register-can005,money,amount,,unknown,1500000,,,CAD,CAD,signed,,zaf-jet-investment-register-q1-2026-overall-data-7,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-can005-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID CAN005"
observation-zaf-register-can006-2026-03-30,agreement,agreement-zaf-register-can006,money,amount,,unknown,1250000,,,CAD,CAD,signed,,zaf-jet-investment-register-q1-2026-overall-data-8,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-can006-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID CAN006"
observation-zaf-register-can007-2026-03-30,agreement,agreement-zaf-register-can007,money,amount,,unknown,1000000,,,CAD,CAD,signed,,zaf-jet-investment-register-q1-2026-overall-data-9,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-can007-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID CAN007"
observation-zaf-register-can008-2026-03-30,agreement,agreement-zaf-register-can008,money,amount,,unknown,1250000,,,CAD,CAD,signed,,zaf-jet-investment-register-q1-2026-overall-data-10,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-can008-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID CAN008"
observation-zaf-register-dk001-2026-03-30,agreement,agreement-zaf-register-dk001,money,amount,,unknown,18130000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-11,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk001-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK001"
observation-zaf-register-dk002-2026-03-30,agreement,agreement-zaf-register-dk002,money,amount,,unknown,22159000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-12,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk002-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK002"
observation-zaf-register-dk003-2026-03-30,agreement,agreement-zaf-register-dk003,money,amount,,unknown,1087000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-13,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk003-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK003"
observation-zaf-register-dk004-2026-03-30,agreement,agreement-zaf-register-dk004,money,amount,,unknown,2663000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-14,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk004-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK004"
observation-zaf-register-dk005-2026-03-30,agreement,agreement-zaf-register-dk005,money,amount,,unknown,15000000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-15,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk005-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK005"
observation-zaf-register-dk006-2026-03-30,agreement,agreement-zaf-register-dk006,money,amount,,unknown,21057000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-16,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk006-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK006"
observation-zaf-register-dk008-2026-03-30,agreement,agreement-zaf-register-dk008,money,amount,,unknown,6300000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-17,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk008-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK008"
observation-zaf-register-dk009-2026-03-30,agreement,agreement-zaf-register-dk009,money,amount,,unknown,11250000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-18,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk009-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK009"
observation-zaf-register-dk010-2026-03-30,agreement,agreement-zaf-register-dk010,money,amount,,unknown,42000000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-19,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk010-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK010"
observation-zaf-register-dk011-2026-03-30,agreement,agreement-zaf-register-dk011,money,amount,,unknown,2000000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-20,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk011-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK011"
observation-zaf-register-dk012-2026-03-30,agreement,agreement-zaf-register-dk012,money,amount,,unknown,500000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-21,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk012-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK012"
observation-zaf-register-dk013-2026-03-30,agreement,agreement-zaf-register-dk013,money,amount,,unknown,3000000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-22,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk013-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK013"
observation-zaf-register-dk014-2026-03-30,agreement,agreement-zaf-register-dk014,money,amount,,unknown,800000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-23,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk014-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK014"
observation-zaf-register-dk015-2026-03-30,agreement,agreement-zaf-register-dk015,money,amount,,unknown,22000000,,,USD,USD,signed,,zaf-jet-investment-register-q1-2026-overall-data-24,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk015-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK015"
observation-zaf-register-dk018-2026-03-30,agreement,agreement-zaf-register-dk018,money,amount,,unknown,80000000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-25,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk018-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK018"
observation-zaf-register-dk019-2026-03-30,agreement,agreement-zaf-register-dk019,money,amount,,unknown,27500,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-26,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk019-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK019"
observation-zaf-register-dk020-2026-03-30,agreement,agreement-zaf-register-dk020,money,amount,,unknown,2500000,,,DKK,DKK,signed,,zaf-jet-investment-register-q1-2026-overall-data-27,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-dk020-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID DK020"
observation-zaf-register-eu001-2026-03-30,agreement,agreement-zaf-register-eu001,money,amount,,unknown,150000,,,EUR,EUR,signed,,zaf-jet-investment-register-q1-2026-overall-data-28,legacy_event,1,2026-09-24,accepted,,"Legacy event zaf-register-eu001-2026-03-30; source=zaf-jet-investment-register-q1-2026; locator=Overall - Data, Unique ID EU001"
