source_id,url,outcome,capture_url,captured_at,attempted_at,error
idn-adb-aicet-news-2025,https://www.adb.org/news/adb-boosts-indonesias-clean-energy-transition,reused,https://web.archive.org/web/20260120104252/https://www.adb.org/news/adb-boosts-indonesias-clean-energy-transition,2026-01-20T10:42:52Z,2026-09-24T15:43:25Z,
idn-adb-aset-news-2024,https://www.adb.org/news/adb-approves-policy-loan-support-indonesia-energy-transition,captured,https://web.archive.org/web/20260924195415/https://www.adb.org/news/adb-approves-policy-loan-support-indonesia-energy-transition,2026-09-24T19:54:15Z,2026-09-24T19:53:53Z,
idn-adb-muara-laboh-2-2025,https://www.adb.org/news/adb-supports-indonesia-green-energy-transition-geothermal-expansion-project,reused,https://web.archive.org/web/20251231152013/https://www.adb.org/news/adb-supports-indonesia-green-energy-transition-geothermal-expansion-project,2025-12-31T15:20:13Z,2026-09-24T15:44:29Z,
idn-cipp-2023,https://jetp-id.org/storage/official-jetp-cipp-2023-vshare_f_en-1700532655.pdf,reused,https://web.archive.org/web/20260219144041/https://jetp-id.org/storage/official-jetp-cipp-2023-vshare_f_en-1700532655.pdf,2026-02-19T14:40:41Z,2026-09-25T05:18:25Z,
idn-cipp-2023-cpr-mirror,https://cdn.climatepolicyradar.org/navigator/IDN/2023/comprehensive-investment-and-policy-plan_111dabc5e962ec140a6080232a0bb367.pdf,reused,https://web.archive.org/web/20260921054631/https://cdn.climatepolicyradar.org/navigator/IDN/2023/comprehensive-investment-and-policy-plan_111dabc5e962ec140a6080232a0bb367.pdf,2026-09-21T05:46:31Z,2026-09-24T15:44:32Z,
idn-cipp-portal,https://jetp-id.org/cipp,reused,https://web.archive.org/web/20260816053446/https://jetp-id.org/cipp,2026-08-16T05:34:46Z,2026-09-25T05:18:25Z,
idn-eib-ptsmi-mou-2024,https://www.eib.org/en/press/all/2024-084-eib-global-agrees-to-support-pt-smi-on-sustainable-infrastructure-development-in-indonesia,reused,https://web.archive.org/web/20251010114948/https://www.eib.org/en/press/all/2024-084-eib-global-agrees-to-support-pt-smi-on-sustainable-infrastructure-development-in-indonesia,2025-10-10T11:49:48Z,2026-09-24T15:44:34Z,
idn-geapp-diesel-replacement-program,https://energyalliance.org/project/diesel-to-renewables-to-power-indonesias-energy-transition/,reused,https://web.archive.org/web/20260415130937/https://energyalliance.org/project/diesel-to-renewables-to-power-indonesias-energy-transition/,2026-04-15T13:09:37Z,2026-09-24T15:44:46Z,
idn-gfanz-saguling-2025,https://www.gfanzero.com/press/first-indonesian-jetp-solar-project-mobilizes-usd-60-million-as-investment-momentum-builds/,reused,https://web.archive.org/web/20260513103638/https://www.gfanzero.com/press/first-indonesian-jetp-solar-project-mobilizes-usd-60-million-as-investment-momentum-builds/,2026-05-13T10:36:38Z,2026-09-24T18:38:39Z,
idn-ibvogt-diesel-west-2023,https://www.ibvogt.com/ib-vogt-awarded-diesel-replacement-program-projects-in-western-indonesia/,reused,https://web.archive.org/web/20260517030129/https://www.ibvogt.com/ib-vogt-awarded-diesel-replacement-program-projects-in-western-indonesia/,2026-05-17T03:01:29Z,2026-09-24T15:46:04Z,
