url,checked_at,method,http_status,outcome,dead_since,error
https://acwapower.com/en/media-center/latest-news/acwa-power-set-to-enter-indonesia-with-two-floating-solar-pv-projects/,2026-09-24T15:44:11Z,HEAD,200,alive,,
https://admin.boad.org/wp-content/uploads/2025/06/A05_LISTE-DES-AP-PP-ET-CP-SIGNES-2024.pdf,2026-09-24T15:44:13Z,HEAD,200,alive,,
https://admin.boad.org/wp-content/uploads/2026/02/PAR_Centrale-Solaire_Ouarkhokh_VP_02022026_Send-Senelec_Huwaei.pdf,2026-09-24T15:44:15Z,HEAD,200,alive,,
https://admin.boad.org/wp-content/uploads/2026/02/PEPP-Provisoire_Centrale-solaire_Ouarkhokh.pdf,2026-09-24T15:44:16Z,HEAD,200,alive,,
https://admin.boad.org/wp-content/uploads/2026/02/Rapport_EIES-Centrale-solaire-Ouarkhokh_Send-Senelec_Huwaei.pdf,2026-09-24T15:44:18Z,HEAD,200,alive,,
https://admin.boad.org/wp-content/uploads/2026/03/COMPRESS-CA-150-1.pdf,2026-09-24T15:44:19Z,HEAD,200,alive,,
https://admin.boad.org/wp-content/uploads/2026/05/COMPRESS-INAUGUATION-MRSN-2.pdf,2026-09-24T15:44:21Z,HEAD,200,alive,,
https://afd.dgmarket.com/tenders/biddingDocumentsList.do?noticeId=107072743,2026-09-24T15:44:23Z,GET,403,unreachable,,
https://afd.dgmarket.com/tenders/np-notice.do?keywords=&noticeId=107072743,2026-09-24T15:44:24Z,GET,403,unreachable,,
https://aner.sn/api/projects,2026-09-24T15:44:26Z,HEAD,200,alive,,
https://aner.sn/api/projects/by-slug/energie-solaire-autonomisation-femmes-rurales-esaref,2026-09-24T15:44:29Z,HEAD,200,alive,,
https://aner.sn/api/projects/by-slug/le-solaire-pour-ameliorer-le-secteur-de-la-sante-ziguinchor-sedhiou-kolda,2026-09-24T15:44:31Z,HEAD,200,alive,,
https://aner.sn/api/projects/by-slug/phase-iv-programme-national-eclairage-public-solaire,2026-09-24T15:44:32Z,HEAD,200,alive,,
https://aner.sn/api/projects/by-slug/projet-dhybridation-solaire-de-2000-forages-en-milieu-rural,2026-09-24T15:44:34Z,HEAD,200,alive,,
https://aner.sn/api/projects/by-slug/projet-diffusion-pompes-solaires-usages-productifs,2026-09-24T15:44:36Z,HEAD,200,alive,,
