project_id,country,canonical_name,aliases,classification,classified_at,sector,notes
project-idn-pipe-hululais-1-2,IDN,Hululais geothermal Units 1 and 2,,project,,,Legacy idn-pipe-hululais-1-2; 110 MW project; current portal records JICA financing as approved and preserves the November 2025 in-process state as an earlier event
project-idn-pipe-dediesel-west-phase1,IDN,De-dieselization Phase 1 Western Indonesia,,project,,,Legacy idn-pipe-dediesel-west-phase1; Direct operator source covers 48 locations with 60 MWp solar and 175 MWh storage; scheduled construction was not treated as delivery and an April 2026 assessment said no first-phase PPA had been signed
project-idn-pipe-tanah-laut-wind,IDN,Tanah Laut wind power and battery project,,project,,,Legacy idn-pipe-tanah-laut-wind; 70 MW wind plus 10 MW/10 MWh battery storage; PPA signed in May 2023 and operator profile still classified the project as in development
project-idn-pipe-legok-nangka-waste,IDN,Legok Nangka waste-to-energy power plant,,project,,,"Legacy idn-pipe-legok-nangka-waste; Consortium agreement reported in July 2024; July 2026 groundbreaking reported 40.79 MW, about 2,000 tonnes per day and a 41-month construction timetable"
project-idn-pipe-singkarak-floating-solar,IDN,Singkarak floating solar PV,,project,,,Legacy idn-pipe-singkarak-floating-solar; 50 MWac Hijaunesia 1 project announced by its developers in 2022; later 2025 suspended status due to community opposition remains controlling
project-idn-pipe-eib-sustainable-infrastructure,IDN,EIB sustainable infrastructure framework,,project,,,Legacy idn-pipe-eib-sustainable-infrastructure; Direct EIB source confirms a potential framework loan up to EUR 500m subject to approval for a flexible range of sustainable infrastructure investments
project-idn-pipe-sutami-floating-solar,IDN,Sutami Karangkates floating solar PV,,project,,,Legacy idn-pipe-sutami-floating-solar; 100 MWac/133 MWp project; procurement status in the 2025 report is preserved before the operator's February 2026 construction-phase milestone
project-idn-pipe-solar-cell-manufacturing,IDN,SEG Solar module manufacturing,,project,,,Legacy idn-pipe-solar-cell-manufacturing; September 2024 groundbreaking and August 2025 Phase I operation are both preserved; the later-published 2025 JETP report only recorded groundbreaking
project-idn-pipe-rsud-energy-efficiency,IDN,Public hospitals energy efficiency and rooftop solar programme,,project,,,Legacy idn-pipe-rsud-energy-efficiency; C40 CFF July 2024 preliminary assessment documents audits and three rooftop-solar plus efficiency scenarios; it is not evidence of financing approval or construction
project-vnm-project-bac-ai-pumped-hydro,VNM,Bac Ai pumped-storage hydropower plant,,project,,,Legacy vnm-project-bac-ai-pumped-hydro; MOIT publishes a 1200 MW project profile; the record preserves the May 2025 six-DFI term sheet and later direct financier updates
project-sen-project-annex-01,SEN,Super Mini grids for Rural Senegal,,project,,,"Legacy sen-project-annex-01; Identity from Annex 2, p. 13, row 1; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
project-sen-project-annex-02,SEN,Résilience des communautés vulnérables au changement climatique et gestion durable des ressources naturelles : Cas de l'aire marine protégée d Abéné en Basse Casamance,,project,,,"Legacy sen-project-annex-02; Identity from Annex 2, p. 13, row 2; listed proposal is not approved finance or proof of construction. Project-specific hydrocarbon dependence is not established by the plan listing; grid connection does not prove fossil-free operation."
