old_id,kind,new_id
idn-cipp-bioenergy-001,line,idn-cipp-2023-cpr-mirror-bioenergy-1
idn-cipp-bioenergy-002,line,idn-cipp-2023-cpr-mirror-bioenergy-2
idn-cipp-bioenergy-003,line,idn-cipp-2023-cpr-mirror-bioenergy-3
idn-cipp-bioenergy-004,line,idn-cipp-2023-cpr-mirror-bioenergy-4
idn-cipp-bioenergy-005,line,idn-cipp-2023-cpr-mirror-bioenergy-5
idn-cipp-bioenergy-006,line,idn-cipp-2023-cpr-mirror-bioenergy-6
idn-cipp-bioenergy-007,line,idn-cipp-2023-cpr-mirror-bioenergy-7
idn-cipp-bioenergy-008,line,idn-cipp-2023-cpr-mirror-bioenergy-8
idn-cipp-bioenergy-009,line,idn-cipp-2023-cpr-mirror-bioenergy-9
idn-cipp-bioenergy-010,line,idn-cipp-2023-cpr-mirror-bioenergy-10
idn-cipp-bioenergy-011,line,idn-cipp-2023-cpr-mirror-bioenergy-11
idn-cipp-bioenergy-012,line,idn-cipp-2023-cpr-mirror-bioenergy-12
idn-cipp-bioenergy-013,line,idn-cipp-2023-cpr-mirror-bioenergy-13
idn-cipp-bioenergy-014,line,idn-cipp-2023-cpr-mirror-bioenergy-14
idn-cipp-bioenergy-015,line,idn-cipp-2023-cpr-mirror-bioenergy-15
idn-cipp-bioenergy-016,line,idn-cipp-2023-cpr-mirror-bioenergy-16
idn-cipp-bioenergy-017,line,idn-cipp-2023-cpr-mirror-bioenergy-17
idn-cipp-bioenergy-018,line,idn-cipp-2023-cpr-mirror-bioenergy-18
idn-cipp-bioenergy-019,line,idn-cipp-2023-cpr-mirror-bioenergy-19
idn-cipp-bioenergy-020,line,idn-cipp-2023-cpr-mirror-bioenergy-20
idn-cipp-bioenergy-021,line,idn-cipp-2023-cpr-mirror-bioenergy-21
idn-cipp-bioenergy-022,line,idn-cipp-2023-cpr-mirror-bioenergy-22
idn-cipp-bioenergy-023,line,idn-cipp-2023-cpr-mirror-bioenergy-23
idn-cipp-bioenergy-024,line,idn-cipp-2023-cpr-mirror-bioenergy-24
idn-cipp-bioenergy-025,line,idn-cipp-2023-cpr-mirror-bioenergy-25
idn-cipp-bioenergy-026,line,idn-cipp-2023-cpr-mirror-bioenergy-26
idn-cipp-bioenergy-027,line,idn-cipp-2023-cpr-mirror-bioenergy-27
idn-cipp-bioenergy-028,line,idn-cipp-2023-cpr-mirror-bioenergy-28
idn-cipp-bioenergy-029,line,idn-cipp-2023-cpr-mirror-bioenergy-29
idn-cipp-bioenergy-030,line,idn-cipp-2023-cpr-mirror-bioenergy-30
idn-cipp-bioenergy-031,line,idn-cipp-2023-cpr-mirror-bioenergy-31
idn-cipp-bioenergy-032,line,idn-cipp-2023-cpr-mirror-bioenergy-32
idn-cipp-bioenergy-033,line,idn-cipp-2023-cpr-mirror-bioenergy-33
idn-cipp-coal-retirement-001,line,idn-cipp-2023-cpr-mirror-coal-retirement-1
idn-cipp-coal-retirement-002,line,idn-cipp-2023-cpr-mirror-coal-retirement-2
idn-cipp-geothermal-001,line,idn-cipp-2023-cpr-mirror-geothermal-1
idn-cipp-geothermal-002,line,idn-cipp-2023-cpr-mirror-geothermal-2
idn-cipp-geothermal-003,line,idn-cipp-2023-cpr-mirror-geothermal-3
idn-cipp-geothermal-004,line,idn-cipp-2023-cpr-mirror-geothermal-4
idn-cipp-geothermal-005,line,idn-cipp-2023-cpr-mirror-geothermal-5
idn-cipp-geothermal-006,line,idn-cipp-2023-cpr-mirror-geothermal-6
idn-cipp-geothermal-007,line,idn-cipp-2023-cpr-mirror-geothermal-7
idn-cipp-geothermal-008,line,idn-cipp-2023-cpr-mirror-geothermal-8
idn-cipp-geothermal-009,line,idn-cipp-2023-cpr-mirror-geothermal-9
idn-cipp-geothermal-010,line,idn-cipp-2023-cpr-mirror-geothermal-10
idn-cipp-geothermal-011,line,idn-cipp-2023-cpr-mirror-geothermal-11
idn-cipp-geothermal-012,line,idn-cipp-2023-cpr-mirror-geothermal-12
idn-cipp-geothermal-013,line,idn-cipp-2023-cpr-mirror-geothermal-13
idn-cipp-geothermal-014,line,idn-cipp-2023-cpr-mirror-geothermal-14
idn-cipp-geothermal-015,line,idn-cipp-2023-cpr-mirror-geothermal-15
idn-cipp-geothermal-016,line,idn-cipp-2023-cpr-mirror-geothermal-16
idn-cipp-geothermal-017,line,idn-cipp-2023-cpr-mirror-geothermal-17
idn-cipp-geothermal-018,line,idn-cipp-2023-cpr-mirror-geothermal-18
idn-cipp-geothermal-019,line,idn-cipp-2023-cpr-mirror-geothermal-19
idn-cipp-geothermal-020,line,idn-cipp-2023-cpr-mirror-geothermal-20
idn-cipp-geothermal-021,line,idn-cipp-2023-cpr-mirror-geothermal-21
idn-cipp-geothermal-022,line,idn-cipp-2023-cpr-mirror-geothermal-22
idn-cipp-geothermal-023,line,idn-cipp-2023-cpr-mirror-geothermal-23
idn-cipp-geothermal-024,line,idn-cipp-2023-cpr-mirror-geothermal-24
idn-cipp-geothermal-025,line,idn-cipp-2023-cpr-mirror-geothermal-25
idn-cipp-geothermal-026,line,idn-cipp-2023-cpr-mirror-geothermal-26
idn-cipp-geothermal-027,line,idn-cipp-2023-cpr-mirror-geothermal-27
idn-cipp-geothermal-028,line,idn-cipp-2023-cpr-mirror-geothermal-28
idn-cipp-geothermal-029,line,idn-cipp-2023-cpr-mirror-geothermal-29
idn-cipp-geothermal-030,line,idn-cipp-2023-cpr-mirror-geothermal-30
idn-cipp-geothermal-031,line,idn-cipp-2023-cpr-mirror-geothermal-31
idn-cipp-geothermal-032,line,idn-cipp-2023-cpr-mirror-geothermal-32
idn-cipp-geothermal-033,line,idn-cipp-2023-cpr-mirror-geothermal-33
idn-cipp-geothermal-034,line,idn-cipp-2023-cpr-mirror-geothermal-34
idn-cipp-geothermal-035,line,idn-cipp-2023-cpr-mirror-geothermal-35
idn-cipp-geothermal-036,line,idn-cipp-2023-cpr-mirror-geothermal-36
idn-cipp-geothermal-037,line,idn-cipp-2023-cpr-mirror-geothermal-37
idn-cipp-geothermal-038,line,idn-cipp-2023-cpr-mirror-geothermal-38
idn-cipp-geothermal-039,line,idn-cipp-2023-cpr-mirror-geothermal-39
idn-cipp-geothermal-040,line,idn-cipp-2023-cpr-mirror-geothermal-40
idn-cipp-geothermal-041,line,idn-cipp-2023-cpr-mirror-geothermal-41
idn-cipp-geothermal-042,line,idn-cipp-2023-cpr-mirror-geothermal-42
idn-cipp-geothermal-043,line,idn-cipp-2023-cpr-mirror-geothermal-43
idn-cipp-geothermal-044,line,idn-cipp-2023-cpr-mirror-geothermal-44
