document_id,country,document_type,language,title,url,published_date,edition_of,active,notes
zaf-pcc-jet-ip,ZAF,data_portal,,South Africa's Just Energy Transition Investment Plan,https://www.climatecommission.org.za/south-africas-jet-ip,,,true,National JET IP landing page; country ticket expands linked reports and projects
zaf-jet-implementation-plan-2023-2027,ZAF,implementation_plan,en,JET Implementation Plan 2023-2027,https://justenergytransition.co.za/wp-content/uploads/2024/10/JET-Implementation-Plan-2023-2027-1.pdf,,,true,Official implementation plan linked from the national JET resource hub
idn-cipp-portal,IDN,data_portal,,Comprehensive Investment and Policy Plan,https://jetp-id.org/cipp,,,true,Original official CIPP landing page; current successor and updates must be resolved in country ticket
idn-cipp-2023,IDN,investment_plan,,Comprehensive Investment and Policy Plan,https://jetp-id.org/storage/official-jetp-cipp-2023-vshare_f_en-1700532655.pdf,2023-11-21,,true,Official CIPP 2023 URL; retain blocked observations and locate an authoritative mirror if needed
idn-cipp-2023-cpr-mirror,IDN,investment_plan,en,Comprehensive Investment and Policy Plan,https://cdn.climatepolicyradar.org/navigator/IDN/2023/comprehensive-investment-and-policy-plan_111dabc5e962ec140a6080232a0bb367.pdf,2023-11-21,,true,Archived copy whose metadata preserves the official source URL and MD5 111dabc5e962ec140a6080232a0bb367
vnm-moit-portal,VNM,data_portal,vi,Viet Nam JETP official portal,https://jetp.moit.gov.vn/,,,true,Portal for RMP decisions project submissions news and newsletters
vnm-rmp-2023,VNM,investment_plan,en,Viet Nam JETP Resource Mobilisation Plan,https://climate.ec.europa.eu/system/files/2023-12/RMP_Viet%20Nam_Eng_%28Final%20to%20publication%29.pdf,2023-12-01,,true,Official RMP linked from the EEAS launch page
sen-eu-portal,SEN,data_portal,en,Just Energy Transition Partnership in Senegal,https://international-partnerships.ec.europa.eu/policies/global-gateway/just-energy-transition-partnership-senegal_en,,,true,Official IPG overview; country ticket adds national investment plan annexes and project sources
sen-investment-plan-l4,SEN,investment_plan,,Plan d'Investissement de la Transition energetique juste,https://www.itie.sn/wp-content/uploads/2025/06/20250402-ENERCAP-Livrable-L4-v5-clean-1.pdf,2025-04-02,,true,Official-host copy of the national investment plan; retain outages as collection evidence
sen-investment-plan-l4-mirror,SEN,investment_plan,fr,Plan d'Investissement de la Transition energetique juste,https://www.vie-publique.sn/docs/002da0bc-10a7-458c-9111-09accbd0f255/plan-investissement-transition-energetique-juste-jet-senegal-mepm.pdf,2025-04-02,,true,Public mirror of the ministry document; accept for evidence only after document-level identity review
zaf-jet-pmu-resource-hub,ZAF,data_portal,en,JET PMU Resource Hub,https://justenergytransition.co.za/resource-hub,,,true,Canonical discovery route for plans reports and partner groups
zaf-jet-pmu-news,ZAF,data_portal,en,JET PMU News and Updates,https://justenergytransition.co.za/news,,,true,Official press releases registers and media leads
zaf-jet-pmu-projects,ZAF,project_list,en,JET PMU Projects,https://justenergytransition.co.za/projects,,,true,Official project collection; custom post type contained 12 records at collection
zaf-jet-ip-2023-2027,ZAF,investment_plan,en,South Africa's Just Energy Transition Investment Plan 2023-2027,https://justenergytransition.co.za/wp-content/uploads/2024/10/South-Africas-Just-Energy-Transition-Investment-Plan-JET-IP-2023-2027-FINAL-1.pdf,2022-11-04,,true,Official preservation URL on the current JET PMU resource hub
zaf-jet-quarterly-2024-q3,ZAF,progress_update,en,JET IP Quarterly Progress Report 30 September 2024,https://justenergytransition.co.za/wp-content/uploads/2024/12/Just-Energy-Transition_Progress-Report-v2.pdf,2024-09-30,,true,First published implementation progress report; covers April to September 2024
zaf-jet-quarterly-2024-q4,ZAF,progress_update,en,JET IP Quarterly Progress Report 31 December 2024,https://justenergytransition.co.za/wp-content/uploads/2025/02/Just-Energy-Transition_Progress-Report-December-2024Final-1.pdf,2024-12-31,,true,Official end-2024 progress report
zaf-jet-quarterly-2025-q1,ZAF,progress_update,en,JET IP Quarterly Progress Report 31 March 2025,https://justenergytransition.co.za/wp-content/uploads/2025/04/JetQuarterly31March2025.pdf,2025-03-31,,true,Quarter close also carries annual indicators for the South African financial year
zaf-jet-quarterly-2025-q2,ZAF,progress_update,en,JET IP Quarterly Progress Report 30 June 2025,https://justenergytransition.co.za/wp-content/uploads/2025/08/Jet-IP-Quarterly-Report-30-June-2025-1.pdf,2025-06-30,,true,Official resource-hub report
