publisher_id,name,authority_category,country,notes
acwa-power,ACWA Power,operator,,
aeme,AEME,operator,,
afd,AFD,bilateral_funder,,
african-development-bank,African Development Bank,multilateral_funder,,
agence-francaise-de-developpement,Agence Francaise de Developpement,bilateral_funder,,
aner,ANER,operator,,
aner-via-common-crawl,ANER via Common Crawl,operator,,
aner-via-italian-trade-agency-ice,ANER via Italian Trade Agency ICE,operator,,
antara-news,ANTARA News,secondary_source,,
arcop,ARCOP,national_government,SEN,
arcop-grant-thornton,ARCOP / Grant Thornton,national_government,SEN,
artelia-via-gbif,ARTELIA via GBIF,operator,,
aser,ASER,operator,,
aser-via-isdb,ASER via IsDB,operator,,
asian-development-bank,Asian Development Bank,multilateral_funder,,
bmn,BMN,operator,,
boad,BOAD,multilateral_funder,,
boad-pyramide-environmental-consultants,BOAD / Pyramide Environmental Consultants,multilateral_funder,,
boad-send-senelec-huawei,BOAD / SEND Senelec Huawei,multilateral_funder,,
boad-senelec,BOAD / Senelec,multilateral_funder,,
british-international-investment,British International Investment,bilateral_funder,,
c40-cities-finance-facility,C40 Cities Finance Facility,operator,,
cesag-fatou-ndiaye,CESAG / Fatou Ndiaye,secondary_source,,
cetud,CETUD,operator,,
climate-action-africa,Climate Action Africa,bilateral_funder,,
climate-policy-radar,Climate Policy Radar,secondary_source,,
coordinating-ministry-for-economic-affairs,Coordinating Ministry for Economic Affairs,national_government,IDN,
department-of-trade-industry-and-competition,Department of Trade Industry and Competition,national_government,ZAF,
development-bank-of-southern-africa,Development Bank of Southern Africa,national_government,ZAF,
energy-efficiency-in-public-buildings-and-infrastructure-programme,Energy Efficiency in Public Buildings and Infrastructure Programme,national_government,ZAF,
european-commission,European Commission,ipg,,
european-external-action-service,European External Action Service,ipg,,
european-investment-bank,European Investment Bank,multilateral_funder,,
european-union,European Union,ipg,,
federal-government-of-germany,Federal Government of Germany,ipg,,
federal-ministry-for-economic-cooperation-and-development,Federal Ministry for Economic Cooperation and Development,bilateral_funder,,
fondation-energies-pour-le-monde,Fondation Energies pour le Monde,operator,,
foreign-commonwealth-and-development-office,Foreign Commonwealth and Development Office,ipg,,"sources.csv gave authority_category bilateral_funder to zaf-fcdo-jetp-programme-301523, zaf-growth-gateway-devtracker-300812, zaf-growth-gateway-report-2026"
frontier-rare-earths,Frontier Rare Earths,operator,,
genertec-international,Genertec International,operator,,
genertec-international-cntic,Genertec International / CNTIC,operator,,
giz,GIZ,bilateral_funder,,sources.csv gave authority_category operator to zaf-eepbip-giz-profile-2023
glasgow-financial-alliance-for-net-zero,Glasgow Financial Alliance for Net Zero,private_finance,,
global-energy-alliance-for-people-and-planet,Global Energy Alliance for People and Planet,operator,,
government-of-indonesia-and-international-partners-group,Government of Indonesia and International Partners Group,ipg,,
government-of-senegal,Government of Senegal,national_government,SEN,
government-of-senegal-via-world-bank,Government of Senegal via World Bank,national_government,SEN,
government-of-the-united-kingdom,Government of the United Kingdom,bilateral_funder,,
government-of-viet-nam,Government of Viet Nam,national_government,VNM,
government-of-viet-nam-and-international-partners-group,Government of Viet Nam and International Partners Group,national_government,VNM,
greencape,GreenCape,operator,,
ib-vogt,ib vogt,operator,,
ifc,IFC,multilateral_funder,,
institute-for-energy-economics-and-financial-analysis,Institute for Energy Economics and Financial Analysis,secondary_source,,
international-aid-transparency-initiative,International Aid Transparency Initiative,bilateral_funder,,
japan-international-cooperation-agency,Japan International Cooperation Agency,bilateral_funder,,
jet-project-management-unit,JET Project Management Unit,jetp_secretariat,ZAF,sources.csv gave authority_category national_government to zaf-jet-implementation-plan-2023-2027
jetp-indonesia-secretariat,JETP Indonesia Secretariat,jetp_secretariat,IDN,
jetp-indonesia-secretariat-and-international-energy-agency,JETP Indonesia Secretariat and International Energy Agency,jetp_secretariat,IDN,
kfw-development-bank,KfW Development Bank,bilateral_funder,,
marubeni-corporation,Marubeni Corporation,operator,,
mepm,MEPM,national_government,SEN,
mepm-enercap-via-vie-publique-sn,MEPM / ENERCAP via Vie-Publique.sn,secondary_source,,
mepm-via-dgmarket,MEPM via dgMarket,national_government,SEN,
mha,MHA,national_government,SEN,
mha-via-world-bank,MHA via World Bank,national_government,SEN,
ministry-of-energy-petroleum-and-mines,Ministry of Energy Petroleum and Mines,national_government,SEN,
ministry-of-industry-and-trade,Ministry of Industry and Trade,jetp_secretariat,VNM,
mitigation-action-facility,Mitigation Action Facility,bilateral_funder,,
mrv-energie,MRV Energie,operator,,
national-transmission-company-south-africa,National Transmission Company South Africa,operator,,
nrgi,NRGI,secondary_source,,
oecd-cefim-programme,OECD CEFIM Programme,jetp_secretariat,IDN,
off-grid-europe,Off-Grid Europe,operator,,
off-grid-europe-off-grid-africa,Off-Grid Europe / Off-Grid Africa,operator,,
omvg,OMVG,operator,,
omvg-projet-energie,OMVG Projet Energie,operator,,
pln-nusantara-power,PLN Nusantara Power,operator,,
pln-nusantara-renewables,PLN Nusantara Renewables,operator,,
pnb-sn,PNB-SN,operator,,
presidency-of-the-french-republic,Presidency of the French Republic,bilateral_funder,,
presidential-climate-commission,Presidential Climate Commission,national_government,ZAF,
reuters,Reuters,secondary_source,,
rts,RTS,secondary_source,,
seg-solar,SEG Solar,operator,,
semis,SEMIS,operator,,
senegal-budget-ministry,Senegal budget ministry,national_government,SEN,
senegal-eiti-mepm-enercap,Senegal EITI / MEPM ENERCAP,national_government,SEN,
senegal-mepm,Senegal MEPM,national_government,SEN,
senego,Senego,secondary_source,,
senelec,Senelec,operator,,
senelec-2,SENELEC,operator,,
senelec-via-afd-dgmarket,SENELEC via AFD dgMarket,operator,,
senelec-via-afd-dgmarket-2,Senelec via AFD dgMarket,operator,,
swedfund,Swedfund,bilateral_funder,,
uasz-senelec-cfpp,UASZ / Senelec CFPP,operator,,
uk-cop26-presidency,UK COP26 Presidency,ipg,,
united-tractors,United Tractors,operator,,
vemar,VEMAR,operator,,
vie-publique-sn,Vie-Publique.sn,secondary_source,,
vietnam-electricity,Vietnam Electricity,operator,,
vietnam-prosperity-joint-stock-commercial-bank,Vietnam Prosperity Joint Stock Commercial Bank,operator,,
world-bank,World Bank,multilateral_funder,,
