retrieval_id,document_id,retrieved_at,status,http_status,content_type,etag,last_modified,final_url,error,sha256
zaf-pcc-jet-ip:1,zaf-pcc-jet-ip,2026-09-11T20:39:00Z,collected,200,text/html; charset=UTF-8,"""fd1296b42b82de0206c472a35ae2b4e4-ssl-df""",,https://www.climatecommission.org.za/south-africas-jet-ip,,d1fb46a6d723758aeb2b320ed732a90ff37dbbdc75da91cd3a1cdacd2a52c214
zaf-jet-implementation-plan-2023-2027:1,zaf-jet-implementation-plan-2023-2027,2026-09-11T20:39:00Z,collected,200,application/pdf,"""6719df39-3b8b77""","Thu, 24 Oct 2024 05:46:33 GMT",https://justenergytransition.co.za/wp-content/uploads/2024/10/JET-Implementation-Plan-2023-2027-1.pdf,,6247513b96541b64669ba4a1f4722e100d7b89c4d782d1f1371f7bf0a78be469
idn-cipp-portal:1,idn-cipp-portal,2026-09-11T20:39:00Z,blocked,403,text/plain,,,https://jetp-id.org/cipp,HTTP 403,
idn-cipp-2023:1,idn-cipp-2023,2026-09-11T20:39:00Z,blocked,403,text/plain,,,https://jetp-id.org/storage/official-jetp-cipp-2023-vshare_f_en-1700532655.pdf,HTTP 403,
vnm-moit-portal:1,vnm-moit-portal,2026-09-11T20:39:00Z,collected,200,text/html; charset=utf-8,,,https://jetp.moit.gov.vn/,,8a616bbf1c223cde512cf67a826e370b621aba576a7ca5fdc51ce731e738c39b
vnm-rmp-2023:1,vnm-rmp-2023,2026-09-11T20:39:00Z,collected,200,application/pdf,,"Fri, 01 Dec 2023 12:06:13 GMT",https://climate.ec.europa.eu/system/files/2023-12/RMP_Viet%20Nam_Eng_%28Final%20to%20publication%29.pdf,,b145af2e7f4a441dc87d7ec2d99a29e1e6d7b265406d398dd64013dd4560733c
sen-eu-portal:1,sen-eu-portal,2026-09-11T20:39:00Z,collected,200,text/html; charset=UTF-8,,,https://international-partnerships.ec.europa.eu/policies/global-gateway/just-energy-transition-partnership-senegal_en,,6beae946aef01ed50878e4f4f1ab6bc1e054b29075da48e7348b51f7f39639b4
sen-investment-plan-l4:1,sen-investment-plan-l4,2026-09-11T20:39:00Z,fetch_error,,,,,https://www.itie.sn/wp-content/uploads/2025/06/20250402-ENERCAP-Livrable-L4-v5-clean-1.pdf,"RetryError: HTTPSConnectionPool(host='www.itie.sn', port=443): Max retries exceeded with url: /wp-content/uploads/2025/06/20250402-ENERCAP-Livrable-L4-v5-clean-1.pdf (Caused by ResponseError('too many 502 error responses'))",
zaf-pcc-jet-ip:2,zaf-pcc-jet-ip,2026-09-11T20:42:35Z,collected,200,text/html; charset=UTF-8,"""fd1296b42b82de0206c472a35ae2b4e4-ssl-df""",,https://www.climatecommission.org.za/south-africas-jet-ip,,d1fb46a6d723758aeb2b320ed732a90ff37dbbdc75da91cd3a1cdacd2a52c214
zaf-jet-implementation-plan-2023-2027:2,zaf-jet-implementation-plan-2023-2027,2026-09-11T20:42:35Z,not_modified,304,application/pdf,"""6719df39-3b8b77""","Thu, 24 Oct 2024 05:46:33 GMT",https://justenergytransition.co.za/wp-content/uploads/2024/10/JET-Implementation-Plan-2023-2027-1.pdf,,6247513b96541b64669ba4a1f4722e100d7b89c4d782d1f1371f7bf0a78be469
idn-cipp-portal:2,idn-cipp-portal,2026-09-11T20:42:35Z,blocked,403,text/plain,,,https://jetp-id.org/cipp,HTTP 403,
idn-cipp-2023:2,idn-cipp-2023,2026-09-11T20:42:35Z,blocked,403,text/plain,,,https://jetp-id.org/storage/official-jetp-cipp-2023-vshare_f_en-1700532655.pdf,HTTP 403,
vnm-moit-portal:2,vnm-moit-portal,2026-09-11T20:42:35Z,collected,200,text/html; charset=utf-8,,,https://jetp.moit.gov.vn/,,8a616bbf1c223cde512cf67a826e370b621aba576a7ca5fdc51ce731e738c39b
vnm-rmp-2023:2,vnm-rmp-2023,2026-09-11T20:42:35Z,not_modified,304,application/pdf,,"Fri, 01 Dec 2023 12:06:13 GMT",https://climate.ec.europa.eu/system/files/2023-12/RMP_Viet%20Nam_Eng_%28Final%20to%20publication%29.pdf,,b145af2e7f4a441dc87d7ec2d99a29e1e6d7b265406d398dd64013dd4560733c
sen-eu-portal:2,sen-eu-portal,2026-09-11T20:42:35Z,collected,200,text/html; charset=UTF-8,,,https://international-partnerships.ec.europa.eu/policies/global-gateway/just-energy-transition-partnership-senegal_en,,6beae946aef01ed50878e4f4f1ab6bc1e054b29075da48e7348b51f7f39639b4
sen-investment-plan-l4:2,sen-investment-plan-l4,2026-09-11T20:42:35Z,fetch_error,,,,,https://www.itie.sn/wp-content/uploads/2025/06/20250402-ENERCAP-Livrable-L4-v5-clean-1.pdf,"RetryError: HTTPSConnectionPool(host='www.itie.sn', port=443): Max retries exceeded with url: /wp-content/uploads/2025/06/20250402-ENERCAP-Livrable-L4-v5-clean-1.pdf (Caused by ResponseError('too many 502 error responses'))",
sen-investment-plan-l4-mirror:1,sen-investment-plan-l4-mirror,2026-09-11T20:42:35Z,collected,200,application/pdf,,"Thu, 30 Apr 2026 03:28:18 GMT",https://www.vie-publique.sn/docs/002da0bc-10a7-458c-9111-09accbd0f255/plan-investissement-transition-energetique-juste-jet-senegal-mepm.pdf,,97c36b242257462f024a934baee6bed3aa02fe0e4917f076d7b865701db65dca
