relation_id,from_kind,from_id,relation,to_kind,to_id,role,valid_from,valid_to,status,method,method_version,confidence,decided_at,decided_by,supersedes,line_id
same_as-document-idn-cipp-2023-cpr-mirror--idn-cipp-2023,document,idn-cipp-2023-cpr-mirror,same_as,document,idn-cipp-2023,,,,candidate,mirror_review,1,,2026-09-23,scripts/jetp/build_evidence_layer.py,,
same_as-document-sen-annex8-project-analysis--sen-investment-plan-annex8-official,document,sen-annex8-project-analysis,same_as,document,sen-investment-plan-annex8-official,,,,candidate,mirror_review,1,,2026-09-23,scripts/jetp/build_evidence_layer.py,,
same_as-document-sen-investment-plan-l4-mirror--sen-investment-plan-l4,document,sen-investment-plan-l4-mirror,same_as,document,sen-investment-plan-l4,,,,candidate,mirror_review,1,,2026-09-23,scripts/jetp/build_evidence_layer.py,,
same_as-party-afd--agence-francaise-de-developpement,party,afd,same_as,party,agence-francaise-de-developpement,,,,candidate,normalised_label,1,,2026-09-23,scripts/jetp/build_evidence_layer.py,,
same_as-party-mepm--ministry-of-energy-petroleum-and-mines,party,mepm,same_as,party,ministry-of-energy-petroleum-and-mines,,,,candidate,normalised_label,1,,2026-09-23,scripts/jetp/build_evidence_layer.py,,
same_as-party-mepm--senegal-mepm,party,mepm,same_as,party,senegal-mepm,,,,candidate,label_review,1,,2026-09-23,scripts/jetp/build_evidence_layer.py,,
0875.funder.zaf-register-actip001,party,act-ip,party_in,agreement,agreement-zaf-register-actip001,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-1
0875.funder.zaf-register-actip002,party,act-ip,party_in,agreement,agreement-zaf-register-actip002,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-2
0875.funder.zaf-register-can001,party,canada,party_in,agreement,agreement-zaf-register-can001,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-3
0875.funder.zaf-register-can002,party,canada,party_in,agreement,agreement-zaf-register-can002,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-4
0875.implementer.zaf-register-can002,party,african-centre-for-a-green-economy-local-partner,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-4,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-4
0875.funder.zaf-register-can003,party,canada,party_in,agreement,agreement-zaf-register-can003,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-5
0875.implementer.zaf-register-can003,party,international-institute-for-sustainable-development-local-partner,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-5,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-5
0875.funder.zaf-register-can004,party,canada,party_in,agreement,agreement-zaf-register-can004,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-6
0875.implementer.zaf-register-can004,party,southsouthnorth-projects-africa-npc-local-partner,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-6,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-6
0875.funder.zaf-register-can005,party,canada,party_in,agreement,agreement-zaf-register-can005,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-7
0875.implementer.zaf-register-can005,party,national-business-initiative-nbi,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-7,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-7
0875.funder.zaf-register-can006,party,canada,party_in,agreement,agreement-zaf-register-can006,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-8
0875.implementer.zaf-register-can006,party,national-business-initiative-nbi,role_in,line,zaf-jet-investment-register-q1-2026-overall-data-8,implementing_entity,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-8
0875.funder.zaf-register-can007,party,canada,party_in,agreement,agreement-zaf-register-can007,funder,,,accepted,reviewed_source,1,1,2026-09-24,scripts/jetp/build_reconciliation.py,,zaf-jet-investment-register-q1-2026-overall-data-9
