lead_id,country,published_date,publisher,title,url,lead_type,topics,related_project_ids,discovery_source_id,evidence_role,review_status,notes
zaf-news-post-2989,ZAF,2025-11-03,justenergytransition.co.za,Funding the Transition: Building South Africa’s Green Pipeline,https://justenergytransition.co.za/article/funding-the-transition-building-south-africas-green-pipeline,secondary_news,finance,zaf-register-fr020;zaf-register-uk043,zaf-jet-pmu-news,lead_only,unreviewed,Listed as Media Coverage by the official JET PMU news hub
zaf-news-post-2972,ZAF,2025-10-17,justenergytransition.co.za,How far has SA’s Just Energy Transition progressed?,https://justenergytransition.co.za/article/how-far-has-sas-just-energy-transition-progressed,secondary_news,general,,zaf-jet-pmu-news,lead_only,unreviewed,Listed as Media Coverage by the official JET PMU news hub
zaf-news-post-1562,ZAF,2024-11-14,msn.com,Just Energy Transition bills top R1.5trln in the next three years,https://www.msn.com/en-za/news/other/just-energy-transition-bills-top-r1-5trln-in-the-next-three-years/ar-AA1oouUi?ocid=socialshare,secondary_news,finance,,zaf-jet-pmu-news,lead_only,unreviewed,Listed as Media Coverage by the official JET PMU news hub
zaf-news-post-1528,ZAF,2024-11-14,engineeringnews.co.za,Settling on funding solutions for expedited grid infrastructure set as a Just Energy Transition Investment Plan priority,https://www.engineeringnews.co.za/article/settling-on-funding-solutions-for-expedited-grid-infrastructure-set-as-a-just-energy-transition-investment-plan-priority-2024-02-27,secondary_news,grid;finance,,zaf-jet-pmu-news,lead_only,unreviewed,Listed as Media Coverage by the official JET PMU news hub
zaf-news-post-1527,ZAF,2024-11-14,timeslive.co.za,"Energy transition moving, delays be damned, says project unit",https://www.timeslive.co.za/sunday-times/business/business/2024-02-28-energy-transition-moving-delays-be-damned-says-project-unit/,secondary_news,general,,zaf-jet-pmu-news,lead_only,unreviewed,Listed as Media Coverage by the official JET PMU news hub
zaf-news-post-1526,ZAF,2024-11-14,iol.co.za,Presidency’s JET unit launches funding platform to facilitate billions of rands and more into clean energy projects,https://www.iol.co.za/business-report/economy/presidencys-jet-unit-launches-funding-platform-to-facilitate-billions-of-rands-and-more-into-clean-energy-projects-ac263515-d128-45ee-b871-f383191f73e5,secondary_news,finance,zaf-register-fr020;zaf-register-uk043,zaf-jet-pmu-news,lead_only,unreviewed,Listed as Media Coverage by the official JET PMU news hub
zaf-news-post-1525,ZAF,2024-11-14,iol.co.za,JET pledges on the rise as municipalities come under focus,https://www.iol.co.za/business-report/companies/jet-pledges-on-the-rise-as-municipalities-come-under-focus-b1ddba02-d1ce-428f-ba65-127aeb2bfd4b,secondary_news,finance;municipalities,,zaf-jet-pmu-news,lead_only,unreviewed,Listed as Media Coverage by the official JET PMU news hub
zaf-news-post-1523,ZAF,2024-11-14,engineeringnews.co.za,Clause posing threat to municipal electricity revenues may be excluded when ERA enters into force,https://www.engineeringnews.co.za/article/clause-posing-threat-to-municipal-electricity-revenues-may-be-excluded-when-era-enters-into-force-2024-08-26,secondary_news,municipalities,,zaf-jet-pmu-news,lead_only,unreviewed,Listed as Media Coverage by the official JET PMU news hub
zaf-news-post-1522,ZAF,2024-11-14,jacarandafm.com,"Ramaphosa stresses role of municipalities in energy transition, grid expansion",https://www.jacarandafm.com/news/news/ramaphosa-energy-transition-grid-expansion/,secondary_news,grid;municipalities,,zaf-jet-pmu-news,lead_only,unreviewed,Listed as Media Coverage by the official JET PMU news hub
zaf-news-post-1521,ZAF,2024-11-14,power987.co.za,SA faces economic fallout without Just Energy Transition – warns President Ramaphosa,https://www.power987.co.za/featured/sa-faces-economic-fallout-without-just-energy-transition-warns-president-ramaphosa/,secondary_news,general,,zaf-jet-pmu-news,lead_only,unreviewed,Listed as Media Coverage by the official JET PMU news hub
