timing_id,observation_id,date_role,date,date_precision,lower_bound,upper_bound,line_id,recorded_at
timing-zaf-register-actip001-2026-03-30-1,observation-zaf-register-actip001-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-1,2026-09-24
timing-zaf-register-actip002-2026-03-30-1,observation-zaf-register-actip002-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-2,2026-09-24
timing-zaf-register-can001-2026-03-30-1,observation-zaf-register-can001-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-3,2026-09-24
timing-zaf-register-can002-2026-03-30-1,observation-zaf-register-can002-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-4,2026-09-24
timing-zaf-register-can003-2026-03-30-1,observation-zaf-register-can003-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-5,2026-09-24
timing-zaf-register-can004-2026-03-30-1,observation-zaf-register-can004-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-6,2026-09-24
timing-zaf-register-can005-2026-03-30-1,observation-zaf-register-can005-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-7,2026-09-24
timing-zaf-register-can006-2026-03-30-1,observation-zaf-register-can006-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-8,2026-09-24
timing-zaf-register-can007-2026-03-30-1,observation-zaf-register-can007-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-9,2026-09-24
timing-zaf-register-can008-2026-03-30-1,observation-zaf-register-can008-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-10,2026-09-24
timing-zaf-register-dk001-2026-03-30-1,observation-zaf-register-dk001-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-11,2026-09-24
timing-zaf-register-dk002-2026-03-30-1,observation-zaf-register-dk002-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-12,2026-09-24
timing-zaf-register-dk003-2026-03-30-1,observation-zaf-register-dk003-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-13,2026-09-24
timing-zaf-register-dk004-2026-03-30-1,observation-zaf-register-dk004-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-14,2026-09-24
timing-zaf-register-dk005-2026-03-30-1,observation-zaf-register-dk005-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-15,2026-09-24
timing-zaf-register-dk006-2026-03-30-1,observation-zaf-register-dk006-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-16,2026-09-24
timing-zaf-register-dk008-2026-03-30-1,observation-zaf-register-dk008-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-17,2026-09-24
timing-zaf-register-dk009-2026-03-30-1,observation-zaf-register-dk009-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-18,2026-09-24
timing-zaf-register-dk010-2026-03-30-1,observation-zaf-register-dk010-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-19,2026-09-24
timing-zaf-register-dk011-2026-03-30-1,observation-zaf-register-dk011-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-20,2026-09-24
timing-zaf-register-dk012-2026-03-30-1,observation-zaf-register-dk012-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-21,2026-09-24
timing-zaf-register-dk013-2026-03-30-1,observation-zaf-register-dk013-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-22,2026-09-24
timing-zaf-register-dk014-2026-03-30-1,observation-zaf-register-dk014-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-23,2026-09-24
timing-zaf-register-dk015-2026-03-30-1,observation-zaf-register-dk015-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-24,2026-09-24
timing-zaf-register-dk018-2026-03-30-1,observation-zaf-register-dk018-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-25,2026-09-24
timing-zaf-register-dk019-2026-03-30-1,observation-zaf-register-dk019-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-26,2026-09-24
timing-zaf-register-dk020-2026-03-30-1,observation-zaf-register-dk020-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-27,2026-09-24
timing-zaf-register-eu001-2026-03-30-1,observation-zaf-register-eu001-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-28,2026-09-24
timing-zaf-register-eu002-2026-03-30-1,observation-zaf-register-eu002-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-29,2026-09-24
timing-zaf-register-eu003-2026-03-30-1,observation-zaf-register-eu003-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-30,2026-09-24
timing-zaf-register-eu004-2026-03-30-1,observation-zaf-register-eu004-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-31,2026-09-24
timing-zaf-register-eu005-2026-03-30-1,observation-zaf-register-eu005-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-32,2026-09-24
timing-zaf-register-eu006-2026-03-30-1,observation-zaf-register-eu006-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-33,2026-09-24
timing-zaf-register-eu007-2026-03-30-1,observation-zaf-register-eu007-2026-03-30,register_date,,unknown,,,zaf-jet-investment-register-q1-2026-overall-data-34,2026-09-24
