plan_project_id,country,source_id,technology_group,ordinal,project_name,system,estimated_start,capacity_value,capacity_unit,estimated_investment_usd_mn,natural_retirement_year,estimated_retirement_year,ruptl,canonical_project_id,reconciliation_status,document_sha256,locator,notes
idn-cipp-transmission-001,IDN,idn-cipp-2023-cpr-mirror,transmission,1,SUTET 500 kV Upper Cisokan PLTA PS - Inc. (Cibinong - Saguling),Java-Madura-Bali,2024,60.0,km,22.4,,,NO,,plan_only,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,"Appendix 10.1, row 1",CIPP priority-project line; plan values are not financing events
idn-cipp-transmission-002,IDN,idn-cipp-2023-cpr-mirror,transmission,2,SUTET 500 kV Matenggeng PLTA PS - Inc. (Tasikmalaya - Kesugihan / Rawalo),Java-Madura-Bali,2024,120.0,km,39.3,,,YES,,plan_only,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,"Appendix 10.1, row 2",CIPP priority-project line; plan values are not financing events
idn-cipp-transmission-003,IDN,idn-cipp-2023-cpr-mirror,transmission,3,SUTET 500 kV Grindulu PLTA PS - Inc. (Pedan - Kediri),Java-Madura-Bali,2024,40.0,km,14.9,,,YES,,plan_only,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,"Appendix 10.1, row 3",CIPP priority-project line; plan values are not financing events
idn-cipp-transmission-004,IDN,idn-cipp-2023-cpr-mirror,transmission,4,SUTET 500 kV DC LP E. Java - Ngimbang Converter Station,Java-Madura-Bali,2030,120.0,km,65.0,,,NO,,plan_only,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,"Appendix 10.1, row 4",CIPP priority-project line; plan values are not financing events
idn-cipp-transmission-005,IDN,idn-cipp-2023-cpr-mirror,transmission,5,SUTET 500 kV PLTA Kelai - Inc 2 phi (M.Wahau-Tj.Redeb),Kalimantan,2024,1.0,km,0.1,,,YES,,plan_only,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,"Appendix 10.1, row 5",CIPP priority-project line; plan values are not financing events
idn-cipp-transmission-006,IDN,idn-cipp-2023-cpr-mirror,transmission,6,SUTET 500 kV GITET TJ. Selor - GITET Embalut,Kalimantan,2024,760.0,km,377.7,,,NO,,plan_only,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,"Appendix 10.1, row 6",CIPP priority-project line; plan values are not financing events
idn-cipp-transmission-007,IDN,idn-cipp-2023-cpr-mirror,transmission,7,SUTET 500 kV GITET Embalut - GITET IKN,Kalimantan,2024,150.0,km,74.5,,,NO,,plan_only,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,"Appendix 10.1, row 7",CIPP priority-project line; plan values are not financing events
idn-cipp-transmission-008,IDN,idn-cipp-2023-cpr-mirror,transmission,8,SUTET 500 kV PLTA Tabang - Kembang Janggut,Kalimantan,2024,140.0,km,16.2,,,YES,,plan_only,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,"Appendix 10.1, row 8",CIPP priority-project line; plan values are not financing events
idn-cipp-transmission-009,IDN,idn-cipp-2023-cpr-mirror,transmission,9,SUTET 500 kV PLTA Kaltara 1 - Tj. Selor,Kalimantan,2024,80.0,km,9.2,,,YES,,plan_only,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,"Appendix 10.1, row 9",CIPP priority-project line; plan values are not financing events
idn-cipp-transmission-010,IDN,idn-cipp-2023-cpr-mirror,transmission,10,SUTET 500 kV DC HEPP N. Kalimantan - LP S. Kalimantan,Kalimantan,2030,1800.0,km,975.0,,,NO,,plan_only,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,"Appendix 10.1, row 10",CIPP priority-project line; plan values are not financing events
