source_id,issuer,title,publication_date,url,locator,evidence_type,limits,retrieved_on,archive_path,sha256
S01,Council of the European Union / European Commission,"Commission intention to join negotiations on a JETP with Senegal, 14114/22",2022-10-27; annex 2022-10-19; partial public release 2023-02-13,https://data.consilium.europa.eu/doc/document/ST-14114-2022-INIT/en/pdf,"PDF pp. 2–3 (zero-index 1–2), CONTEXT and OBJECTIVES",original web extraction,"Country shortlist, negotiation context and qualitative rationale; redactions present",2026-09-14,,
S02,UK Prime Minister’s Office / declaration parties,Joint Statement: International Just Energy Transition Partnership,2021-11-02,https://www.gov.uk/government/news/joint-statement-international-just-energy-transition-partnership,"Political Declaration paragraphs 8–11, 16–18",original web extraction,"South Africa declaration, conditional offer and sector/policy scope",2026-09-14,,
S03,South African Presidency,President Ramaphosa outlines South Africa’s Just Energy Transition Investment Plan,release dated 2022-11-04; webpage Submitted 2022-11-11,https://www.presidency.gov.za/president-ramaphosa-outlines-south-africas-just-energy-transition-investment-plan,opening paragraphs; final access sentence,original web extraction,Unveiling/access notice; server first-publication timestamp not established,2026-09-14,,
S04,South African Department of Forestry Fisheries and Environment,"Forestry, Fisheries and Environment meets climate envoys ahead of COP26",2021-09-30,https://www.gov.za/news/media-statements/forestry-fisheries-and-environment-meets-climate-envoys-ahead-cop26-30-sep,opening meeting paragraph; final technical-task-team paragraph,original web extraction,"Meeting yesterday implies 2021-09-29; prelaunch financing talks, not formally named JETP",2026-09-14,,
S05,UK Cabinet Office,Indonesia Just Energy Transition Partnership Launched at G20,2022-11-15,https://www.gov.uk/government/news/indonesia-just-energy-transition-partnership-launched-at-g20,opening bullets; finance and final India/Senegal paragraphs; footnote 1,original web extraction,Indonesia offer; India ongoing talks; guarantee not yet signed,2026-09-14,,
S06,UK FCDO / declaration parties,Political declaration on establishing the Just Energy Transition Partnership with Viet Nam,2022-12-14,https://www.gov.uk/government/publications/vietnams-just-energy-transition-partnership-political-declaration/political-declaration-on-establishing-the-just-energy-transition-partnership-with-viet-nam,publication heading; paragraphs 19–24,original web extraction (display partial),"Declaration date, financial conditions and reform scope; paragraph 18 amount not separately verified in displayed text",2026-09-14,,
S07,UK FCDO / IPG leaders,Senegal and the International Partners Group announce Just Energy Transition Partnership,2023-06-23; event 2023-06-22,https://www.gov.uk/government/news/senegal-and-the-international-partners-group-announce-just-energy-transition-partnership,"opening paragraphs including Today (22 June), financing and plan deadline",original web extraction,Launch/offer event differs from page publication date,2026-09-14,,
S08,JETP Indonesia Secretariat,JETP Investment Plan Launched; Indonesian Government Aims for Swift Implementation,2023-11-21,https://jetp.id/news/just-energy-transition-partnership-jetp-investment-plan-launched-indonesian-government-aims-for-swift-implementation,opening; on-grid scope paragraph; demand-sector working group paragraph,original web extraction,Final CIPP launch; scoped and revisable plan,2026-09-14,,
S09,UK FCDO / IPG,Vietnam Just Energy Transition Partnership: joint statement,2023-12-01; updated 2024-01-09,https://www.gov.uk/government/news/viet-nam-just-energy-transition-partnership-joint-statement,launch paragraph and finance paragraphs,original web extraction,"RMP release/launch, dated later finance offer; current page is amended",2026-09-14,,
S10,JETP Indonesia Secretariat,How are projects selected and prioritized in JETP?,undated; observed 2026-09-14,https://jetp.id/about/how-are-projects-selected-and-prioritized-in-jetp,three substantive paragraphs; Chapter 5 pointer,original web extraction,Screening and prioritization description; no approval/disbursement assignment,2026-09-14,,
S11,Prime Minister of India / India and Germany,Joint Statement: 6th India-Germany Inter-Governmental Consultations,2022-05-02 (event/date context),https://www.pmindia.gov.in/en/news_updates/joint-statement-6th-india-germany-inter-governmental-consultations/,"paragraphs 9, 17–21",original web extraction,Energy dialogue plus distinct green/sustainable-development partnership and legacy programmes,2026-09-14,,
L01,Senegal MEPM document hosted by ITIE Senegal (lead),Plan d’investissement de la transition énergétique du Sénégal,filename suggests 2025-04-02; URL suggests June upload; neither proves publication,https://www.itie.sn/wp-content/uploads/2025/06/20250402-ENERCAP-Livrable-L4-v5-clean-1.pdf,search snippet section 0.5.4; original uninspected,search snippet only; shell retrieval DNS failed,No archived bytes or verified publication date,2026-09-14,,
L02,Vie-Publique.sn (repository lead; provenance not adjudicated),Plan d’investissement de la transition énergétique juste au Sénégal,search result labels 2025-04-02,https://www.vie-publique.sn/documents/10970/plan-investissement-transition-energetique-juste-jet-senegal-mepm,search result date,search snippet only,Not promoted to original evidence,2026-09-14,,
L03,Senegal MEPM,Vers une intégration stratégique des secteurs de l’eau de l’énergie et de l’agriculture,search result labels 2026-05-08; workshop 2026-04-30,https://energie-mines.gouv.sn/le-senegal-se-dote-dune-feuille-de-route-commune-sous-le-signe-du-nexus-eea-et-du-jetp/,search result workshop and proposed projects paragraphs,search snippet only,Water/agriculture JETP exposure lead; no original opening within budget,2026-09-14,,
