project_or_tool,unit,research_method,access_or_tooling,time_and_revision,reuse_candidate,limitations_or_licence,priority,source_ids,source_urls
Global Energy Monitor,Physical unit / project,Documentary histories and coverage thresholds,Public downloads and maps code,Technology-specific scope; federated vintages,Static map pattern; candidate inventory adapter,Map code licence not verified; dataset terms to check,Present enrichment candidate,gemcoal gemintegrated gemmaps,https://globalenergymonitor.org/projects/global-coal-plant-tracker | https://globalenergymonitor.org/projects/global-integrated-power-tracker | https://raw.githubusercontent.com/GlobalEnergyMonitor/maps/main/README.md
AidData TUFF,Financing operation,Multisource reconstruction and evidence quality,Public methodology and dataset access routes,Edition-based history; preserve estimated-date flags,Collection protocol and operation crosswalks,Methodology inspected; full dataset not ingested,Present research method,tuff tuffmanual,https://www.aiddata.org/publications/tracking-loans-and-grants-from-china-globally-4-0-methodology | https://docs.aiddata.org/reports/chasing-china/Tracking_Chinese_Loans_and_Grants_TUFF_4_Methodology.pdf
Climate Policy Radar / Project Explorer,Document / passage / concept,Evaluated annotation and semantic discovery,Public repositories; warehouse access process,"Pin corpus, concept and classifier versions",Passage annotation schema and extraction candidate,Knowledge-graph code Apache 2.0; source-document rights separate,Conditional extraction evaluation,radar radarkg radarmethod,https://www.climatepolicyradar.org/what-we-do | https://github.com/climatepolicyradar/knowledge-graph | https://github.com/climatepolicyradar/methodology/blob/main/knowledge-graph-methodology.md
Climate Funds Update,Fund flow / project,Distinguish stages and disclosure gaps,Dashboard and Excel download,Most funds February 2026; uneven field coverage,Financial definitions and comparison data,Dataset reuse terms to check; definitions include old material,Present semantic comparison,cfu cfudashboard,https://climatefundsupdate.org/about-us/notes-and-methodology/ | https://climatefundsupdate.org/data-dashboard/
CPI Global Landscape,Aggregate financing flow,Perimeters and double-counting control,Reports and aggregate data; some granular inputs restricted,Examined 2025 methodology; commitments,Accounting methodology,Do not assume granular open replication,Present semantic comparison,cpi,https://www.climatepolicyinitiative.org/wp-content/uploads/2025/06/Global-Landscape-of-Climate-Finance-2025-Methodology.pdf
Carbon Monitor,Daily country-sector emission estimate,Activity-based high-frequency measurement,Live data site and scientific descriptor,Revisions; current live data cutoff not established,Indicator vintage and uncertainty pattern,Historical access and blanket data licence not verified,Future contextual series candidate,carbon carbonlive,https://www.nature.com/articles/s41597-020-00708-7 | https://carbonmonitor.org/
Climate TRACE,Estimated emissions including assets,Method revisions and versioned emissions,Release explanation and public method repository,Monthly policy with lag; 2025 changelog example,Release notes and external emissions cross-checks,Dataset terms and latest cutoff need confirmation,Future contextual series candidate,trace tracechanges,https://www.climatetrace.org/news/what-to-know-about-climate-traces-monthly-data-updates | https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/CHANGELOG
Ember,Electricity country-period series,Country-specific measurement harmonisation,API documentation with signup/key,Methodology v1.5 retrieved; annual/monthly differences,Pinned electricity-series adapter,API states CC BY 4.0; authenticated route not tested,Future electricity-data candidate,ember emberapi,https://files.ember-energy.org/public-downloads/ember_electricity_data_methodology.pdf | https://api.ember-energy.org/docs
WRI Climate Watch,Country indicators and targets,Compose evidence families in country profiles,Public initiative and download routes,Underlying datasets retain their own vintages,Country comparison and context,"Current API, code and per-dataset terms not verified",Contextual data candidate,wri,https://www.wri.org/initiatives/climate-watch
Climate Action Tracker,Country evaluation,Explicit dimensions for ratings,Public methodology and country ratings,Country-specific updates; derived assessments,Evaluation transparency,Not a raw event ledger; detailed reuse terms to check,Methodological comparison,cat,https://climateactiontracker.org/methodology/cat-rating-methodology/
