unit_id,kind,source_value,disposition,reason,evidence_ids
DE-1-200466276,document_coverage,start_proxy=2006-01-10; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-200366617,document_coverage,start_proxy=2005-01-11; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E16
DE-1-201968361,document_coverage,start_proxy=2023-12-28; earliest_reported_payment_stamp=,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-200166785,document_coverage,start_proxy=2006-12-21; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-200466433,document_coverage,start_proxy=2007-12-13; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-200866871,document_coverage,start_proxy=2011-01-21; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-200966358,document_coverage,start_proxy=2015-05-08; earliest_reported_payment_stamp=2017-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-199870106,document_coverage,start_proxy=1998-12-07; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-200266973,document_coverage,start_proxy=2005-01-19; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-200270538,document_coverage,start_proxy=2005-12-28; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-200366757,document_coverage,start_proxy=2009-10-08; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-201870245,document_coverage,start_proxy=2020-03-20; earliest_reported_payment_stamp=2020-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-199170366,challenge,start_proxy=1992-10-26; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-199370321,challenge,start_proxy=1993-12-28; earliest_reported_payment_stamp=2012-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E_XML
DE-1-201365154,challenge,start_proxy=2015-12-29; earliest_reported_payment_stamp=2017-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E14
DE-1-201366764,challenge,start_proxy=2016-08-04; earliest_reported_payment_stamp=2018-12-31,unresolved,Earlier payment coverage and start/contract semantics unknown; never infer first-payment bounds,E13
,source_status_conflict,DE-1-201366764 XML end 2021-12-01 versus page aktiv,unresolved,Preserve both snapshots and distinct publisher status meanings; no lifecycle harmonization,E_XML
,pooled_evaluation,DE-1-200366617 alongside 199865841 and training in Project A,unresolved,Evaluation identity confirmed but pooled financial totals and timings cannot be attributed to this activity,E_XML
,duplicate_exports,Country/Region same SHA256,resolved_mapping,One archived object; do not double count 4036 activities,E_XML
,equal_starts,4036 planned/actual identical,resolved_mapping,Original planned start not independently observed; zero delay unsupported,E_XML
,historical_roster,MA/IN calendar 2018,unresolved,No complete dated official financing-contract roster acquired; denominator unknown,E_XML
,periodicity,annual/quarter-end/2026-08-26,unresolved,Distribution consistent with reporting aggregation but period boundaries and completeness unvalidated,E_XML
,missing_payment,387 records without type-3 entry,resolved_mapping,Missing entries do not establish zero payment,E_XML
,lost_visibility,one snapshot,unresolved,"Disappearance not observed; count unavailable, not zero",E_XML
,protocol_deviation,XML preview before directory hash check,unresolved,First 35 lines previewed; full bundles matched before profile and sample freeze,E_XML
,query_amendment,initial site.domain operator omitted colon,unresolved,Units 9–12 used explicit site: syntax; initial four units retained and charged,E_XML
DE-1-198970022,negative_correction,transaction[3]/transaction-date: 2013-12-31 -4803.59,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199370321,negative_correction,transaction[3]/transaction-date: 2013-12-31 -857.53,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199465626,negative_correction,transaction[7]/transaction-date: 2018-12-31 -159.06,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199470295,negative_correction,transaction[8]/transaction-date: 2025-06-30 -5000.00,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199470295,negative_correction,transaction[9]/transaction-date: 2025-09-30 -5000.00,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199665472,negative_correction,transaction[6]/transaction-date: 2016-12-31 -66371.11,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199765140,negative_correction,transaction[4]/transaction-date: 2014-12-31 -29520.62,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199765165,negative_correction,transaction[4]/transaction-date: 2017-12-31 -602706.29,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199770033,negative_correction,transaction[3]/transaction-date: 2013-12-31 -43186.14,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199865676,negative_correction,transaction[4]/transaction-date: 2014-12-31 -40998.18,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199865940,negative_correction,transaction[3]/transaction-date: 2013-12-31 -804464.39,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199865940,negative_correction,transaction[4]/transaction-date: 2015-12-31 -18028.88,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199866062,negative_correction,transaction[5]/transaction-date: 2016-12-31 -6965.09,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199866062,negative_correction,transaction[6]/transaction-date: 2018-12-31 -1194551.23,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199866690,negative_correction,transaction[10]/transaction-date: 2021-12-31 -291802.44,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199966169,negative_correction,transaction[8]/transaction-date: 2019-12-31 -150990.59,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199966565,negative_correction,transaction[4]/transaction-date: 2014-12-31 -293923.00,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-199966722,negative_correction,transaction[6]/transaction-date: 2017-12-31 -156259.07,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-200065086,negative_correction,transaction[4]/transaction-date: 2014-12-31 -25971.78,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-200065136,negative_correction,transaction[5]/transaction-date: 2015-12-31 -246411.07,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-200065136,negative_correction,transaction[6]/transaction-date: 2016-12-31 -4169.44,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-200065367,negative_correction,transaction[3]/transaction-date: 2013-12-31 -60277.50,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-200065516,negative_correction,transaction[4]/transaction-date: 2015-12-31 -900000.00,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
DE-1-200065516,negative_correction,transaction[7]/transaction-date: 2018-12-31 -44299.82,unresolved,Correction meaning undocumented; no cancellation inferred,E_XML
