item_id,country,source_id,source_version,route,expected_item,expected_count,financial_semantics,date_semantics,retention,disposition,country_owner
idn-idn-adb-aicet-56140-001,IDN,idn-adb-aicet-56140-001,declared-undated,html,Accelerating Indonesia's Clean Energy Transition Program Phase 1,1,project_profile_not_finance,source_date_semantics_review_required,attempt_log_then_review,unavailable,0819
idn-idn-adb-aicet-news-2025,IDN,idn-adb-aicet-news-2025,5714eaa6cac6eabc0544c61c0c151c26d898e63322a8da865485a2fd85c2bf7c,html,ADB Boosts Indonesia's Clean Energy Transition,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-adb-aset-56368-001,IDN,idn-adb-aset-56368-001,declared-undated,html,"Affordable and Sustainable Energy Transition Program, Subprogram 1",1,project_profile_not_finance,source_date_semantics_review_required,attempt_log_then_review,unavailable,0819
idn-idn-adb-aset-news-2024,IDN,idn-adb-aset-news-2024,6080b6d96abaddd85eba4b9762d458ed6b071c652a09885539b4589d726b1fd7,html,ADB Approves Policy Loan to Support Indonesia's Energy Transition,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-adb-muara-laboh-2-2025,IDN,idn-adb-muara-laboh-2-2025,f07409806527f6f3f72c42344ff758e1602f791e404b13afef3bfe45facc32c1,html,ADB Supports Indonesia's Green Energy Transition with Geothermal Expansion Project,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-cipp-2023,IDN,idn-cipp-2023,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,pdf,Comprehensive Investment and Policy Plan,1,plan_priority_not_finance,publication_date_not_event_date,raw_byte_dvc_then_review,admitted,0819
idn-idn-cipp-2023-cpr-mirror,IDN,idn-cipp-2023-cpr-mirror,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5,pdf,Comprehensive Investment and Policy Plan,1,plan_priority_not_finance,publication_date_not_event_date,raw_byte_dvc_then_review,admitted,0819
idn-idn-cipp-portal,IDN,idn-cipp-portal,1330e7e76963ee6ce85ce70828b9b23a47a93abaa692882eea0e05f33746ec10,html,Comprehensive Investment and Policy Plan,1,discovery_or_snapshot,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-cmea-progress-december-2025,IDN,idn-cmea-progress-december-2025,2025-12-05,html,JETP prepares IDR 350 trillion for renewable energy financing in Indonesia,1,announced_finance_or_event,source_date_semantics_review_required,attempt_log_then_review,unavailable,0819
idn-idn-cmea-progress-march-2025,IDN,idn-cmea-progress-march-2025,2025-03-24,html,Government forms Energy Transition and Green Economy Task Force and reports 54 funded projects,1,announced_finance_or_event,source_date_semantics_review_required,attempt_log_then_review,unavailable,0819
idn-idn-eib-ptsmi-mou-2024,IDN,idn-eib-ptsmi-mou-2024,994ad5ee3467a23ca4c6c4c52bd6fb3b61e22a04b412450aed6a77b4c8b40d66,html,Indonesia EIB Global agrees to support PT SMI on sustainable infrastructure development,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-geapp-diesel-replacement-program,IDN,idn-geapp-diesel-replacement-program,b0e5009dba6fb5308a83106aed183b35d334ed005c4fe62da162946ce84e3428,html,Diesel to Renewables to Power Indonesia Energy Transition,1,project_profile_not_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-gfanz-saguling-2025,IDN,idn-gfanz-saguling-2025,e5f87af0a25794e3a399f0e09d5e1e957c9c44a9962b711bb8d8bf1e63e71e26,html,First Indonesian JETP Solar Project Mobilizes USD 60 Million as Investment Momentum Builds,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-ibvogt-diesel-west-2023,IDN,idn-ibvogt-diesel-west-2023,525fb5964dd1c049b0d1a8d5f6f1a99393c38bbff8f7827247bb554c989a800c,html,ib vogt awarded Western Cluster of Indonesia Diesel Replacement Program,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-ieefa-dediesel-update-2026,IDN,idn-ieefa-dediesel-update-2026,420b776cb72eb5813716346818855a6a0dd9d8a5253d064f8bff8a72f58b3ec1,html,Advancing Indonesia 100GW solar program through de-dieselization for energy security,1,source_specific_review_required,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-captive-power-study-2025,IDN,idn-jetp-captive-power-study-2025,b45a7437b601ed2a61c39123c2d35b04ccd49a73d75543e067a7c772c0db6bdf,pdf,Captive Power Study Report,1,operator_status_or_reported_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-carbon-pricing-2025,IDN,idn-jetp-carbon-pricing-2025,debd93518e560c8db0614059c2b550b2f75914fb4bb16038267d6bbc259026a2,pdf,Advancing Power Sector Decarbonization Through Carbon Pricing,1,operator_status_or_reported_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-energy-efficiency-electrification-2025,IDN,idn-jetp-energy-efficiency-electrification-2025,4e7ce1c8fb6ada0fc020ba5590a9bf46ce678e6f663f0b150aa063c5e0f105cc,pdf,Energy Efficiency and Electrification Study,1,operator_status_or_reported_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-guarantees-insurance-2025,IDN,idn-jetp-guarantees-insurance-2025,fe8af4acbb6fccf83ea8a3ad0b608ec870c93e967f9e59ff23078ef5e4ec42a7,pdf,Unlocking clean energy finance and investment in Indonesia: The role of guarantees and insurance,1,operator_status_or_reported_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-joint-statement-2022,IDN,idn-jetp-joint-statement-2022,19386c5455eff22d7e82834fda0f7783878899360d135ffa0180a5c8835811ac,html,Launch of the Just Energy Transition Partnership in Indonesia,1,pledge_not_operation_finance,publication_date_not_event_date,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-just-transition-study-2025,IDN,idn-jetp-just-transition-study-2025,901d08e8589ba37ba50891e453d7b4138282d13c4d0f27403ded2aa363125378,pdf,Just Transition Study,1,operator_status_or_reported_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-progress-report-2025,IDN,idn-jetp-progress-report-2025,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,pdf,JETP Progress Report 2025,1,reported_position_not_payment,reporting_cutoff_or_publication_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-reports-2025-landing,IDN,idn-jetp-reports-2025-landing,ef40b374ace8db649265ad624964db591e016fd0b5a11fb903fe46b5b5cd6d4f,html,JETP Progress Report 2025 and Thematic Reports,1,discovery_or_snapshot,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-small-scale-renewables-finance-2025,IDN,idn-jetp-small-scale-renewables-finance-2025,93d4fe15da7d6afa651d3ffb93ed23ef12a75d8312c320b9418d037aa8738583,pdf,Financing small-scale renewable energy projects in Indonesia: A focus on decentralised and remote solutions,1,operator_status_or_reported_finance,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-work-plan-2024-presentation,IDN,idn-jetp-work-plan-2024-presentation,49ad8438de9c6fc67d027f168d8fccf4efef40f0aff6152d28259964efec609e,pdf,JETP Indonesia 2024 Work Plan presentation,1,reported_position_not_payment,reporting_cutoff_or_publication_review_required,raw_byte_dvc_then_review,admitted,0819
idn-idn-jetp-xurya-equity-2024,IDN,idn-jetp-xurya-equity-2024,3ac1ee60e7e04efcd54da66897f835a7bf5d51de13557f9346a2c81d0c62cfef,html,Norwegian and British Investment in Indonesian Start-up Marks First Equity Milestone in JETP Disbursement,1,announced_finance_or_event,source_date_semantics_review_required,raw_byte_dvc_then_review,admitted,0819
