ordinal,project_id,official_unique_id,project_name,portfolios,funding_partners,funding_instrument,amount_pledged_original,currency_pledged,amount_reported_usd,amount_reported_zar,implementation_status,register_financing_agreement_label,source_id,document_sha256,locator,disposition,date_role,transition_date,payment_amount,eligible_for_account
1,zaf-register-actip001,ACTIP001,Skills Research Programme,Skills,ACT-IP,Grants,2280000,USD,2280000,40150800,D. Completed,2021-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID ACTIP001",unadmitted_candidate,register_date_label_retained_not_transition,,,false
2,zaf-register-actip002,ACTIP002,JT-Mpumalanga Community Development: Organisational Development,JT-Mpumalanga,ACT-IP,Grants,47720000,USD,47720000,844644000,B. Approved,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID ACTIP002",unadmitted_candidate,register_date_label_retained_not_transition,,,false
3,zaf-register-can001,CAN001,Skills Research Programme,Skills,Canada,Grants,790000,CAD,592500,10487250,C. Implementation Phase,2021-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN001",unadmitted_candidate,register_date_label_retained_not_transition,,,false
4,zaf-register-can002,CAN002,Just Transition Support Programme,Skills,Canada,Grants,250000,CAD,187500,3318750,C. Implementation Phase,2021-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN002",unadmitted_candidate,register_date_label_retained_not_transition,,,false
5,zaf-register-can003,CAN003,Just Transition Support Programme,Skills,Canada,Grants,400000,CAD,300000,5310000,C. Implementation Phase,2023-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN003",unadmitted_candidate,register_date_label_retained_not_transition,,,false
6,zaf-register-can004,CAN004,Just Transition Support Programme,Skills,Canada,Grants,210000,CAD,157500,2787750,C. Implementation Phase,2023-03-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN004",unadmitted_candidate,register_date_label_retained_not_transition,,,false
7,zaf-register-can005,CAN005,JET SEP Skills Planning & Data Systems,Skills,Canada,Grants,1500000,CAD,1125000,19912500,B. Approved,2026-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN005",unadmitted_candidate,register_date_label_retained_not_transition,,,false
8,zaf-register-can006,CAN006,JET SEP Working Group Facilitation,Skills,Canada,Grants,1250000,CAD,937500,16593750,B. Approved,2026-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN006",unadmitted_candidate,register_date_label_retained_not_transition,,,false
9,zaf-register-can007,CAN007,JET SEP TVET Lecturer Development,Skills,Canada,Grants,1000000,CAD,750000,13275000,B. Approved,2026-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN007",unadmitted_candidate,register_date_label_retained_not_transition,,,false
10,zaf-register-can008,CAN008,JET SEP Workplace-Based Learning Expansion,Skills,Canada,Grants,1250000,CAD,937500,16593750,B. Approved,2026-01-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID CAN008",unadmitted_candidate,register_date_label_retained_not_transition,,,false
11,zaf-register-dk001,DK001,Electricity Grid Infrastructure Programme,Electricity,Denmark,Grants,18130000,DKK,2719500,48135150,C. Implementation Phase,2021-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK001",unadmitted_candidate,register_date_label_retained_not_transition,,,false
12,zaf-register-dk002,DK002,Electricity Grid Infrastructure Programme,Electricity,Denmark,Grants,22159000,DKK,3323850,58832145,C. Implementation Phase,2021-11-01T00:00:00,zaf-jet-investment-register-q1-2026,5b5d6442da4e9e57b3c83b7bfc04a19135b2c5bf750c2480685d9d084dc093f4,"Overall - Data, Unique ID DK002",unadmitted_candidate,register_date_label_retained_not_transition,,,false
