inventory_id,country,source_id,edition,coverage_period,expected_item,expected_count,retrieval_status,content_disposition,date_rule,stop_rule,country_owner
zaf-register-q1-2026,ZAF,zaf-jet-investment-register-q1-2026,Q1-2026,2026-01-01/2026-03-31,material dashboard table row,257,raw_retained,extraction_pending,publication_or_cutoff_not_event_without_explicit_event_statement,stop after 257 material rows and exclude dashboard summary rows,0818
idn-progress-report-2025,IDN,idn-jetp-progress-report-2025,2025,2025-01-01/2025-12-31,final JETP progress report,1,raw_retained,extraction_pending,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the one linked final report,0819
idn-study-energy-efficiency-2025,IDN,idn-jetp-energy-efficiency-electrification-2025,2025,2025-01-01/2025-12-31,linked thematic study energy efficiency and electrification,1,raw_retained,extraction_pending,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the linked study file,0819
idn-study-captive-power-2025,IDN,idn-jetp-captive-power-study-2025,2025,2025-01-01/2025-12-31,linked thematic study captive power,1,raw_retained,extraction_pending,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the linked study file,0819
idn-study-just-transition-2025,IDN,idn-jetp-just-transition-study-2025,2025,2025-01-01/2025-12-31,linked thematic study just transition,1,raw_retained,extraction_pending,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the linked study file,0819
idn-study-guarantees-2025,IDN,idn-jetp-guarantees-insurance-2025,2025,2025-01-01/2025-12-31,linked thematic study guarantees and insurance,1,raw_retained,extraction_pending,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the linked study file,0819
idn-study-small-renewables-2025,IDN,idn-jetp-small-scale-renewables-finance-2025,2025,2025-01-01/2025-12-31,linked thematic study small scale renewables finance,1,raw_retained,extraction_pending,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the linked study file,0819
idn-study-carbon-pricing-2025,IDN,idn-jetp-carbon-pricing-2025,2025,2025-01-01/2025-12-31,linked thematic study carbon pricing,1,raw_retained,extraction_pending,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the linked study file,0819
sen-senelec-2019,SEN,sen-senelec-reports-index,2019,2019-01-01/2019-12-31,Senelec annual report file 2019,1,index_raw_retained_file_not_retained,not_extracted,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the indexed 2019 annual file or record it unavailable,0821
sen-senelec-2020,SEN,sen-senelec-reports-index,2020,2020-01-01/2020-12-31,Senelec annual report file 2020,1,index_raw_retained_file_not_retained,not_extracted,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the indexed 2020 annual file or record it unavailable,0821
sen-senelec-2021,SEN,sen-senelec-reports-index,2021,2021-01-01/2021-12-31,Senelec annual report file 2021,1,index_raw_retained_file_not_retained,not_extracted,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the indexed 2021 annual file or record it unavailable,0821
sen-senelec-2022,SEN,sen-senelec-reports-index,2022,2022-01-01/2022-12-31,Senelec annual report file 2022,1,index_raw_retained_file_not_retained,not_extracted,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the indexed 2022 annual file or record it unavailable,0821
sen-senelec-2023,SEN,sen-senelec-annual-report-2023,2023,2023-01-01/2023-12-31,Senelec annual report file 2023,1,raw_retained,extraction_pending,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the one retained annual report file,0821
sen-senelec-2024,SEN,sen-senelec-annual-report-2024,2024,2024-01-01/2024-12-31,Senelec annual report file 2024,1,raw_retained,extraction_pending,publication_or_cutoff_not_event_without_explicit_event_statement,stop after the one retained annual report file,0821
