instrument,observations,denominator,share_of_documented_observations
Grants,237,303,0.782178
"Commercial Debt, Equity & Guarantees",11,303,0.036304
Concessional loans,6,303,0.019802
"besoin de financement, non engagé",4,303,0.013201
Policy Loans,3,303,0.009901
non précisé,3,303,0.009901
prêt,3,303,0.009901
cumul tous instruments,2,303,0.006601
mixte,2,303,0.006601
prêts,2,303,0.006601
"ODA, prêts concessionnels et prêts sans garantie souveraine",1,303,0.0033
crédit concessionnel IDA,1,303,0.0033
crédit concessionnel IDA (development policy financing),1,303,0.0033
don (assistance technique),1,303,0.0033
"don (grant, assistance technique)",1,303,0.0033
don / prêt sur fonds budgétaires (« Zuschuss / Darlehen aus Haushaltsmitteln »),1,303,0.0033
"dons, prêts concessionnels et commerciaux, instruments",1,303,0.0033
"dons, prêts concessionnels, instruments de partage de risque",1,303,0.0033
finance privée,1,303,0.0033
finance privée (mobilisation/facilitation),1,303,0.0033
"finance publique, termes plus favorables que le marché",1,303,0.0033
lettre d'intention (LOI),1,303,0.0033
"mixte, non ventilé",1,303,0.0033
n/a,1,303,0.0033
n/a — investissement total,1,303,0.0033
n/a — retrait,1,303,0.0033
non ventilé,1,303,0.0033
paquet mixte non ventilé,1,303,0.0033
pledges (non ventilé),1,303,0.0033
prêt (credit agreement),1,303,0.0033
prêt (credit facility agreement),1,303,0.0033
prêt ODA concessionnel,1,303,0.0033
"prêt ODA concessionnel (1,5 %/an, 15 ans, 5 ans de différé, untied)",1,303,0.0033
prêt long terme (MoU / term sheet),1,303,0.0033
prêt sans garantie souveraine,1,303,0.0033
prêt-cadre (framework loan),1,303,0.0033
prêt-cadre / ligne de crédit à une banque commerciale,1,303,0.0033
prêts ODA et dons (9 accords),1,303,0.0033
prêts concessionnels,1,303,0.0033
prêts à conditions plus attractives que le marché,1,303,0.0033
