ref_doi,indeg,title,author,year
10.1257/jep.9.4.97,137,Toward a New Conception of the Environment-Competitiveness Relationship,Michael E. Porter,1995
10.1017/s1537592710004068,126,The Regime Complex for Climate Change,Robert O. Keohane,2011
10.3390/ijerph18094672,126,Climate change and health preparedness in Africa: analysing trends in six African countries,Opoku,2021
10.1038/nature15725,124,Global non-linear effect of temperature on economic production,Marshall Burke,2015
10.1016/j.jcorpfin.2018.12.001,122,Do shareholders benefit from green bonds?,Dragon Yongjun Tang,2018
10.26719/2022.28.4.247,122,"“Our planet, our health”: saving lives, promoting health and attaining well-being by protecting the planet—the Eastern Mediterranean perspectives",Al-Mandhari,2022
10.1177/17579139211058299,121,"Climate change, health, and conflict in Africa's arc of instability",Evans,2021
10.1016/j.jclepro.2019.02.022,104,The green advantage: Exploring the convenience of issuing green bonds,Gianfranco Gianfrate,2019
10.1287/mnsc.2013.1863,101,Environmental Externalities and Cost of Capital,Sudheer Chava,2014
10.1016/j.egypro.2016.12.053,99,The Role of Green Finance in Environmental Protection: Two Aspects of Market Mechanism and Policies,Yao Wang,2016
10.1002/jae.951,98,A simple panel unit root test in the presence of cross‐section dependence,M. Hashem Pesaran,2007
10.1086/466560,97,‘The problem of social cost’,Coase,1960
10.1007/s11356-020-08383-2,95,Impact of green finance on economic development and environmental quality: a study based on provincial panel data from China,Xiaoguang Zhou,2020
10.1016/s0301-4215(00)00070-7,94,Understanding carbon lock-in,Gregory C. Unruh,2000
10.1126/science.1244693,93,High-resolution global maps of 21st-century forest cover change,MC Hansen,2013
10.1016/j.eneco.2018.05.030,90,"Green bond and financial markets: Co-movement, diversification and price spillover effects",Juan C. Reboredo,2018
10.2307/2297968,89,Some Tests of Specification for Panel Data: Monte Carlo Evidence and an Application to Employment Equations,Manuel Arellano,1991
10.1016/j.gloenvcha.2010.07.004,89,Polycentric systems for coping with collective action and global environmental change,Элинор Остром,2010
10.1162/glep.2009.9.4.14,86,The Fragmentation of Global Governance Architectures: A Framework for Analysis,Frank Biermann,2009
10.1016/s0304-4076(98)00009-8,84,Initial conditions and moment restrictions in dynamic panel data models,Richard Blundell,1998
10.1038/461472a,83,A safe operating space for humanity,Johan Rockström,2009
