ratifie,operation,financier,instrument,montant,devise,date,statut,document_source,localisation,confiance,notes
,Enveloppe globale JETP Viet Nam — mobilisation initiale,"IPG (UE, RU, US, JP, DE, FR, IT, CA, DK, NO) + GFANZ","mixte, non ventilé",15500000000,USD,2022-12-14,annoncé,ipg-political-declaration-2022-12.html,"Déclaration politique, paragraphe numéroté 18 : « To mobilise an initial amount of at least $15.5 billion over the next 3 to 5 years »",high,Ligne mère. « at least » = plancher. Horizon 3-5 ans à partir de déc. 2022.
,Enveloppe globale JETP — part publique IPG,IPG (10 membres),"finance publique, termes plus favorables que le marché",7750000000,USD,2022-12-14,annoncé,ipg-political-declaration-2022-12.html,"Paragraphe 18, 2e phrase : « IPG members will mobilise $7.75 billion of public sector finance »",high,"CONFLIT: 8,08 Md USD dans le RMP (déc. 2023), 7,5 Md USD dans la déclaration UK/UE (mai 2025). Trois valeurs pour le même agrégat."
,Enveloppe globale JETP — part privée GFANZ,GFANZ Working Group,finance privée (mobilisation/facilitation),7750000000,USD,2022-12-14,annoncé,ipg-political-declaration-2022-12.html,"Paragraphe 18, 3e phrase : « at least $7.75 billion in private finance, subject to mobilisation of the catalytic public sector finance »",high,"Engagement conditionnel (« subject to »). Confirmé par gfanz-vietnam-working-group-2023.html, 2e paragraphe."
,Enveloppe JETP — attribution alternative de la part publique,IPG + Asian Development Bank + International Finance Corporation,pledges (non ventilé),7750000000,USD,2022-12-14,annoncé,us-embassy-declaration-2022-12.html,Ligne 34 du texte extrait : « Initial contributions to the Vietnam JETP include $7.75 billion in pledges from the IPG together with the Asian Development Bank and the International Finance Corporation »,high,"CONFLIT DE PÉRIMÈTRE : ce document inclut BAD et SFI dans les 7,75 Md, la Déclaration politique ne les mentionne pas. Formulation identique dans norway-ipg-join-2022-12.html."
,Resource Mobilisation Plan — total révisé,IPG + GFANZ,mixte,15800000000,USD,2023-12-01,engagé,ipg-rmp-launch-joint-statement-2023-12.html,"Corps du communiqué, paragraphe « The RMP provides further details on USD 15.8 billion of finance that has been committed to the JETP »",high,"CONFLIT direct avec baochinhphu-rmp-announcement-2023-12.html (15,5 Md USD) pour le même événement, même jour. Verbe « has been committed », d'où statut engagé."
,Resource Mobilisation Plan — part IPG révisée,IPG,"dons, prêts concessionnels, instruments de partage de risque",8080000000,USD,2023-12-01,engagé,ipg-rmp-launch-joint-statement-2023-12.html,"Même paragraphe : « USD 8.08 billion being provided by IPG » ; instruments décrits au paragraphe suivant : « grants, concessional loans and risk-sharing instruments over a period of 3 to 5 years »",high,"CONFLIT : 7,75 Md USD selon baochinhphu (même jour) et selon la Déclaration politique 2022 ; 7,5 Md USD selon UK/UE mai 2025."
,Resource Mobilisation Plan — part GFANZ,GFANZ,finance privée,7750000000,USD,2023-12-01,engagé,ipg-rmp-launch-joint-statement-2023-12.html,Même paragraphe : « USD 7.75 billion by the Glasgow Financial Alliance for Net Zero (GFANZ) »,high,Seule composante stable entre 2022 et 2023.
,Resource Mobilisation Plan — version vietnamienne du total,IPG + GFANZ,mixte,15500000000,USD,2023-12-01,engagé,baochinhphu-rmp-announcement-2023-12.html,"Article « Viet Nam announces resource mobilization plan to implement JETP in Dubai », paragraphe « Partners committed to mobilise an initial US$15.5 billion over the next three to five years »",high,"CONFLIT avec le communiqué IPG du même jour (15,8 Md). Ventilation ici : 7,75 IPG + 7,75 GFANZ, soit la ventilation de 2022 et non celle du RMP."
,Resource Mobilisation Plan — part IPG selon le gouvernement vietnamien,IPG,prêts à conditions plus attractives que le marché,7750000000,USD,2023-12-01,engagé,baochinhphu-rmp-announcement-2023-12.html,"Même paragraphe : « Of this, US$7.75 billion is to be mobilised by IPG members, with more attractive loan conditions than the current capital market »",high,"CONFLIT avec 8,08 Md USD du communiqué IPG du même jour."
,Enveloppe JETP — restatement UK/UE 2025,IPG (public) + GFANZ (privé),"dons, prêts concessionnels et commerciaux, instruments",15000000000,USD,2025-05-29,annoncé,uk-eu-jetp-progress-2025-05.html,"Section « Background », dernier paragraphe : « original funding commitments of $15.5 billion, including $7.5 billion public sector finance from IPG members (grants, concessional and commercial loans and instruments) and $7.5 billion private sector finance facilitated by GFANZ »",high,"CONFLIT INTERNE AU DOCUMENT : le total annoncé est 15,5 Md mais la ventilation 7,5 + 7,5 ne fait que 15,0 Md. Montant codé ici = la somme des deux composantes explicitées. Texte identique dans eeas-jetp-progress-macron-2025-05.html (en USD). À arbitrer par l'auteur."
,Enveloppe JETP — chiffre de presse post-retrait américain,IPG,non précisé,15000000000,USD,2025-03,annoncé,ccnews-us-withdraws-2025-03.html,"4e paragraphe de l'article : « Indonesia negotiated a JETP deal with a $20-billion commitment from the IPG, including $10 billion from commercial investors, followed by Vietnam with $15 billion »",low,Source journalistique tierce ; arrondi à 15 Md. À ne pas retenir comme valeur de référence ; conservé pour tracer la circulation des chiffres.
,Contribution bilatérale française au JETP,France (AFD),prêts concessionnels,500000000,EUR,2025-05-26,annoncé,evn-evnnpt-afd-67m-2025-05.html,"Article « EVNNPT and AFD sign €67 million financing agreement », paragraphe : « France has pledged to mobilize up to €500 million in concessional loans to support Vietnam's energy transition between 2023 and 2027 »",high,"Enveloppe pays, période 2023-2027. Ne pas additionner avec les lignes projet AFD (67 M€, 76 M€) qui en sont probablement des tirages."
,Prêt-cadre EIB / Ministère des Finances pour la mise en oeuvre du JETP,Banque européenne d'investissement (EIB Global),prêt-cadre (framework loan),500000000,EUR,2025-03-12,annoncé,eib-jetp-mou-500m-2025-03.html,Section « Strengthening Viet Nam's green transition through strategic investment » : « the EIB is committed to establishing a €500 million framework loan with the Ministry of Finance to support JETP implementation »,high,"« committed to establishing » = intention, pas de signature. Toujours qualifié de « planned » un an plus tard (eib-techcombank-200m-2026.html, encadré Background : « the planned €500 million framework loan with the Ministry of Finance »). Non signé au 24/03/2026."
,Contribution agrégée Team Europe au JETP,UE + EIB + États membres,non ventilé,2800000000,EUR,2025-10-09,annoncé,eib-bac-ai-430m-2025-10.html,"Section « EU-Vietnam partnership » : « the EU, EIB, and the Member States, contribute over €2.8 billion to the JETP »",medium,"Agrégat sans ventilation ni date de référence ; « over ». Impossible de rapprocher des lignes projet. Recoupement à faire avec les 8,08 Md USD IPG."
,Enveloppe UE Global Gateway Viet Nam 2021-2027,Union européenne (Commission),non précisé,293000000,EUR,2025-10-09,annoncé,eib-bac-ai-430m-2025-10.html,Section « EU-Vietnam partnership » : « The EU's financial commitment for 2021-2027 is at least €293 million »,medium,"Enveloppe pays Global Gateway, pas JETP stricto sensu — le document la cite dans le même paragraphe que le JETP. Périmètre à trancher."
,Ligne 500 kV Ho Chi Minh-Ville (ex-Binh Duong) / Dong Nai,AFD,prêt (credit facility agreement),67000000,EUR,2025-05-26,signé,evn-evnnpt-afd-67m-2025-05.html,"Titre et 1er paragraphe : « On May 26 in Hanoi, EVNNPT and AFD signed a financing agreement worth €67 million ». Signataires nommés au 4e paragraphe (Rémy Rioux / Pham Le Phu)",high,Emprunteur EVNNPT. Confirmé par uk-eu-jetp-progress-2025-05.html (« On 26 May 2025 ») et moit-jetp-projects-2025-07.html (« Thỏa thuận tín dụng trị giá 67 triệu Euro »). Premier des 3 projets JETP bouclés.
,Ligne 500 kV HCMV - Binh Duong — valorisation MOIT en USD,AFD,prêt,78000000,USD,2026-07-09,signé,moit-decision-1929-implementation-2026-07.html,"Section « Hoàn thiện chính sách phát triển năng lượng », paragraphe : « Dự án đường dây truyền tải điện Thành phố Hồ Chí Minh - Bình Dương (78 triệu USD) »",medium,"DOUBLON DE LA MÊME OPÉRATION en USD. 78 M USD / 67 M EUR implique un taux de 1,164, incohérent avec les autres conversions du même paragraphe (Bac Ai 565/480 = 1,177). Ne pas additionner avec la ligne en EUR."
,Extension de la centrale hydroélectrique de Tri An (+200 MW),KfW,prêt sans garantie souveraine,65000000,EUR,2025-06-24,signé,evn-kfw-trian-65m-2024-06.html,"Titre et 1er paragraphe : « On June 24, 2025, in Frankfurt, EVN signed a €65 million loan agreement with KfW for the Tri An Hydropower Plant Expansion Project. This marks the first project financed by KfW for EVN through a direct loan without a Government guarantee »",high,CONFLIT DE DATE : eeas-jetp-progress-2025-07.html dit « signed on June 26 ». Le nom de fichier (2024-06) est erroné : le document est daté de juin 2025. Instrument notable : premier prêt KfW à EVN sans garantie de l'État.
