unit,route,case_id,purpose,url,retrieved,status,bytes,sha256,archive_path,redirect_target
1,specifications,,resource-history,https://www.data.gouv.fr/api/1/datasets/5492f3e8c751df24dc04805c/resources/69d27393-baab-40e4-8cef-8061ff6f4639/,2026-09-14T17:56:49.860070+00:00,200,2150,794fc39acf5efebd990794d52a7bcf45be8a41653750e45cf675721c2e4de88f,data/jetp/audit-evidence/0737-pilot/01-794fc39acf5efebd990794d52a7bcf45be8a41653750e45cf675721c2e4de88f.body,
2,specifications,,dataset-history,https://www.data.gouv.fr/api/1/datasets/5492f3e8c751df24dc04805c/activities/,2026-09-14T17:56:49.960686+00:00,404,146,11ef8dc3825a15ffbac209140169ed3f2873608438a9631fb2a253cddc844585,data/jetp/audit-evidence/0737-pilot/02-11ef8dc3825a15ffbac209140169ed3f2873608438a9631fb2a253cddc844585.body,
3,specifications,,legacy-dictionary,https://opendata.afd.fr/api/explore/v2.1/catalog/datasets/donnees-aide-au-developpement-afd,2026-09-14T17:56:50.011893+00:00,200,9165,a3ead19545f7f1cffcef69184a855437c6f7856bab63df9a711b6f970b298170,data/jetp/audit-evidence/0737-pilot/03-a3ead19545f7f1cffcef69184a855437c6f7856bab63df9a711b6f970b298170.body,
4,specifications,,financing-dictionary,https://opendata.afd.fr/api/explore/v2.1/catalog/datasets/les-concours-de-l-afd,2026-09-14T17:56:50.351826+00:00,200,4992,20c1b44c78e54d306b634ed9923799a3748dcc85e1ce1388d9eaf1c6a0c9aeed,data/jetp/audit-evidence/0737-pilot/04-20c1b44c78e54d306b634ed9923799a3748dcc85e1ce1388d9eaf1c6a0c9aeed.body,
5,specifications,,transaction-dictionary,https://opendata.afd.fr/api/explore/v2.1/catalog/datasets/les-transactions-de-l-afd,2026-09-14T17:56:50.530031+00:00,200,2297,1efc6ef24b21d564c4f875c35748fa6c5d660102eb6cf44554e127d16cc65306,data/jetp/audit-evidence/0737-pilot/05-1efc6ef24b21d564c4f875c35748fa6c5d660102eb6cf44554e127d16cc65306.body,
6,specifications,,official-transparency,https://www.afd.fr/fr/la-transparence,2026-09-14T17:56:50.759431+00:00,404,56954,3a50471ca1f90db46f2cbba1e4a4904a66a261b092a591551bf8aa0db3b94cd4,data/jetp/audit-evidence/0737-pilot/06-3a50471ca1f90db46f2cbba1e4a4904a66a261b092a591551bf8aa0db3b94cd4.body,
7,specifications,,archive-legacy,https://web.archive.org/cdx/search/cdx?url=opendata.afd.fr/api/explore/v2.1/catalog/datasets/donnees-aide-au-developpement-afd/exports/json&output=json&filter=statuscode:200&collapse=timestamp:4,2026-09-14T17:56:51.063517+00:00,TimeoutError: The read operation timed out,,,,
8,specifications,,archive-xml,https://web.archive.org/cdx/search/cdx?url=static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/*/fr-afd-ma.xml&output=json&filter=statuscode:200&collapse=timestamp:4,2026-09-14T17:57:09.430372+00:00,TimeoutError: The read operation timed out,,,,
9,original,CMA123501,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CMA1235,2026-09-14T17:57:27.768604+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/09-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CMA1235
10,original,CTN129703,exact financing contract/decision; parent link is contrary-identity check only,http://www.afd.fr/base-projets/consulterProjet.action?idProjet=CTN1297,2026-09-14T17:57:27.801981+00:00,301,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/jetp/audit-evidence/0737-pilot/10-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.body,https://www.afd.fr/base-projets/consulterProjet.action?idProjet=CTN1297
