evidence_id,claim,issuer,url,title,date,section,paraphrase,contrary_evidence,archive_path,sha256,limitations
0735-round3/afd/catalog.json,source observations; exact financing hierarchy and field semantics,AFD / data.gouv.fr,https://opendata.afd.fr/api/explore/v2.1/catalog/datasets?limit=100,catalog.json,2026-09-14,JSON fields / XML financing activity,Retain original reported values; metadata does not prove historical inclusion or permanent retention.,Missing financing IDs and heterogeneous source meanings,data/jetp/audit-evidence/0735-round3/afd/catalog.json,cc85842f5f80cf18cac3973217984e334a64a81edb135455edffe9f8923e61ea,Retrieved in 2026; not a contemporaneously observed pre-JETP census
0735-round3/afd/les-projets-de-l-afd.json,source observations; exact financing hierarchy and field semantics,AFD / data.gouv.fr,https://opendata.afd.fr/api/explore/v2.1/catalog/datasets/les-projets-de-l-afd/exports/json,les-projets-de-l-afd.json,2026-09-14,JSON fields / XML financing activity,Retain original reported values; metadata does not prove historical inclusion or permanent retention.,Missing financing IDs and heterogeneous source meanings,data/jetp/audit-evidence/0735-round3/afd/les-projets-de-l-afd.json,eb120e9690493e62c2426e3963212069bd6fa772a50448558b71e77ebb065a24,Retrieved in 2026; not a contemporaneously observed pre-JETP census
portal,source observations; exact financing hierarchy and field semantics,AFD / data.gouv.fr,https://opendata.afd.fr/api/explore/v2.1/catalog/datasets/les-concours-de-l-afd/exports/json,les-concours-de-l-afd.json,2026-09-14,JSON fields / XML financing activity,Retain original reported values; metadata does not prove historical inclusion or permanent retention.,Missing financing IDs and heterogeneous source meanings,data/jetp/audit-evidence/0735-round3/afd/les-concours-de-l-afd.json,23d86842e464dd4f6b239a05f46923a3ae6654c077446fc78c6d997ff3406cd2,Retrieved in 2026; not a contemporaneously observed pre-JETP census
0735-round3/afd/les-transactions-de-l-afd.json,source observations; exact financing hierarchy and field semantics,AFD / data.gouv.fr,https://opendata.afd.fr/api/explore/v2.1/catalog/datasets/les-transactions-de-l-afd/exports/json,les-transactions-de-l-afd.json,2026-09-14,JSON fields / XML financing activity,Retain original reported values; metadata does not prove historical inclusion or permanent retention.,Missing financing IDs and heterogeneous source meanings,data/jetp/audit-evidence/0735-round3/afd/les-transactions-de-l-afd.json,408ed8fdb9f10693b79229707ac1352ce51dc75f334c45a00e03d7c360e64864,Retrieved in 2026; not a contemporaneously observed pre-JETP census
0735-round3/afd/datagouv-metadata.json,source observations; exact financing hierarchy and field semantics,AFD / data.gouv.fr,https://www.data.gouv.fr/api/1/datasets/donnees-de-laide-au-developpement-de-lafd-1/,datagouv-metadata.json,2026-09-14,JSON fields / XML financing activity,Retain original reported values; metadata does not prove historical inclusion or permanent retention.,Missing financing IDs and heterogeneous source meanings,data/jetp/audit-evidence/0735-round3/afd/datagouv-metadata.json,ecb0b3bc4831b75a3467294d34de7bd27f866fb7e3946601e35934180c2c161e,Retrieved in 2026; not a contemporaneously observed pre-JETP census
0735-round3/afd/fr-afd-al.xml,source observations; exact financing hierarchy and field semantics,AFD / data.gouv.fr,https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20260819-111822/fr-afd-al.xml,fr-afd-al.xml,2026-09-14,JSON fields / XML financing activity,Retain original reported values; metadata does not prove historical inclusion or permanent retention.,Missing financing IDs and heterogeneous source meanings,data/jetp/audit-evidence/0735-round3/afd/fr-afd-al.xml,2f30eb30830f8a51de64035cd112b26543ff5f0a137f6f980626ef54b4c6fbf5,Retrieved in 2026; not a contemporaneously observed pre-JETP census
0735-round3/afd/fr-afd-ma.xml,source observations; exact financing hierarchy and field semantics,AFD / data.gouv.fr,https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20260825-133231/fr-afd-ma.xml,fr-afd-ma.xml,2026-09-14,JSON fields / XML financing activity,Retain original reported values; metadata does not prove historical inclusion or permanent retention.,Missing financing IDs and heterogeneous source meanings,data/jetp/audit-evidence/0735-round3/afd/fr-afd-ma.xml,df5a24162d489952339fd2a843cabcc524d3f910a3ad66cdc8a7b47e67ccf51e,Retrieved in 2026; not a contemporaneously observed pre-JETP census
0735-round3/afd/fr-afd-za.xml,source observations; exact financing hierarchy and field semantics,AFD / data.gouv.fr,https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20260819-111605/fr-afd-za.xml,fr-afd-za.xml,2026-09-14,JSON fields / XML financing activity,Retain original reported values; metadata does not prove historical inclusion or permanent retention.,Missing financing IDs and heterogeneous source meanings,data/jetp/audit-evidence/0735-round3/afd/fr-afd-za.xml,f0c44335c1bef2e7de592dfdb5cb0525527539d6cc944d18aad0da492428e897,Retrieved in 2026; not a contemporaneously observed pre-JETP census
0735-round3/afd/fr-afd-id.xml,source observations; exact financing hierarchy and field semantics,AFD / data.gouv.fr,https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20260819-114506/fr-afd-id.xml,fr-afd-id.xml,2026-09-14,JSON fields / XML financing activity,Retain original reported values; metadata does not prove historical inclusion or permanent retention.,Missing financing IDs and heterogeneous source meanings,data/jetp/audit-evidence/0735-round3/afd/fr-afd-id.xml,46ff508f1db12911c5ee9c50e3e4c4174b1bff842694eda53490827c4036ce96,Retrieved in 2026; not a contemporaneously observed pre-JETP census
0735-round3/afd/fr-afd-vn.xml,source observations; exact financing hierarchy and field semantics,AFD / data.gouv.fr,https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20260819-111347/fr-afd-vn.xml,fr-afd-vn.xml,2026-09-14,JSON fields / XML financing activity,Retain original reported values; metadata does not prove historical inclusion or permanent retention.,Missing financing IDs and heterogeneous source meanings,data/jetp/audit-evidence/0735-round3/afd/fr-afd-vn.xml,8c39e1f7e6f49c6731e942005c87ee6004d4864101997693615d1b4370cda966,Retrieved in 2026; not a contemporaneously observed pre-JETP census
