unit_id,kind,legacy_award,legacy_signature,portal_signature,xml_commitment_value_dates,legacy_status,parent_id,join,disposition,evidence_id
CAF108901,missing_portal,2020-07-07,2020-09-24,,,Achevé,CAF1089,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CBF135201,missing_portal,2021-03-10,2021-11-22,,,Exécution,CBF1352,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CBF136001,missing_portal,2021-12-08,2022-07-19,,,Exécution,CBF1360,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CBF136002,missing_portal,2021-12-08,2021-12-09,,,Exécution,CBF1360,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CBF139201,missing_portal,2021-09-16,2021-12-21,,,Exécution,CBF1392,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CBF139601,missing_portal,2021-03-10,2021-05-21,,,Exécution,CBF1396,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CBF139602,missing_portal,2021-03-10,2022-08-25,,,Exécution,CBF1396,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CBJ126404,award_signature_reversal,2022-06-15,2021-12-09,2021-12-09,,Exécution,CBJ1264,exact financing ID only,preserve order; approval meaning and legal instrument unresolved,legacy|portal
CCI168103,award_signature_reversal,2021-06-16,2019-12-20,2019-12-20,,Exécution,CCI1681,exact financing ID only,preserve order; approval meaning and legal instrument unresolved,legacy|portal
CCM160102,missing_portal,2022-12-14,2023-01-30,,,Exécution,CCM1601,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CCN108901,missing_portal,2019-04-17,2019-11-05,,,Exécution,CCN1089,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CDO108404,award_signature_reversal,2021-06-16,2020-12-03,2020-12-03,,Exécution,CDO1084,exact financing ID only,preserve order; approval meaning and legal instrument unresolved,legacy|portal
CEG112504,missing_portal,2021-12-16,2022-11-03,,,Exécution,CEG1125,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CEG112506,missing_portal,2021-12-16,2022-11-03,,,Exécution,CEG1125,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CEG112507,missing_portal,2021-12-16,2022-11-03,,,Exécution,CEG1125,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CEG112509,missing_portal,2021-12-16,2021-12-17,,,Exécution,CEG1125,exact financing ID only,lost_visibility; outcome unknown; inclusion/retention history required,legacy|portal
CEG115406,award_signature_reversal,2023-04-26,2021-12-17,2021-12-17,,Exécution,CEG1154,exact financing ID only,preserve order; approval meaning and legal instrument unresolved,legacy|portal
CID107702,missing_award_matched_xml,,2021-06-08,2021-06-08,2026-04-23,Exécution,CID1077,exact financing ID only,no value-date imputation; dated approval decision required,legacy|portal|0735-round3/afd/fr-afd-id.xml
