link_id,source_id,line_id,old_project_id,relationship,review_status,locator,reason
idn-link-aicet-adb-project,idn-adb-aicet-56140-001,,idn-fin-rbl-aicet,project_page,confirmed,project 56140-001,no snapshot
idn-link-aicet-adb-news,idn-adb-aicet-news-2025,,idn-fin-rbl-aicet,approval_document,confirmed,press release,resolve to source line in 0875
idn-link-aset-adb-project,idn-adb-aset-56368-001,,idn-fin-pbl-aset,project_page,confirmed,project 56368-001,no snapshot
idn-link-aset-adb-news,idn-adb-aset-news-2024,,idn-fin-pbl-aset,approval_document,confirmed,press release,resolve to source line in 0875
idn-link-muara-laboh-adb,idn-adb-muara-laboh-2-2025,,idn-fin-muara-laboh-2,approval_document,confirmed,press release,resolve to source line in 0875
idn-link-eib-ptsmi,idn-eib-ptsmi-mou-2024,,idn-pipe-eib-sustainable-infrastructure,project_report,confirmed,whole announcement,resolve to source line in 0875
idn-link-geapp-dediesel-east,idn-geapp-diesel-replacement-program,,idn-pipe-dediesel-east-phase1,possible_match,provisional,programme overview,resolve to source line in 0875
idn-link-geapp-dediesel-west,idn-geapp-diesel-replacement-program,,idn-pipe-dediesel-west-phase1,possible_match,confirmed,programme overview,resolve to source line in 0875
idn-link-saguling-gfanz,idn-gfanz-saguling-2025,,idn-fin-saguling-floating-solar,approval_document,confirmed,press release,resolve to source line in 0875
idn-link-ibvogt-dediesel-west,idn-ibvogt-diesel-west-2023,,idn-pipe-dediesel-west-phase1,project_page,confirmed,whole announcement,resolve to source line in 0875
idn-link-ieefa-dediesel-east,idn-ieefa-dediesel-update-2026,,idn-pipe-dediesel-east-phase1,possible_match,provisional,current programme assessment,no snapshot
idn-link-ieefa-dediesel-west,idn-ieefa-dediesel-update-2026,,idn-pipe-dediesel-west-phase1,possible_match,confirmed,current programme assessment,no snapshot
idn-link-monitor25-gecs,idn-jetp-progress-report-2025,,idn-pipe-green-corridors-sulawesi,cmea_selected_monitoring,confirmed,Appendix 2 row 1,resolve to source line in 0875
idn-link-monitor25-dediesel-east,idn-jetp-progress-report-2025,,idn-pipe-dediesel-east-phase1,cmea_selected_monitoring,confirmed,Appendix 2 row 2,resolve to source line in 0875
idn-link-monitor25-dediesel-west,idn-jetp-progress-report-2025,,idn-pipe-dediesel-west-phase1,cmea_selected_monitoring,confirmed,Appendix 2 row 3,resolve to source line in 0875
idn-link-monitor25-singkarak,idn-jetp-progress-report-2025,,idn-pipe-singkarak-floating-solar,cmea_selected_monitoring,confirmed,Appendix 2 row 4a,resolve to source line in 0875
idn-link-monitor25-saguling,idn-jetp-progress-report-2025,,idn-fin-saguling-floating-solar,cmea_selected_monitoring,confirmed,Appendix 2 row 4b,resolve to source line in 0875
idn-link-monitor25-hijaunesia2,idn-jetp-progress-report-2025,,idn-pipe-hijaunesia-2,cmea_selected_monitoring,confirmed,Appendix 2 row 5,resolve to source line in 0875
idn-link-monitor25-gde,idn-jetp-progress-report-2025,,idn-monitor-gde-pipeline-2025,cmea_selected_monitoring,confirmed,Appendix 2 row 6,resolve to source line in 0875
idn-link-monitor25-karangkates,idn-jetp-progress-report-2025,,idn-pipe-sutami-floating-solar,cmea_selected_monitoring,confirmed,Appendix 2 row 7,resolve to source line in 0875
idn-link-monitor25-cirebon,idn-jetp-progress-report-2025,,idn-pipe-cirebon-1-retirement,cmea_selected_monitoring,confirmed,Appendix 2 row 8,resolve to source line in 0875
idn-link-monitor25-hululais,idn-jetp-progress-report-2025,,idn-pipe-hululais-1-2,cmea_selected_monitoring,confirmed,Appendix 2 row 9,resolve to source line in 0875
idn-link-monitor25-seg,idn-jetp-progress-report-2025,,idn-pipe-solar-cell-manufacturing,cmea_selected_monitoring,confirmed,Appendix 2 row 10,resolve to source line in 0875
idn-link-monitor25-rsud,idn-jetp-progress-report-2025,,idn-pipe-rsud-energy-efficiency,cmea_selected_monitoring,confirmed,Appendix 2 row 11,resolve to source line in 0875
idn-link-monitor25-rscm,idn-jetp-progress-report-2025,,idn-pipe-rscm-energy-efficiency,cmea_selected_monitoring,confirmed,Appendix 2 row 12,resolve to source line in 0875
idn-link-monitor25-cihaur-talaga,idn-jetp-progress-report-2025,,idn-monitor-cihaur-talaga-micro-hydro,cmea_selected_monitoring,confirmed,Appendix 2 row 13,resolve to source line in 0875
idn-link-workplan-hijaunesia2,idn-jetp-work-plan-2024-presentation,,idn-pipe-hijaunesia-2,named_in,confirmed,Priority projects under procurement,resolve to source line in 0875
idn-link-workplan-hydro-sulawesi,idn-jetp-work-plan-2024-presentation,,idn-pipe-hydro-quota-sulawesi,named_in,confirmed,Priority projects under procurement,resolve to source line in 0875
idn-link-workplan-hydro-sumatra,idn-jetp-work-plan-2024-presentation,,idn-pipe-hydro-quota-sumatra,named_in,confirmed,Priority projects under procurement,resolve to source line in 0875
idn-link-workplan-dediesel-east,idn-jetp-work-plan-2024-presentation,,idn-pipe-dediesel-east-phase1,possible_match,confirmed,Priority projects under procurement,resolve to source line in 0875
