legacy_row_number,legacy_event_id,legacy_date_role,outcome,timing_id,approval_timing_id,reason
2,zaf-register-actip001-2026-03-30,register,typed_timing,timing-zaf-register-actip001-2026-03-30-1,,
3,zaf-register-actip002-2026-03-30,register,typed_timing,timing-zaf-register-actip002-2026-03-30-1,,
4,zaf-register-can001-2026-03-30,register,typed_timing,timing-zaf-register-can001-2026-03-30-1,,
5,zaf-register-can002-2026-03-30,register,typed_timing,timing-zaf-register-can002-2026-03-30-1,,
6,zaf-register-can003-2026-03-30,register,typed_timing,timing-zaf-register-can003-2026-03-30-1,,
7,zaf-register-can004-2026-03-30,register,typed_timing,timing-zaf-register-can004-2026-03-30-1,,
8,zaf-register-can005-2026-03-30,register,typed_timing,timing-zaf-register-can005-2026-03-30-1,,
9,zaf-register-can006-2026-03-30,register,typed_timing,timing-zaf-register-can006-2026-03-30-1,,
10,zaf-register-can007-2026-03-30,register,typed_timing,timing-zaf-register-can007-2026-03-30-1,,
11,zaf-register-can008-2026-03-30,register,typed_timing,timing-zaf-register-can008-2026-03-30-1,,
12,zaf-register-dk001-2026-03-30,register,typed_timing,timing-zaf-register-dk001-2026-03-30-1,,
13,zaf-register-dk002-2026-03-30,register,typed_timing,timing-zaf-register-dk002-2026-03-30-1,,
14,zaf-register-dk003-2026-03-30,register,typed_timing,timing-zaf-register-dk003-2026-03-30-1,,
15,zaf-register-dk004-2026-03-30,register,typed_timing,timing-zaf-register-dk004-2026-03-30-1,,
16,zaf-register-dk005-2026-03-30,register,typed_timing,timing-zaf-register-dk005-2026-03-30-1,,
17,zaf-register-dk006-2026-03-30,register,typed_timing,timing-zaf-register-dk006-2026-03-30-1,,
18,zaf-register-dk008-2026-03-30,register,typed_timing,timing-zaf-register-dk008-2026-03-30-1,,
19,zaf-register-dk009-2026-03-30,register,typed_timing,timing-zaf-register-dk009-2026-03-30-1,,
20,zaf-register-dk010-2026-03-30,register,typed_timing,timing-zaf-register-dk010-2026-03-30-1,,
21,zaf-register-dk011-2026-03-30,register,typed_timing,timing-zaf-register-dk011-2026-03-30-1,,
22,zaf-register-dk012-2026-03-30,register,typed_timing,timing-zaf-register-dk012-2026-03-30-1,,
23,zaf-register-dk013-2026-03-30,register,typed_timing,timing-zaf-register-dk013-2026-03-30-1,,
24,zaf-register-dk014-2026-03-30,register,typed_timing,timing-zaf-register-dk014-2026-03-30-1,,
25,zaf-register-dk015-2026-03-30,register,typed_timing,timing-zaf-register-dk015-2026-03-30-1,,
26,zaf-register-dk018-2026-03-30,register,typed_timing,timing-zaf-register-dk018-2026-03-30-1,,
27,zaf-register-dk019-2026-03-30,register,typed_timing,timing-zaf-register-dk019-2026-03-30-1,,
28,zaf-register-dk020-2026-03-30,register,typed_timing,timing-zaf-register-dk020-2026-03-30-1,,
29,zaf-register-eu001-2026-03-30,register,typed_timing,timing-zaf-register-eu001-2026-03-30-1,,
30,zaf-register-eu002-2026-03-30,register,typed_timing,timing-zaf-register-eu002-2026-03-30-1,,
31,zaf-register-eu003-2026-03-30,register,typed_timing,timing-zaf-register-eu003-2026-03-30-1,,
32,zaf-register-eu004-2026-03-30,register,typed_timing,timing-zaf-register-eu004-2026-03-30-1,,
33,zaf-register-eu005-2026-03-30,register,typed_timing,timing-zaf-register-eu005-2026-03-30-1,,
34,zaf-register-eu006-2026-03-30,register,typed_timing,timing-zaf-register-eu006-2026-03-30-1,,
35,zaf-register-eu007-2026-03-30,register,typed_timing,timing-zaf-register-eu007-2026-03-30-1,,
36,zaf-register-eu008-2026-03-30,register,typed_timing,timing-zaf-register-eu008-2026-03-30-1,,
37,zaf-register-eu010-2026-03-30,register,typed_timing,timing-zaf-register-eu010-2026-03-30-1,,
38,zaf-register-eu011-2026-03-30,register,typed_timing,timing-zaf-register-eu011-2026-03-30-1,,
39,zaf-register-eu012-2026-03-30,register,typed_timing,timing-zaf-register-eu012-2026-03-30-1,,
40,zaf-register-eu013-2026-03-30,register,typed_timing,timing-zaf-register-eu013-2026-03-30-1,,
41,zaf-register-eu014-2026-03-30,register,typed_timing,timing-zaf-register-eu014-2026-03-30-1,,
42,zaf-register-eu015-2026-03-30,register,typed_timing,timing-zaf-register-eu015-2026-03-30-1,,
43,zaf-register-eu016-2026-03-30,register,typed_timing,timing-zaf-register-eu016-2026-03-30-1,,
44,zaf-register-eu017-2026-03-30,register,typed_timing,timing-zaf-register-eu017-2026-03-30-1,,
45,zaf-register-eu018-2026-03-30,register,typed_timing,timing-zaf-register-eu018-2026-03-30-1,,
46,zaf-register-eu019-2026-03-30,register,typed_timing,timing-zaf-register-eu019-2026-03-30-1,,
47,zaf-register-eu020-2026-03-30,register,typed_timing,timing-zaf-register-eu020-2026-03-30-1,,
48,zaf-register-eu021-2026-03-30,register,typed_timing,timing-zaf-register-eu021-2026-03-30-1,,
49,zaf-register-fr001-2026-03-30,register,typed_timing,timing-zaf-register-fr001-2026-03-30-1,,
