source_table,old_id,outcome,referent_kind,referent_id,detail
project-coverage.csv,idn-fin-isle-1,coverage,agreement,agreement-idn-fin-isle-1,
project-coverage.csv,idn-fin-mrt-east-west,coverage,agreement,agreement-idn-fin-mrt-east-west,
project-coverage.csv,idn-fin-mrt-north-south,coverage,agreement,agreement-idn-fin-mrt-north-south,
project-coverage.csv,idn-fin-muara-laboh-2,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-fin-pbl-aset,coverage,agreement,agreement-idn-fin-pbl-aset,
project-coverage.csv,idn-fin-rbl-aicet,coverage,agreement,agreement-idn-fin-rbl-aicet,
project-coverage.csv,idn-fin-rbl-sreap,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-fin-saguling-floating-solar,coverage,agreement,agreement-idn-fin-saguling-floating-solar,
project-coverage.csv,idn-fin-xurya-rooftop,coverage,agreement,agreement-idn-fin-xurya-rooftop,
project-coverage.csv,idn-grant-asia-low-carbon-buildings,coverage,agreement,agreement-idn-grant-asia-low-carbon-buildings,
project-coverage.csv,idn-grant-candi-umbul-telomoyo,coverage,agreement,agreement-idn-grant-candi-umbul-telomoyo,
project-coverage.csv,idn-grant-carbon-monetization,coverage,agreement,agreement-idn-grant-carbon-monetization,
project-coverage.csv,idn-grant-case,coverage,agreement,agreement-idn-grant-case,
project-coverage.csv,idn-grant-cefim,coverage,agreement,agreement-idn-grant-cefim,
project-coverage.csv,idn-grant-cetp,coverage,agreement,agreement-idn-grant-cetp,
project-coverage.csv,idn-grant-cfpp-site-repurposing,coverage,agreement,agreement-idn-grant-cfpp-site-repurposing,
project-coverage.csv,idn-grant-efsd-energy-preparation,coverage,agreement,agreement-idn-grant-efsd-energy-preparation,
project-coverage.csv,idn-grant-energy-hub,coverage,agreement,agreement-idn-grant-energy-hub,
project-coverage.csv,idn-grant-enerkey,coverage,agreement,agreement-idn-grant-enerkey,
project-coverage.csv,idn-grant-entri,coverage,agreement,agreement-idn-grant-entri,
project-coverage.csv,idn-grant-esmap-canada,coverage,agreement,agreement-idn-grant-esmap-canada,
project-coverage.csv,idn-grant-esmap-uk,coverage,agreement,agreement-idn-grant-esmap-uk,
project-coverage.csv,idn-grant-etap,coverage,agreement,agreement-idn-grant-etap,
project-coverage.csv,idn-grant-etmptf,coverage,agreement,agreement-idn-grant-etmptf,
project-coverage.csv,idn-grant-eu-indonesia-cooperation-facility,coverage,agreement,agreement-idn-grant-eu-indonesia-cooperation-facility,
project-coverage.csv,idn-grant-explore,coverage,agreement,agreement-idn-grant-explore,
project-coverage.csv,idn-grant-gesit,coverage,agreement,agreement-idn-grant-gesit,
project-coverage.csv,idn-grant-green-energy-transition-indonesia,coverage,agreement,agreement-idn-grant-green-energy-transition-indonesia,
project-coverage.csv,idn-grant-growth-gateway,coverage,agreement,agreement-idn-grant-growth-gateway,
project-coverage.csv,idn-grant-ietf,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-grant-iki-flex-jetp,coverage,agreement,agreement-idn-grant-iki-flex-jetp,
project-coverage.csv,idn-grant-iki-jet,coverage,agreement,agreement-idn-grant-iki-jet,
project-coverage.csv,idn-grant-ipdf,coverage,agreement,agreement-idn-grant-ipdf,
project-coverage.csv,idn-grant-jetp-esia-study,coverage,agreement,agreement-idn-grant-jetp-esia-study,
project-coverage.csv,idn-grant-jetp-etp,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-grant-jetp-financing-facilitation,coverage,agreement,agreement-idn-grant-jetp-financing-facilitation,
project-coverage.csv,idn-grant-jetp-secretariat-capacity,coverage,agreement,agreement-idn-grant-jetp-secretariat-capacity,
project-coverage.csv,idn-grant-jt-framework-phase-2,coverage,agreement,agreement-idn-grant-jt-framework-phase-2,
project-coverage.csv,idn-grant-just-transition-coal-regions,coverage,agreement,agreement-idn-grant-just-transition-coal-regions,
project-coverage.csv,idn-grant-mentari-policy,coverage,agreement,agreement-idn-grant-mentari-policy,
project-coverage.csv,idn-grant-mentari-vgf,coverage,agreement,agreement-idn-grant-mentari-vgf,
project-coverage.csv,idn-grant-patuha-2,coverage,agreement,agreement-idn-grant-patuha-2,
project-coverage.csv,idn-grant-perform,coverage,agreement,agreement-idn-grant-perform,
project-coverage.csv,idn-grant-pt-smi-early-retirement,coverage,agreement,agreement-idn-grant-pt-smi-early-retirement,
project-coverage.csv,idn-grant-re2cool,coverage,agreement,agreement-idn-grant-re2cool,
project-coverage.csv,idn-grant-re2grid,coverage,agreement,agreement-idn-grant-re2grid,
project-coverage.csv,idn-grant-reep2,coverage,agreement,agreement-idn-grant-reep2,
project-coverage.csv,idn-grant-s4i,coverage,agreement,agreement-idn-grant-s4i,
project-coverage.csv,idn-grant-sdg-indonesia-one,coverage,agreement,agreement-idn-grant-sdg-indonesia-one,
project-coverage.csv,idn-grant-seti,coverage,agreement,agreement-idn-grant-seti,
project-coverage.csv,idn-grant-sustainable-hydropower-2,coverage,agreement,agreement-idn-grant-sustainable-hydropower-2,
project-coverage.csv,idn-grant-uk-pact,coverage,agreement,agreement-idn-grant-uk-pact,
project-coverage.csv,idn-grant-wolcot,coverage,agreement,agreement-idn-grant-wolcot,
project-coverage.csv,idn-monitor-cihaur-talaga-micro-hydro,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-monitor-gde-pipeline-2025,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-pipe-cirebon-1-retirement,coverage,asset,asset-idn-pipe-cirebon-1-retirement,
project-coverage.csv,idn-pipe-dediesel-east-phase1,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-pipe-dediesel-west-phase1,coverage,project,project-idn-pipe-dediesel-west-phase1,
project-coverage.csv,idn-pipe-dieng-3-4,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-pipe-e-taxi,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-pipe-eib-sustainable-infrastructure,coverage,project,project-idn-pipe-eib-sustainable-infrastructure,
project-coverage.csv,idn-pipe-green-corridors-sulawesi,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-pipe-hijaunesia-2,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-pipe-hululais-1-2,coverage,project,project-idn-pipe-hululais-1-2,
project-coverage.csv,idn-pipe-hydro-quota-sulawesi,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-pipe-hydro-quota-sumatra,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-pipe-legok-nangka-waste,coverage,project,project-idn-pipe-legok-nangka-waste,
project-coverage.csv,idn-pipe-nagajaya-micro-hydro,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-pipe-rscm-energy-efficiency,disposition,,,0875 has no resolved identity
project-coverage.csv,idn-pipe-rsud-energy-efficiency,coverage,project,project-idn-pipe-rsud-energy-efficiency,
project-coverage.csv,idn-pipe-singkarak-floating-solar,coverage,project,project-idn-pipe-singkarak-floating-solar,
project-coverage.csv,idn-pipe-solar-cell-manufacturing,coverage,project,project-idn-pipe-solar-cell-manufacturing,
project-coverage.csv,idn-pipe-sutami-floating-solar,coverage,project,project-idn-pipe-sutami-floating-solar,
project-coverage.csv,idn-pipe-tanah-laut-wind,coverage,project,project-idn-pipe-tanah-laut-wind,
project-coverage.csv,vnm-project-bac-ai-pumped-hydro,coverage,project,project-vnm-project-bac-ai-pumped-hydro,
project-coverage.csv,vnm-project-binh-duong-dong-nai-transmission,disposition,,,0875 has no resolved identity
project-coverage.csv,vnm-project-tri-an-expansion,disposition,,,0875 has no resolved identity
project-coverage.csv,vnm-project-initial-undisclosed-04,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-initial-undisclosed-05,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-initial-undisclosed-06,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-initial-undisclosed-07,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-01,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-02,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-03,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-04,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-05,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-06,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-07,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-08,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-09,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-10,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-11,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-12,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-13,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-14,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-15,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-16,coverage,perimeter,vnm-jetp-portfolio-2025,
project-coverage.csv,vnm-project-screened-undisclosed-17,coverage,perimeter,vnm-jetp-portfolio-2025,
