legacy_table,legacy_event_id,legacy_project_id,source_id,line_id,referent_kind,referent_id,identity_decision,source_support,promotion,reason
events,idn-approved-sreap-kfw-2025,idn-fin-rbl-sreap,idn-jetp-progress-report-2025,idn-progress25-t4-3-2-sreap-kfw,agreement,agreement-idn-sreap-kfw-2025,exact_donor_row,approved_finance,accept,Approved source row; no signature or disbursement implied.
events,idn-approved-muara-laboh-jbic-2025,idn-fin-muara-laboh-2,idn-jetp-progress-report-2025,idn-progress25-t4-3-2-muara-laboh-jbic,agreement,agreement-idn-muara-laboh-jbic-2025,exact_donor_row,approved_finance,accept,Approved source row; no signature or disbursement implied.
events,idn-approved-etp-canada-2025,idn-grant-jetp-etp,idn-jetp-progress-report-2025,idn-progress25-t4-3-4-etp-canada,agreement,agreement-idn-etp-canada-2025,exact_donor_row,approved_finance,accept,Approved source row; no signature or disbursement implied.
events,idn-approved-ietf-eu-2025,idn-grant-ietf,idn-jetp-progress-report-2025,idn-progress25-t4-3-6-ietf-eu,agreement,agreement-idn-ietf-eu-2025,exact_donor_row,approved_finance,accept,Approved source row; no signature or disbursement implied.
events,idn-approved-ietf-france-2025,idn-grant-ietf,idn-jetp-progress-report-2025,idn-progress25-t4-3-7-ietf-france,agreement,agreement-idn-ietf-france-2025,exact_donor_row,approved_finance,accept,Approved source row; no signature or disbursement implied.
events,idn-approved-etp-uk-2025,idn-grant-jetp-etp,idn-jetp-progress-report-2025,idn-progress25-t4-3-11-etp-uk,agreement,agreement-idn-etp-uk-2025,exact_donor_row,approved_finance,accept,Approved source row; no signature or disbursement implied.
events,idn-pipeline-green-corridors-kfw-2025,idn-pipe-green-corridors-sulawesi,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-gecs,project,project-idn-pipe-green-corridors-sulawesi,exact_project,finance_in_process,accept,PLN Board approval pending in report.
events,idn-pipeline-nagajaya-norfund-2025,idn-pipe-nagajaya-micro-hydro,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-nagajaya,project,project-idn-pipe-nagajaya-micro-hydro,exact_project,finance_in_process,accept,PPA signed; report 6 MW differs from later portal 6.5 MW.
events,idn-pipeline-dediesel-east-private-2025,idn-pipe-dediesel-east-phase1,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-dediesel-east,line,idn-progress25-t4-3-3-dediesel-east,source_row_only,finance_in_process,accept,Forty-six-site programme; no single plant identity.
events,idn-pipeline-e-taxi-private-2025,idn-pipe-e-taxi,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-e-taxi,line,idn-progress25-t4-3-3-e-taxi,source_row_only,finance_in_process,accept,Service promoter and specific project identity undisclosed.
events,idn-pipeline-hijaunesia2-private-2025,idn-pipe-hijaunesia-2,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-hijaunesia2,line,idn-progress25-t4-3-3-hijaunesia2,source_row_only,finance_in_process,accept,"Multi-project auction, not one project."
events,idn-pipeline-hydro-sumatra-private-2025,idn-pipe-hydro-quota-sumatra,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-hydro-sumatra,line,idn-progress25-t4-3-3-hydro-sumatra,source_row_only,finance_in_process,accept,Procurement quota; no winning plant named.
events,idn-pipeline-hydro-sulawesi-private-2025,idn-pipe-hydro-quota-sulawesi,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-hydro-sulawesi,line,idn-progress25-t4-3-3-hydro-sulawesi,source_row_only,finance_in_process,accept,Procurement quota; no winning plant named.
events,idn-pipeline-dieng34-adb-2025,idn-pipe-dieng-3-4,idn-jetp-progress-report-2025,idn-progress25-t4-3-3-dieng34,project,project-idn-pipe-dieng-3-4,exact_project,finance_in_process,accept,Two 55 MW units named; financing for field development only.
