line_id,technology_group,priority_tier,ordinal,project_name,system,estimated_start,capacity_value,capacity_unit,estimated_investment_usd_mn,natural_retirement_year,estimated_retirement_year,ruptl
idn-jetp-progress-report-2025-bioenergy-1,bioenergy,top_priority,1,Bioenergy (Kuota) Kepulauan RIau,Kepulauan Riau,2022,4,MW,,,,
idn-jetp-progress-report-2025-bioenergy-2,bioenergy,top_priority,2,Biomass Kendawangan,Kalimantan Barat,2023,2.5,MW,,,,
idn-jetp-progress-report-2025-bioenergy-3,bioenergy,top_priority,3,Biomass Nanga Tayap,Kalimantan Barat,2023,2.5,MW,,,,
idn-jetp-progress-report-2025-bioenergy-4,bioenergy,top_priority,4,Biomass Sei Melayu,Kalimantan Barat,2023,2.5,MW,,,,
idn-jetp-progress-report-2025-bioenergy-5,bioenergy,top_priority,5,Bioenergy Khatulistiwa (Kuota) Tersebar,Kalimantan Barat,2023,7,MW,,,,
idn-jetp-progress-report-2025-bioenergy-6,bioenergy,top_priority,6,Bioenergy Khatulistiwa (Kuota) Tersebar,Kalimantan Barat,2023,,MW,,,,
idn-jetp-progress-report-2025-bioenergy-7,bioenergy,top_priority,7,Bioenergy Khatulistiwa (Kuota) Tersebar,Kalimantan Barat,2023,5,MW,,,,
idn-jetp-progress-report-2025-bioenergy-8,bioenergy,top_priority,8,Bioenergy Bacan (Kuota) Tersebar,Maluku Utara,2024,4,MW,,,,
idn-jetp-progress-report-2025-bioenergy-9,bioenergy,top_priority,9,Bioenergy Sanana 2,Maluku Utara,2024,10,MW,,,,
idn-jetp-progress-report-2025-bioenergy-10,bioenergy,top_priority,10,Bioenergy (Kuota) Kepuluauan,Sumatara Utara,2024,3,MW,,,,
idn-jetp-progress-report-2025-bioenergy-11,bioenergy,top_priority,11,Bioenergy (Kuota) Kepuluauan RIau,Kepulauan Riau,2024,2.4,MW,,,,
idn-jetp-progress-report-2025-bioenergy-12,bioenergy,top_priority,12,Bioenergy Sulbagsel (Kuota) Tersebar,Sulawesi Utara,2025,10,MW,,,,
idn-jetp-progress-report-2025-bioenergy-13,bioenergy,top_priority,13,Bioenergy Sulbagut (Kuota) Rersebar,Sulawesi Utara,2025,10,MW,,,,
idn-jetp-progress-report-2025-bioenergy-14,bioenergy,priority,14,Biomass Tanjung Semanto,Aceh,2025,9.8,MW,,,,
idn-jetp-progress-report-2025-bioenergy-15,bioenergy,priority,15,Biomass Kuala Mandor,Kalimantan Barat,2025,5,MW,,,,
idn-jetp-progress-report-2025-bioenergy-16,bioenergy,priority,16,Biogas Aceh Tamiang,Aceh,2026,3,MW,,,,
idn-jetp-progress-report-2025-bioenergy-17,bioenergy,priority,17,Waste to Energy PLTSa Palembang,Sumatera Selatan,2026,17.7,MW,,,,
idn-jetp-progress-report-2025-bioenergy-18,bioenergy,priority,18,Biomass Langsa,Aceh,2027,10,MW,,,,
idn-jetp-progress-report-2025-bioenergy-19,bioenergy,top_priority,19,Biogas Sumatera (Kuota) Tersebar,Riau,2027,3,MW,,,,
idn-jetp-progress-report-2025-bioenergy-20,bioenergy,priority,20,Bioenergy (Kuota) Kepulauan,Sumatera Utara,2028,3,MW,,,,
idn-jetp-progress-report-2025-bioenergy-21,bioenergy,priority,21,Waste to Energy Sunter,DKI Jakarta,2028,35,MW,,,,
idn-jetp-progress-report-2025-bioenergy-22,bioenergy,priority,22,Waste to Energy Banten (Kuota) Tersebar 1,Banten,2028,40,MW,,,,
