line_id,Unique ID,Project Name,Portfolios,Purpose,Priority Areas,Funder/Source,Funding Instrument,Disbursement Channel,Co-Financing: Name,Currency: Pledged,Amount: Pledged,Total US$,Total ZAR,Funding Partners,Implementing Entity,Institutional / South African Partner,Beneficiary,Status,Project Description,Date of Financing Agreement Signed*,End Date
zaf-jet-investment-register-q1-2026-overall-data-1,ACTIP001,Skills Research Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,USD,2280000,2280000,40150800,ACT-IP,"To be implemented by CIF implementing agencies (ie. WB, AfDB, IFC); TBD",,,D. Completed,The Women-Led Coal Transition Mechanism (WOLCOT): Aims to enhance women's climate leadership and effective participation in the design and decision-making of coal-to-clean transition strategies and implementation. https://w05.international.gc.ca/projectbrowser-banqueprojets/project-projet/details/P010807002,2021-11-01T00:00:00,2021-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-2,ACTIP002,JT-Mpumalanga Community Development: Organisational Development,JT-Mpumalanga,Community organisational development,,,Grants,,,USD,47720000,47720000,844644000,ACT-IP,,,,B. Approved,,2023-01-01T00:00:00,2027-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-3,CAN001,Skills Research Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,CAD,790000,592500,10487250,Canada,Institute for Economic Justice (local partner); Just Urban Transition and the Congress of South African Trade Unions,,,C. Implementation Phase,"A just energy transition: Localization, decent work, SMMEs and sustainable livelihoods. The project will analyze clean energy value chains and their relationships with the rest of the economy. This approach provides an interdisciplinary framework for unpacking the complex issues in the clean energy value chain. It will trace consumption and production to the practices, history and relations that are reproduced within the clean energy value chains by analyzing them at different levels, including agents and agencies, structures, processes, relations and the cultural and contextual factors. https://idrc-crdi.ca/en/project/just-energy-transition-localization-decent-work-smmes-and-sustainable-livelihoods",2021-11-01T00:00:00,2024-11-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-4,CAN002,Just Transition Support Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,CAD,250000,187500,3318750,Canada,African Centre for a Green Economy (local partner),,,C. Implementation Phase,"Enhancing access to renewable energy: A dividend for a just transition to low-carbon economies. This project will address these knowledge gaps by developing a practical framework that can inform future developments and the implementation of just transition pathways. It will assess the effectiveness of different renewable energy technologies in accelerating green jobs creation and a low-carbon trajectory in Uganda and South Africa; analyze the equity and distribution implications of energy transition in vulnerable communities across gender, age, and income groups; develop potential financial and business models to deliver a just transition pathway; and explore appropriate policy and regulatory interventions. The project will generate recommendations for future research and targeted policy interventions. https://idrc-crdi.ca/en/project/enhancing-access-renewable-energy-dividend-just-transition-low-carbon-economies",2021-11-01T00:00:00,2024-11-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-5,CAN003,Just Transition Support Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,CAD,400000,300000,5310000,Canada,International Institute for Sustainable Development (local partner),,,C. Implementation Phase,"Unlocking Inclusive Policymaking In Priority Areas for Clean Energy Transition: Cooking, Irrigation and Coal Phase Outs. This project will contribute to addressing three key areas of importance for energy transition (in India, Indonesia, and South Africa) where knowledge gaps are holding back inclusive change, particularly for women and youth, but also marginalized groups. The specific themes have been selected based on experience from IISD's country programmes on the current state of the debate; the opportunity for transformative change from the application of these elements of transition; and our belief that the impacts of policies on women, youth and marginalized groups has not been sufficiently understood or given adequate consideration in policymaking. The selected themes are: 1. Incubating non-fossil clean cooking solutions (India and Indonesia) 2. Maximizing the social benefits of solar irrigation (India) 3. Ensuring an inclusive approach to just transition for coal mining communities (India and South Africa) This project covers India, Indonesia and South Africa. The tentative amount for South Africa is CAD$ 400,000. Start date: 1 Jan 2023. End date: June 2026.",2023-01-01T00:00:00,2026-06-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-6,CAN004,Just Transition Support Programme,Skills,Studies/research,Mobilise PSET funding for JET,,Grants,,,CAD,210000,157500,2787750,Canada,SouthSouthNorth Projects (Africa) NPC (local partner),,,C. Implementation Phase,"Operationalising a just transition in Africa: This project will conduct an in-depth analysis of the pathways to achieving transitions towards sustainable, low-carbon and equitable energy systems, including an assessment of capacity needs and skills. It will identify and analyze innovative options for financing in line with emerging energy goals. These include providing at least USD300 million to Africa's access to clean energy, launched at COP 27, and increasing the continent's renewable energy capacity to 25% of global renewable energy investments. Project outputs will include journal articles on topics related to energy and just transition focusing on challenges and opportunities for gender equality and youth participation and leadership. Several policy briefs, produced in collaboration with national stakeholders and researchers, will identify policy-oriented entry points. This project covers Kenya and South Africa. Total project amount: CAD$ 703,100. The tentative amount for South Africa is CAD$ 210,000. Start date: 1 March 2023 for 30 months). https://idrc-crdi.ca/en/project/operationalizing-just-transition-africa",2023-03-01T00:00:00,2026-06-30T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-7,CAN005,JET SEP Skills Planning & Data Systems,Skills,Technical Assistance,Mobilise PSET funding for JET,,Grants,,,CAD,1500000,1125000,19912500,Canada,National Business Initiative (NBI),JET PMU; DHET; SETAs,,B. Approved,"JET SEP Phase 2 - Skills Planning & Data Systems: This component supports the development of strengthened and connected data platforms to generate consolidated insights on employer skills needs (current and projected). Key interventions include: (1) Introducing value chain-based planning to shift from generic sector-level planning to value chain-based analysis; (2) Mapping end-to-end learning pathways across priority value chains to clarify entry points, required competencies, and workplace-based learning requirements; (3) Strengthening data platforms to improve interoperability between existing data systems (HEMIS, TVETMIS, ESSA, NSFAS) through shared standards and consolidated analysis; (4) Revising WSP templates to signal actual and projected demand rather than only training needs; and (5) Establishing sector-subsector planning forums for ongoing collaborative engagements between SETAs, employers and key stakeholders. Source: NBI JET Report 2025",2026-01-01T00:00:00,2028-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-8,CAN006,JET SEP Working Group Facilitation,Skills,Technical Assistance,Mobilise PSET funding for JET,,Grants,,,CAD,1250000,937500,16593750,Canada,National Business Initiative (NBI),JET PMU; BUSA; PCC,,B. Approved,"JET SEP Phase 2 - Working Group Facilitation: This component supports the coordination of seven sector-specific working groups that form the core mechanism through which sector-specific skills needs, constraints, and workforce pathways are identified and aligned with national planning processes. The working groups cover: (1) Solar PV; (2) Wind; (3) Transmission; (4) Battery Storage; (5) Energy Efficiency; (6) Green Hydrogen; and (7) New Energy Vehicles (Electric Vehicles). Since April 2024, more than 35 organisations have contributed to these working groups, providing detailed insight into occupational profiles, demand forecasting, training pathways, and implementation constraints. The deliberations feed into the national JET Skills Desk located in DHET. The governance framework includes a Steering Committee, 31 CEO Champions, and an Advisory Board comprising over 25 organisations. Source: NBI JET Report 2025",2026-01-01T00:00:00,2028-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-9,CAN007,JET SEP TVET Lecturer Development,Skills,Capacity development / training,Mobilise PSET funding for JET,,Grants,,,CAD,1000000,750000,13275000,Canada,National Business Initiative (NBI),DHET; TVET Colleges; SETAs,,B. Approved,"JET SEP Phase 2 - TVET Lecturer Development: This component addresses the growing need to strengthen professional development for TVET lecturers as training shifts toward demand-led, responsive programmes. Key interventions include: (1) Industry-TVET partnership programmes to provide lecturers with industry exposure to ensure teaching aligns with workplace expectations; (2) SETA mobilisation of companies to provide lecturer workplace exposure; (3) Co-design of lecturer workplace exposure programmes with industry for consistent, high-quality impact; and (4) Support for lecturers to improve practical training delivery. The quality of graduate output has been linked to concerns that curricula are not responsive enough and lecturers lack real industry experience. This component directly addresses these challenges by building lecturer capacity in alignment with the shift in TVET colleges towards occupational qualifications. Source: NBI JET Report 2025",2026-01-01T00:00:00,2028-12-31T00:00:00
zaf-jet-investment-register-q1-2026-overall-data-10,CAN008,JET SEP Workplace-Based Learning Expansion,Skills,Capacity development / training,Mobilise PSET funding for JET,,Grants,,,CAD,1250000,937500,16593750,Canada,National Business Initiative (NBI),DHET; SETAs; Private Sector,,B. Approved,"JET SEP Phase 2 - Workplace-Based Learning Expansion: This component addresses the limited opportunities for workplace-based learning which consistently emerges as a key barrier to graduate work readiness. Key interventions include: (1) Incentivising smaller companies to host learners through preferential procurement treatment for offering placements linked to sector skills needs; (2) Developing shared infrastructure for WBL such as regional centres/clusters where learners can rotate across companies; (3) Utilising bootcamps or mentorship programmes during or after training; (4) Supporting universities and TVET colleges to strengthen work readiness interventions and embed these into programme delivery; and (5) Promoting and supporting Recognition of Prior Learning (RPL) as part of a reorientation toward valuing skills rather than certificates, to accommodate non-traditional learning pathways. Source: NBI JET Report 2025",2026-01-01T00:00:00,2028-12-31T00:00:00
