line_id,No.,Name of Project,Location,Capacity,Expected commissioning year,Note,No,Name of plant/construction,Information/ Source/ Concept Note,"Project name, task group",Period,Source
vnm-rmp-2023-annex-i.1-1,1,Long Tao Hydropower plan,Dien Bien,44 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-2,2,Yen Son Hydropower plan,Tuyen Quang,90 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-3,3,Song Lo 6 Hydropower plan,Tuyen Quang,60 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-4,4,Song Lo 7 Hydropower plan,Tuyen Quang,36 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-5,5,Pac Ma Hydropower plan,Lai Chau,160 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-6,6,"Nam Cum 1,4,5 Hydropower plan",Lai Chau,95.8 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-7,7,"Nam Cum 2,3,6 Hydropower plan",Lai Chau,79.5 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-8,8,Hoi Xuan Hydropower plan,Thanh Hoa,102 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-9,9,Song Hieu (Ban Mong) Hydropower plan,Nghe An,45 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-10,10,Phu Tan 2 Hydropower plan,Dong Nai,93 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-11,11,Duc Thanh Hydropower plan,Binh Phuoc,40 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-12,12,La Ngau Hydropower plan,Binh Thuan,46 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-13,13,Thanh Son Hydropower plan,Dong Nai,40 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-14,14,Cam Thuy 2 Hydropower plan,Thanh Hoa,38 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-15,15,My Ly Hydropower plan,Nghe An,120 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-16,16,Nam Mo 1 Hydropower plan,Nghe An,51 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-17,17,Đak Mi 2 Hydropower plan,Kon Tum,147 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-18,18,Song Tranh 4 Hydropower plan,Quang Nam,48 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-19,19,Đak Mi 1 Hydropower plan,Kon Tum,84 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-20,20,Thuong Kon Tum Hydropower plan,Kon Tum,220 MW,2021-2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-21,21,Thien Tan 1.4 Solar Farm,Ninh Thuan,79 MW,2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-22,22,KN Tri An Floating Solar Farm,Dong Nai,928 MW,2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-23,23,Buon Tua Srah Floating Solar Farm,,312 MW,2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-24,24,Mi Floating Solar Farm,,80 MW,2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-25,25,Ialy Gia Lai Floating Solar Farm,Gia Lai,400 MW,2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-26,26,Vuc Mau Floating Solar Farm,Nghe An,160 MW,2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-27,27,Khe Go Reservoir Floating Solar Farm,Nghe An,200 MW,2030,Decision No. 500/QD-TTg PDP8,,,,,,
vnm-rmp-2023-annex-i.1-28,28,Bio-fuel Manufacture in Northern region,,"100,000-200,000
ton per year",2021-2030,"Decision No. 893/QD-TTg
National energy master plan",,,,,,
vnm-rmp-2023-annex-i.1-29,29,Bio-fuel Manufacture in Central region,,"100,000-200,000
ton per year",2021-2030,"Decision No. 893/QD-TTg
National energy master plan",,,,,,
vnm-rmp-2023-annex-i.1-30,30,Bio-fuel Manufacture in Southern region,,"100,000-200,000
ton per year",2021-2030,"Decision No. 893/QD-TTg
National energy master plan",,,,,,
vnm-rmp-2023-annex-i.1-31,31,Bio-fuel Manufacture in Northern region,,"2,000,000-6,000,000
ton per year",2031-2050,"Decision No. 893/QD-TTg
National energy master plan",,,,,,
vnm-rmp-2023-annex-i.1-32,32,Bio-fuel Manufacture in Central region,,"1,000,000-4,000,000
ton per year",2031-2050,"Decision No. 893/QD-TTg
National energy master plan",,,,,,
vnm-rmp-2023-annex-i.1-33,33,Bio-fuel Manufacture in Southern region,,"2,000,000-8,000,000
ton per year",2031-2050,"Decision No. 893/QD-TTg
National energy master plan",,,,,,
