line_id,technology_group,priority_tier,ordinal,project_name,system,estimated_start,capacity_value,capacity_unit,estimated_investment_usd_mn,natural_retirement_year,estimated_retirement_year,ruptl
sen-investment-plan-annexes-mirror-submitted-project-1,submitted_project,,1,Super Mini grids for Rural Senegal,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-2,submitted_project,,2,Résilience des communautés vulnérables au changement climatique et gestion durable des ressources naturelles : Cas de l'aire marine protégée d Abéné en Basse Casamance,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-3,submitted_project,,3,"Installation d’unités pilote de briquetage, pour la production de briquettes de charbon alternatives au charbon de bois comme solution de lutte contre la déforestation, à proximité des forêts classées de la Casamance",,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-4,submitted_project,,4,Airport Express: Service de taxi électriques entre AIBD et les ville sur un rayon de 70 km,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-5,submitted_project,,5,Electrification de 350 Villages Par Mini-Centrales Solaires,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-6,submitted_project,,6,Electrification de Villages Par Mini-Centrales Solaires,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-7,submitted_project,,7,Projet d’intégration de centrales solaires au réseau dans 600 villages par injection,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-8,submitted_project,,8,Eclairage général efficace,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-9,submitted_project,,9,Eclairage public efficace,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-10,submitted_project,,10,Ecofridges,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-11,submitted_project,,11,Programme de réduction de la facture d’électricité de l’Etat par l’utilisation de sources d’énergies renouvelables et l’efficacité énergétique,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-12,submitted_project,,12,Projet d'amélioration des Performances énergétiques des Stades du Sénégal (PAPES),,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-13,submitted_project,,13,Extension des points d'information territorialisés (PIT) sur la maîtrise de l'énergie,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-14,submitted_project,,14,Programme SARDEL de réduction de la facture publique d'électricité par l'optimisation de la facturation et des installations électriques sur 9 000 polices d'abonnement,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-15,submitted_project,,15,Construction de 2 centrales solaires de 50MWc avec du stockage de 2x30MW/90MWh,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-16,submitted_project,,16,Construction de centrales Hybrides PV + BESS dans 18 îles du Saloum,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-17,submitted_project,,17,Projet d'installation de biodigesteurs pour une transition énergétique et une résilience des populations rurales et péri-urbaines face aux effets du changement climatique,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-18,submitted_project,,18,Installation d’ entrepôts frigorifiques alimentés au solaire et à usage de conservation de produits horticoles et laitiers,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-19,submitted_project,,19,Mise en place d'une unité de production de BioGNV pour les autobus urbains à Dakar,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-20,submitted_project,,20,Hybridation de 2000 forages en milieu rural,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-21,submitted_project,,21,Promotion des énergies renouvelables dans les pôles de développement économique du Sénégal,,,,,,,,
sen-investment-plan-annexes-mirror-submitted-project-22,submitted_project,,22,"Utilisation du stockage froid solaire pour la conservation des produits agricoles, halieutiques et laitiers",,,,,,,,
