line_id,technology_group,priority_tier,ordinal,project_name,system,estimated_start,capacity_value,capacity_unit,estimated_investment_usd_mn,natural_retirement_year,estimated_retirement_year,ruptl
idn-cipp-2023-cpr-mirror-bioenergy-1,bioenergy,priority,1,PLTBg Air Upas,Kalimantan,,2.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-2,bioenergy,priority,2,PLTSa Bandung,Java-Madura-Bali,,29.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-3,bioenergy,priority,3,PLTBg Kendawangan,Kalimantan,,2.5,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-4,bioenergy,priority,4,PLTBg Nanga Tayap,Kalimantan,,2.5,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-5,bioenergy,priority,5,PLTBg Sei Melayu,Kalimantan,,2.5,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-6,bioenergy,priority,6,PLTBio Bacan,Maluku-Papua-Nusa Tenggara,,4.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-7,bioenergy,priority,7,PLTBio Bangka,Sumatra,,12.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-8,bioenergy,priority,8,PLTBio Belitung,Sumatra,,12.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-9,bioenergy,priority,9,PLTBio Buru,Maluku-Papua-Nusa Tenggara,,10.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-bioenergy-10,bioenergy,priority,10,PLTBio Dodo,Maluku-Papua-Nusa Tenggara,,10.0,MW,,,,NO
idn-cipp-2023-cpr-mirror-bioenergy-11,bioenergy,priority,11,PLTBio Halmahera,Maluku-Papua-Nusa Tenggara,,5.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-12,bioenergy,priority,12,PLTBio Kepri,Sumatra,,2.4,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-13,bioenergy,priority,13,PLTBio Khatulistiwa,Kalimantan,,44.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-14,bioenergy,priority,14,PLTBio Mahakam,Kalimantan,,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-15,bioenergy,priority,15,PLTBio Mahakam,Kalimantan,2024,10.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-16,bioenergy,priority,16,PLTBio Nias,Sumatra,2024,3.0,MW,,,,YES
idn-cipp-2023-cpr-mirror-bioenergy-17,bioenergy,priority,17,PLTBio Sanana,Maluku-Papua-Nusa Tenggara,2024,10.0,MW,,,,YES
