term_row_id,term_id,kind,list,label,definition,scope_note,domain,range,external_scheme,external_uri,mapping_relation,recorded_at,decided_by,status,supersedes,notes
class.comparator_record.1,comparator_record,class,,comparator record,A record of an external database admitted to the register as a line of a snapshot of that dataset; never a project of the partnership.,A comparator record is a line; it is not a separate kind of reference.,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.crosswalk.1,crosswalk,class,,crosswalk,"A reviewed, dated mapping from one publisher's own vocabulary onto a shared axis or the purpose list; the only place a shared status is asserted.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.external_identifier.1,external_identifier,class,,external identifier,"A code another register uses for one of the ledger's identities or lines, typed by scheme, such as a World Bank P-number or an IATI activity identifier.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.agreement.1,agreement,class,class,agreement,"Funder-side money: a party commits an amount under an instrument to a counterparty, with states of the document that embodies it and flows on it.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.asset.1,asset,class,class,asset,"A physical thing at a site, such as a plant, a unit, a transmission line or a mini-grid, with capacity, technology, location and operator.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.country.1,country,class,class,country,"A partnership country as the subject of a macro-fiscal observation, identified by its ISO 3166-1 alpha-3 code.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.document.1,document,class,class,document,"A logical publication with a title, a document type, a canonical URL and one or more publishers; an edition is a document related to its predecessor.",,,,PROV-O,http://www.w3.org/ns/prov#Entity,broadMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.line.1,line,class,class,line,"One publisher's dated assertion at one locator in one snapshot: the first-class unit of the ledger, from which every identity is minted.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.observation.1,observation,class,class,observation,"One dated statement about one subject, cited to exactly one line, with a measure, a value in the publisher's unit and one or more timings.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.party.1,party,class,class,party,"A named organisation in a role, such as funder, channel, promoter or operator.",,,,PROV-O,http://www.w3.org/ns/prov#Agent,broadMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.perimeter.1,perimeter,class,class,perimeter,"A coverage definition the ledger counts against, such as a pledge envelope, a portfolio or a plan list at a cutoff, with membership as justified relations.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.project.1,project,class,class,project,"An undertaking with a scope, an owner and a duration that creates or changes assets or delivers something non-physical, minted only by a reviewed match across lines.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.publisher.1,publisher,class,class,publisher,"The body that publishes a document and answers for what it states, such as a partnership secretariat, a ministry or a development bank.",,,,PROV-O,http://www.w3.org/ns/prov#Agent,broadMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.retrieval.1,retrieval,class,class,retrieval,"One attempt to fetch one document at one time, with its date, outcome and, when bytes came back, the snapshot they form.",,,,PROV-O,http://www.w3.org/ns/prov#Activity,broadMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.snapshot.1,snapshot,class,class,snapshot,"Exact bytes under a SHA-256 fingerprint, with their storage path; the ledger cites a snapshot, never a URL, so that what was read can be re-read.",,,,PROV-O,http://www.w3.org/ns/prov#Entity,broadMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
class.timing.1,timing,class,class,timing,"One date role of an observation, with its date, precision and bounds, so that a value is stored once however many dates it carries.",,,,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.about.1,about,relation,relation,about,An observation is about one typed subject.,,observation,any subject,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.cites.1,cites,relation,relation,cites,"A line refers to another document or line, or an observation cites the one line it was read from.",,"line, observation","document, line",PROV-O,http://www.w3.org/ns/prov#wasDerivedFrom,relatedMatch,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
relation.component_of.1,component_of,relation,relation,component of,A project is contained in another project; containment is acyclic.,,project,project,,,local,2026-09-23,"author, docs/jetp-ontology.md (2026-09-22)",accepted,,
