metric,value
n_refined_docs,30987.0
fn_exact_title_pairs,329.0
fn_exact_title_pairs_share,0.010617355665278988
fn_candidate_family_docs,1064.0
fn_candidate_family_docs_share,0.034336980023880984
fp_doi_groups,797.0
fp_doi_removals,833.0
fp_doi_groups_divergent_title,113.0
fp_doi_groups_near_zero_overlap,38.0
fp_titleyear_groups,129.0
fp_titleyear_removals,147.0
fp_titleyear_groups_author_conflict,48.0
fp_empty_year_groups,7.0
fp_empty_year_docs_merged,18.0
fp_empty_year_max_group_size,6.0
threshold_year_gap_max,5.0
threshold_fuzzy_jaccard,0.7
threshold_divergent_jaccard,0.5
threshold_collision_jaccard,0.02
