roster_reporting_month,country,operation_id,short_name,sector,scope_verdict,reported_stage,realized_stage_date,source_locator,identity_limits,current_snapshot_status,current_snapshot_approval_discovery_only,signature_date,effectiveness_date,both_endpoints_original_verified,loss_of_visibility_date
2010-06,ID,P112158,Upper Cisokan,energy,include,decision meeting planned 2010-06-18,,S2010 pp31–32,,Closed,2011-05-26T00:00:00Z,,,no,unknown
2010-06,ID,P113078,Geothermal,energy,include,preappraisal planned 2010-06-07,,S2010 p31,,Closed,2011-07-26T00:00:00Z,,,no,unknown
2010-06,ID,P117323,Transmission,energy,include,negotiations planned 2010-05-17,,S2010 p31,,Closed,2010-07-08T00:00:00Z,,,no,unknown
2010-06,ID,P116855,PLN ERP,energy administration,exclude generation/grid scope,negotiations completed,2010-04-12,S2010 p31,parent unresolved; snapshot additional-financing flag Y,Closed,2010-06-08T00:00:00Z,,,no,unknown
2010-06,ID,P101722,SISWA,education,exclude; withdrawal protocol,removed; reporting discontinued,,S2010 p31,withdrawal lower bound unknown; known by report month,Dropped,,,,no,unknown
2020-06,ID,P166071,GREM,energy,include; intermediary sensitivity,approval completed,2019-09-26,S2020 p84,,Active,2019-09-26T00:00:00Z,,,no,unknown
2020-06,ID,P172256,Java Bali pumped storage,energy,include,concept completed,2020-01-30,S2020 p84,not merged with P112158,Active,2021-09-10T00:00:00Z,,,no,unknown
2020-06,ID,P174560,PLN stabilization,energy,exclude guarantee,concept completed,2020-06-18,S2020 p84,,not inspected,,,,no,unknown
2020-06,ID,P158310,Urban wastewater,water/sanitation,include,concept completed,2017-12-24,S2020 p86,,Dropped,,,,no,unknown
2020-06,ID,P161514,Dam safety phase2,water,exclude narrow sanitation scope,approval completed,2017-02-27,S2020 p86,parent unresolved; snapshot additional-financing flag Y,Closed,2017-02-27T00:00:00Z,,,no,unknown
2020-06,ID,P154780,PAMSIMAS AF,water/sanitation,include; parent unresolved,approval completed,2016-01-08,S2020 p86,parent not inferred,not inspected,,,,no,unknown
2020-06,PH,P173728,Agus-Pulangi,energy,candidate; instrument unverified,concept completed,2020-06-11,S2020 pp93–94,,not inspected,,,,no,unknown
2020-06,PH,P171897,Pasig-Marikina flood,water,exclude narrow sanitation scope,concept completed,2020-02-06,S2020 p95,,not inspected,,,,no,unknown
