unit,route,case_id,purpose,url,status,retrieved,bytes,sha256,archive_path,error
1,retention,,retention/update and archive routes,https://devtracker.fcdo.gov.uk/about,200,2026-09-14T17:58:07.265187+00:00,26244,c4ee3de6fb2c45dba2720509437f56575ea01b735a1ad89a5a115079b5da5067,data/jetp/audit-evidence/0739-pilot/devtracker-about.html,
2,retention,,meaning of pipeline and completion statuses,https://iatistandard.org/en/iati-standard/203/codelists/activitystatus/,200,2026-09-14T17:58:07.450264+00:00,280851,ee007397606ef4598be6a5fa08d19afe1e570b1ac4225037e056a8875e03655a,data/jetp/audit-evidence/0739-pilot/iati-status.html,
3,retention,,historical snapshot and publisher retention route,https://dev-dashboard.iatistandard.org/publishers/fcdo/,403,2026-09-14T17:58:09.053526+00:00,,,,HTTP Error 403: Forbidden
4,documentary,GB-GOV-1-400032,structured programme record and exact stage document links,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-GOV-1-400032%22,200,2026-09-14T17:58:09.106731+00:00,16846,abe8462726c38c3b2b967ed9adf7e9010bf59a03b79e6600785b9cce1cb5198d,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-1-400032.json,
5,documentary,GB-GOV-1-400142,structured programme record and exact stage document links,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-GOV-1-400142%22,200,2026-09-14T17:58:09.262396+00:00,21027,05d690be9f2de535647c888f53c11333c93b6c8a551e290f1dcb7ee1a1054c2b,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-1-400142.json,
6,documentary,GB-GOV-1-400343,structured programme record and exact stage document links,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-GOV-1-400343%22,200,2026-09-14T17:58:09.369693+00:00,18173,ec8635533f6da2e0365c8d647235834f7432f869048f7cd63a7a789f08ca8bb8,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-1-400343.json,
7,documentary,GB-GOV-1-400542,structured programme record and exact stage document links,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-GOV-1-400542%22,200,2026-09-14T17:58:09.473174+00:00,14566,8df32258b7f081b3abef5f97c4e4392207138ba16fccb0c66ad26cb5d55297cf,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-1-400542.json,
8,documentary,GB-GOV-1-400717,structured programme record and exact stage document links,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-GOV-1-400717%22,200,2026-09-14T17:58:09.575488+00:00,15820,8396247c5fe9ea8a1cd4526b83ecb2307f898ec374095bcda1d6c11de429aace,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-1-400717.json,
9,documentary,GB-1-109635,structured programme record and exact stage document links,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-1-109635%22,200,2026-09-14T17:58:09.674892+00:00,16786,093fa97c2cbe815901356893a8a7ce4b5ffd19b8da1c0b5225027b327e7d4971,data/jetp/audit-evidence/0739-pilot/activity-GB-1-109635.json,
10,documentary,GB-1-107154,structured programme record and exact stage document links,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-1-107154%22,200,2026-09-14T17:58:09.798482+00:00,20731,a3aa77ae9224631c327e0c56bed4ae59dffa1aba3281fa9a3b42774828647dd1,data/jetp/audit-evidence/0739-pilot/activity-GB-1-107154.json,
11,documentary,GB-1-107859,structured programme record and exact stage document links,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-1-107859%22,200,2026-09-14T17:58:09.907343+00:00,27304,cbc8c4865fe517019c6e782ad223b2a34231e81b39720ffb3cde788923787307,data/jetp/audit-evidence/0739-pilot/activity-GB-1-107859.json,
12,documentary,GB-GOV-3-Chevening Scholarships-MA,structured programme record and exact stage document links,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-GOV-3-Chevening+Scholarships-MA%22,200,2026-09-14T17:58:10.011479+00:00,29932,1054f322c966736fc02d78edd586deee4f6fc03bef18790d6c7cd5bf54aa3c91,data/jetp/audit-evidence/0739-pilot/activity-GB-GOV-3-Chevening_Scholarships-MA.json,
13,documentary,GB-1-110657,structured programme record and exact stage document links,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-1-110657%22,200,2026-09-14T17:58:10.118694+00:00,16543,c821ae90bbfad8c88196a042e0ba8cc194fb127ca4231e739d41e309fe4bbf2c,data/jetp/audit-evidence/0739-pilot/activity-GB-1-110657.json,
14,documentary_reallocated,GB-1-108984,next sample rank; unused retention allowance moved forward,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-1-108984%22,200,2026-09-14T17:58:53.861772+00:00,19786,d6722376dd796510b7d8f3142199a37f615471aaec6fb106b37de3067b05d821,data/jetp/audit-evidence/0739-pilot/activity-GB-1-108984.json,
15,documentary_reallocated,GB-1-104836,next sample rank; unused retention allowance moved forward,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-1-104836%22,200,2026-09-14T17:58:53.985507+00:00,18945,13c4caa86e00b1540e33ae6c12c916abc3e78b2783d477540efb6dc3631a5078,data/jetp/audit-evidence/0739-pilot/activity-GB-1-104836.json,
16,documentary_reallocated,GB-1-109636,next sample rank; unused retention allowance moved forward,https://fcdo.iati.cloud/search/activity/?fl=%2A&format=json&q=iati_identifier%3A%22GB-1-109636%22,200,2026-09-14T17:58:54.098495+00:00,16465,90d44e387740cf8e0f9dba30f138dc3792c32f9d4841cb1cb313d2333b8ea860,data/jetp/audit-evidence/0739-pilot/activity-GB-1-109636.json,
17,reserve_document,GB-1-107859,linked Intervention Summary: seek approval and start evidence,http://iati.fcdo.gov.uk/iati_documents/3735372.odt,301,2026-09-14T17:59:20.099809+00:00,,,,HTTP Error 301: Moved Permanently
18,reserve_document,GB-1-107859,same exact issuer/path over HTTPS after HTTP 301,https://iati.fcdo.gov.uk/iati_documents/3735372.odt,200,2026-09-14T17:59:38.416867+00:00,10720,ecf8c2b4ab257c6f3429c3d1ef95f1795cb861c22cf6e3112157348aea8a644c,data/jetp/audit-evidence/0739-pilot/3735372.odt,
19,reserve_document,GB-1-107859,linked completion review: seek corroborated start and decision history,http://iati.fcdo.gov.uk/iati_documents/3716713.odt,301,2026-09-14T17:59:38.592391+00:00,,,,HTTP Error 301: Moved Permanently
20,reserve_document,GB-1-107859,same linked completion review over HTTPS after HTTP 301; final unit,https://iati.fcdo.gov.uk/iati_documents/3716713.odt,200,2026-09-14T17:59:48.157610+00:00,58659,b17b81a35f04b261fbbe7734a8f2253f77e81dcbe4212aa5053619ef42d063e0,data/jetp/audit-evidence/0739-pilot/3716713.odt,
